,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,Imrul Kayes,Shahriar Nafees,KD Mills,0,0,null,0,0,null,null
1,0.2,Imrul Kayes,Shahriar Nafees,KD Mills,0,0,null,0,0,null,null
2,0.3,Imrul Kayes,Shahriar Nafees,KD Mills,0,0,null,0,0,null,null
3,0.4,Imrul Kayes,Shahriar Nafees,KD Mills,0,0,null,0,0,null,null
4,0.5,Imrul Kayes,Shahriar Nafees,KD Mills,0,0,null,0,0,null,null
5,0.6,Imrul Kayes,Shahriar Nafees,KD Mills,1,0,null,1,0,null,null
6,1.1,Imrul Kayes,Shahriar Nafees,TG Southee,0,0,null,0,0,null,null
7,1.2,Imrul Kayes,Shahriar Nafees,TG Southee,0,0,null,0,0,null,null
8,1.3,Imrul Kayes,Shahriar Nafees,TG Southee,0,0,null,0,0,null,null
9,1.4,Imrul Kayes,Shahriar Nafees,TG Southee,0,0,null,0,0,null,null
10,1.5,Imrul Kayes,Shahriar Nafees,TG Southee,0,0,null,0,0,null,null
11,1.6,Imrul Kayes,Shahriar Nafees,TG Southee,1,0,null,1,0,null,null
12,2.1,Imrul Kayes,Shahriar Nafees,KD Mills,1,0,null,1,0,null,null
13,2.2,Shahriar Nafees,Imrul Kayes,KD Mills,0,0,null,0,0,null,null
14,2.3,Shahriar Nafees,Imrul Kayes,KD Mills,0,0,null,0,0,null,null
15,2.4,Shahriar Nafees,Imrul Kayes,KD Mills,0,0,null,0,0,null,null
16,2.5,Shahriar Nafees,Imrul Kayes,KD Mills,0,0,null,0,0,null,null
17,2.6,Shahriar Nafees,Imrul Kayes,KD Mills,0,0,null,0,0,null,null
18,3.1,Imrul Kayes,Shahriar Nafees,TG Southee,0,0,null,0,0,null,null
19,3.2,Imrul Kayes,Shahriar Nafees,TG Southee,4,0,null,4,0,null,null
20,3.3,Imrul Kayes,Shahriar Nafees,TG Southee,0,0,null,0,0,null,null
21,3.4,Imrul Kayes,Shahriar Nafees,TG Southee,0,0,null,0,0,null,null
22,3.5,Imrul Kayes,Shahriar Nafees,TG Southee,0,0,null,0,0,null,null
23,3.6,Imrul Kayes,Shahriar Nafees,TG Southee,0,0,null,0,0,null,null
24,4.1,Shahriar Nafees,Imrul Kayes,KD Mills,0,0,null,0,0,null,null
25,4.2,Shahriar Nafees,Imrul Kayes,KD Mills,0,0,null,0,0,null,null
26,4.3,Shahriar Nafees,Imrul Kayes,KD Mills,0,0,null,0,0,null,null
27,4.4,Shahriar Nafees,Imrul Kayes,KD Mills,4,0,null,4,0,null,null
28,4.5,Shahriar Nafees,Imrul Kayes,KD Mills,4,0,null,4,0,null,null
29,4.6,Shahriar Nafees,Imrul Kayes,KD Mills,4,0,null,4,0,null,null
30,5.1,Imrul Kayes,Shahriar Nafees,TG Southee,1,0,null,1,0,null,null
31,5.2,Shahriar Nafees,Imrul Kayes,TG Southee,0,0,null,0,0,null,null
32,5.3,Shahriar Nafees,Imrul Kayes,TG Southee,0,0,null,0,0,null,null
33,5.4,Shahriar Nafees,Imrul Kayes,TG Southee,0,0,null,0,0,null,null
34,5.5,Shahriar Nafees,Imrul Kayes,TG Southee,4,0,null,4,0,null,null
35,5.6,Shahriar Nafees,Imrul Kayes,TG Southee,0,0,null,0,0,null,null
36,6.1,Imrul Kayes,Shahriar Nafees,KD Mills,0,0,null,0,0,null,null
37,6.2,Imrul Kayes,Shahriar Nafees,KD Mills,4,0,null,4,0,null,null
