,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,Fakhar Zaman,Imam-ul-Haq,JNT Seales,0,0,null,0,0,null,null
1,0.2,Fakhar Zaman,Imam-ul-Haq,JNT Seales,0,0,null,0,0,null,null
2,0.3,Fakhar Zaman,Imam-ul-Haq,JNT Seales,0,0,null,0,0,null,null
3,0.4,Fakhar Zaman,Imam-ul-Haq,JNT Seales,0,0,null,0,0,null,null
4,0.5,Fakhar Zaman,Imam-ul-Haq,JNT Seales,0,0,null,0,0,null,null
5,0.6,Fakhar Zaman,Imam-ul-Haq,JNT Seales,0,0,null,0,0,null,null
6,1.1,Imam-ul-Haq,Fakhar Zaman,KMA Paul,0,0,null,0,0,null,null
7,1.2,Imam-ul-Haq,Fakhar Zaman,KMA Paul,4,0,null,4,0,null,null
8,1.3,Imam-ul-Haq,Fakhar Zaman,KMA Paul,0,0,null,0,0,null,null
9,1.4,Imam-ul-Haq,Fakhar Zaman,KMA Paul,0,0,null,0,0,null,null
10,1.5,Imam-ul-Haq,Fakhar Zaman,KMA Paul,0,1,wides ,1,0,null,null
11,1.6,Imam-ul-Haq,Fakhar Zaman,KMA Paul,0,0,null,0,0,null,null
12,1.7,Imam-ul-Haq,Fakhar Zaman,KMA Paul,1,0,null,1,0,null,null
13,2.1,Imam-ul-Haq,Fakhar Zaman,JNT Seales,0,0,null,0,0,null,null
14,2.2,Imam-ul-Haq,Fakhar Zaman,JNT Seales,0,0,null,0,0,null,null
15,2.3,Imam-ul-Haq,Fakhar Zaman,JNT Seales,0,0,null,0,0,null,null
16,2.4,Imam-ul-Haq,Fakhar Zaman,JNT Seales,4,0,null,4,0,null,null
17,2.5,Imam-ul-Haq,Fakhar Zaman,JNT Seales,0,0,null,0,0,null,null
18,2.6,Imam-ul-Haq,Fakhar Zaman,JNT Seales,0,1,wides ,1,0,null,null
19,2.7,Imam-ul-Haq,Fakhar Zaman,JNT Seales,0,0,null,0,0,null,null
20,3.1,Fakhar Zaman,Imam-ul-Haq,KMA Paul,0,0,null,0,0,null,null
21,3.2,Fakhar Zaman,Imam-ul-Haq,KMA Paul,2,0,null,2,0,null,null
22,3.3,Fakhar Zaman,Imam-ul-Haq,KMA Paul,0,0,null,0,0,null,null
23,3.4,Fakhar Zaman,Imam-ul-Haq,KMA Paul,0,0,null,0,0,null,null
24,3.5,Fakhar Zaman,Imam-ul-Haq,KMA Paul,0,0,null,0,0,null,null
25,3.6,Fakhar Zaman,Imam-ul-Haq,KMA Paul,0,0,null,0,0,null,null
26,4.1,Imam-ul-Haq,Fakhar Zaman,JNT Seales,0,0,null,0,0,null,null
27,4.2,Imam-ul-Haq,Fakhar Zaman,JNT Seales,0,1,noballs ,1,0,null,null
28,4.3,Imam-ul-Haq,Fakhar Zaman,JNT Seales,4,0,null,4,0,null,null
29,4.4,Imam-ul-Haq,Fakhar Zaman,JNT Seales,0,0,null,0,0,null,null
30,4.5,Imam-ul-Haq,Fakhar Zaman,JNT Seales,0,0,null,0,0,null,null
31,4.6,Imam-ul-Haq,Fakhar Zaman,JNT Seales,0,0,null,0,0,null,null
32,4.7,Imam-ul-Haq,Fakhar Zaman,JNT Seales,0,0,null,0,0,null,null
33,5.1,Fakhar Zaman,Imam-ul-Haq,KMA Paul,0,0,null,0,0,null,null
34,5.2,Fakhar Zaman,Imam-ul-Haq,KMA Paul,2,0,null,2,0,null,null
35,5.3,Fakhar Zaman,Imam-ul-Haq,KMA Paul,0,0,null,0,0,null,null
36,5.4,Fakhar Zaman,Imam-ul-Haq,KMA Paul,0,0,null,0,0,null,null
37,5.5,Fakhar Zaman,Imam-ul-Haq,KMA Paul,4,0,null,4,0,null,null
38,5.6,Fakhar Zaman,Imam-ul-Haq,KMA Paul,0,0,null,0,0,null,null
39,6.1,Imam-ul-Haq,Fakhar Zaman,R Shepherd,4,0,null,4,0,null,null
40,6.2,Imam-ul-Haq,Fakhar Zaman,R Shepherd,0,0,null,0,0,null,null
41,6.3,Imam-ul-Haq,Fakhar Zaman,R Shepherd,0,0,null,0,0,null,null
42,6.4,Imam-ul-Haq,Fakhar Zaman,R Shepherd,1,0,null,1,0,null,null
43,6.5,Fakhar Zaman,Imam-ul-Haq,R Shepherd,0,0,null,0,0,null,null
44,6.6,Fakhar Zaman,Imam-ul-Haq,R Shepherd,1,0,null,1,0,null,null
45,7.1,Fakhar Zaman,Imam-ul-Haq,KMA Paul,1,0,null,1,0,null,null
46,7.2,Imam-ul-Haq,Fakhar Zaman,KMA Paul,0,0,null,0,0,null,null
47,7.3,Imam-ul-Haq,Fakhar Zaman,KMA Paul,0,0,null,0,0,null,null
48,7.4,Imam-ul-Haq,Fakhar Zaman,KMA Paul,0,0,null,0,0,null,null
49,7.5,Imam-ul-Haq,Fakhar Zaman,KMA Paul,6,0,null,6,0,null,null
50,7.6,Imam-ul-Haq,Fakhar Zaman,KMA Paul,0,0,null,0,0,null,null
51,8.1,Fakhar Zaman,Imam-ul-Haq,R Shepherd,0,0,null,0,0,null,null
52,8.2,Fakhar Zaman,Imam-ul-Haq,R Shepherd,4,0,null,4,0,null,null
53,8.3,Fakhar Zaman,Imam-ul-Haq,R Shepherd,0,0,null,0,0,null,null
54,8.4,Fakhar Zaman,Imam-ul-Haq,R Shepherd,1,0,null,1,0,null,null
55,8.5,Imam-ul-Haq,Fakhar Zaman,R Shepherd,0,0,null,0,0,null,null
56,8.6,Imam-ul-Haq,Fakhar Zaman,R Shepherd,1,0,null,1,0,null,null
57,9.1,Imam-ul-Haq,Fakhar Zaman,HR Walsh,1,0,null,1,0,null,null
58,9.2,Fakhar Zaman,Imam-ul-Haq,HR Walsh,1,0,null,1,0,null,null
59,9.3,Imam-ul-Haq,Fakhar Zaman,HR Walsh,4,0,null,4,0,null,null
60,9.4,Imam-ul-Haq,Fakhar Zaman,HR Walsh,1,0,null,1,0,null,null
61,9.5,Fakhar Zaman,Imam-ul-Haq,HR Walsh,4,0,null,4,0,null,null
62,9.6,Fakhar Zaman,Imam-ul-Haq,HR Walsh,2,0,null,2,0,null,null
63,10.1,Imam-ul-Haq,Fakhar Zaman,R Shepherd,0,0,null,0,0,null,null
64,10.2,Imam-ul-Haq,Fakhar Zaman,R Shepherd,0,0,null,0,0,null,null
65,10.3,Imam-ul-Haq,Fakhar Zaman,R Shepherd,0,0,null,0,0,null,null
66,10.4,Imam-ul-Haq,Fakhar Zaman,R Shepherd,1,0,null,1,0,null,null
67,10.5,Fakhar Zaman,Imam-ul-Haq,R Shepherd,0,0,null,0,0,null,null
68,10.6,Fakhar Zaman,Imam-ul-Haq,R Shepherd,0,0,null,0,0,null,null
69,11.1,Imam-ul-Haq,Fakhar Zaman,HR Walsh,1,0,null,1,0,null,null
70,11.2,Fakhar Zaman,Imam-ul-Haq,HR Walsh,0,0,null,0,0,null,null
71,11.3,Fakhar Zaman,Imam-ul-Haq,HR Walsh,1,0,null,1,0,null,null
72,11.4,Imam-ul-Haq,Fakhar Zaman,HR Walsh,1,0,null,1,0,null,null
73,11.5,Fakhar Zaman,Imam-ul-Haq,HR Walsh,0,0,null,0,0,null,null
74,11.6,Fakhar Zaman,Imam-ul-Haq,HR Walsh,0,0,null,0,0,null,null
75,12.1,Imam-ul-Haq,Fakhar Zaman,N Pooran,1,0,null,1,0,null,null
