,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,V Sehwag,ST Jayasuriya,JA Morkel,0,0,null,0,0,null,null
1,0.2,V Sehwag,ST Jayasuriya,JA Morkel,4,0,null,4,0,null,null
2,0.3,V Sehwag,ST Jayasuriya,JA Morkel,4,0,null,4,0,null,null
3,0.4,V Sehwag,ST Jayasuriya,JA Morkel,0,0,null,0,0,null,null
4,0.5,V Sehwag,ST Jayasuriya,JA Morkel,4,0,null,4,0,null,null
5,0.6,V Sehwag,ST Jayasuriya,JA Morkel,0,0,null,0,0,null,null
6,1.1,ST Jayasuriya,V Sehwag,M Morkel,0,0,null,0,0,null,null
7,1.2,ST Jayasuriya,V Sehwag,M Morkel,0,0,null,0,0,null,null
8,1.3,ST Jayasuriya,V Sehwag,M Morkel,0,0,null,0,0,null,null
9,1.4,ST Jayasuriya,V Sehwag,M Morkel,0,0,null,0,0,null,null
10,1.5,ST Jayasuriya,V Sehwag,M Morkel,0,0,null,0,0,null,null
11,1.6,ST Jayasuriya,V Sehwag,M Morkel,0,0,null,0,0,null,null
12,2.1,V Sehwag,ST Jayasuriya,JA Morkel,2,0,null,2,0,null,null
13,2.2,V Sehwag,ST Jayasuriya,JA Morkel,0,1,wides ,1,0,null,null
14,2.3,V Sehwag,ST Jayasuriya,JA Morkel,0,1,wides ,1,0,null,null
15,2.4,V Sehwag,ST Jayasuriya,JA Morkel,0,0,null,0,0,null,null
16,2.5,V Sehwag,ST Jayasuriya,JA Morkel,0,0,null,0,0,null,null
17,2.6,V Sehwag,ST Jayasuriya,JA Morkel,1,0,null,1,0,null,null
18,2.7,ST Jayasuriya,V Sehwag,JA Morkel,4,0,null,4,0,null,null
19,2.8,ST Jayasuriya,V Sehwag,JA Morkel,0,1,noballs ,1,0,null,null
20,2.9,ST Jayasuriya,V Sehwag,JA Morkel,0,0,null,0,0,null,null
21,3.1,V Sehwag,ST Jayasuriya,M Morkel,0,1,wides ,1,0,null,null
22,3.2,V Sehwag,ST Jayasuriya,M Morkel,1,0,null,1,0,null,null
23,3.3,ST Jayasuriya,V Sehwag,M Morkel,0,0,null,0,0,null,null
24,3.4,ST Jayasuriya,V Sehwag,M Morkel,4,0,null,4,0,null,null
25,3.5,ST Jayasuriya,V Sehwag,M Morkel,1,0,null,1,0,null,null
26,3.6,V Sehwag,ST Jayasuriya,M Morkel,1,0,null,1,0,null,null
27,3.7,ST Jayasuriya,V Sehwag,M Morkel,0,0,null,0,0,null,null
28,4.1,V Sehwag,ST Jayasuriya,TM Odoyo,4,0,null,4,0,null,null
29,4.2,V Sehwag,ST Jayasuriya,TM Odoyo,1,0,null,1,0,null,null
30,4.3,ST Jayasuriya,V Sehwag,TM Odoyo,0,0,null,0,0,null,null
31,4.4,ST Jayasuriya,V Sehwag,TM Odoyo,2,0,null,2,0,null,null
32,4.5,ST Jayasuriya,V Sehwag,TM Odoyo,0,0,null,0,1,ST Jayasuriya,caught
33,4.6,SC Ganguly,V Sehwag,TM Odoyo,0,0,null,0,0,null,null
34,5.1,V Sehwag,SC Ganguly,M Morkel,4,0,null,4,0,null,null
35,5.2,V Sehwag,SC Ganguly,M Morkel,0,0,null,0,0,null,null
36,5.3,V Sehwag,SC Ganguly,M Morkel,0,0,null,0,0,null,null
37,5.4,V Sehwag,SC Ganguly,M Morkel,1,0,null,1,0,null,null
38,5.5,SC Ganguly,V Sehwag,M Morkel,0,0,null,0,0,null,null
39,5.6,SC Ganguly,V Sehwag,M Morkel,0,0,null,0,0,null,null
40,6.1,V Sehwag,SC Ganguly,TM Odoyo,1,0,null,1,0,null,null
41,6.2,SC Ganguly,V Sehwag,TM Odoyo,0,0,null,0,0,null,null
42,6.3,SC Ganguly,V Sehwag,TM Odoyo,0,0,null,0,0,null,null
43,6.4,SC Ganguly,V Sehwag,TM Odoyo,0,0,null,0,0,null,null
44,6.5,SC Ganguly,V Sehwag,TM Odoyo,0,0,null,0,0,null,null
45,6.6,SC Ganguly,V Sehwag,TM Odoyo,0,0,null,0,0,null,null
46,7.1,V Sehwag,SC Ganguly,M Morkel,0,0,null,0,0,null,null
47,7.2,V Sehwag,SC Ganguly,M Morkel,0,0,null,0,0,null,null
48,7.3,V Sehwag,SC Ganguly,M Morkel,0,0,null,0,0,null,null
49,7.4,V Sehwag,SC Ganguly,M Morkel,0,0,null,0,0,null,null
50,7.5,V Sehwag,SC Ganguly,M Morkel,4,0,null,4,0,null,null
51,7.6,V Sehwag,SC Ganguly,M Morkel,1,0,null,1,0,null,null
52,8.1,V Sehwag,SC Ganguly,TM Odoyo,0,0,null,0,0,null,null
53,8.2,V Sehwag,SC Ganguly,TM Odoyo,1,0,null,1,0,null,null
54,8.3,SC Ganguly,V Sehwag,TM Odoyo,0,0,null,0,0,null,null
55,8.4,SC Ganguly,V Sehwag,TM Odoyo,0,0,null,0,0,null,null
56,8.5,SC Ganguly,V Sehwag,TM Odoyo,1,0,null,1,0,null,null
57,8.6,V Sehwag,SC Ganguly,TM Odoyo,1,0,null,1,0,null,null
58,9.1,V Sehwag,SC Ganguly,E Chigumbura,4,0,null,4,0,null,null
59,9.2,V Sehwag,SC Ganguly,E Chigumbura,4,0,null,4,0,null,null
