,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,G Gambhir,V Sehwag,SL Malinga,0,0,null,0,0,null,null
1,0.2,G Gambhir,V Sehwag,SL Malinga,1,0,null,1,0,null,null
2,0.3,V Sehwag,G Gambhir,SL Malinga,0,0,null,0,0,null,null
3,0.4,V Sehwag,G Gambhir,SL Malinga,1,0,null,1,0,null,null
4,0.5,G Gambhir,V Sehwag,SL Malinga,0,0,null,0,0,null,null
5,0.6,G Gambhir,V Sehwag,SL Malinga,4,0,null,4,0,null,null
6,1.1,V Sehwag,G Gambhir,NLTC Perera,0,0,null,0,0,null,null
7,1.2,V Sehwag,G Gambhir,NLTC Perera,2,0,null,2,0,null,null
8,1.3,V Sehwag,G Gambhir,NLTC Perera,0,0,null,0,0,null,null
9,1.4,V Sehwag,G Gambhir,NLTC Perera,0,0,null,0,1,V Sehwag,caught
10,1.5,V Kohli,G Gambhir,NLTC Perera,0,0,null,0,0,null,null
11,1.6,V Kohli,G Gambhir,NLTC Perera,0,0,null,0,0,null,null
12,2.1,G Gambhir,V Kohli,SL Malinga,4,0,null,4,0,null,null
13,2.2,G Gambhir,V Kohli,SL Malinga,4,0,null,4,0,null,null
14,2.3,G Gambhir,V Kohli,SL Malinga,0,0,null,0,0,null,null
15,2.4,G Gambhir,V Kohli,SL Malinga,0,0,null,0,0,null,null
16,2.5,G Gambhir,V Kohli,SL Malinga,0,0,null,0,0,null,null
17,2.6,G Gambhir,V Kohli,SL Malinga,0,4,legbyes ,4,0,null,null
18,3.1,V Kohli,G Gambhir,NLTC Perera,1,0,null,1,0,null,null
19,3.2,G Gambhir,V Kohli,NLTC Perera,0,0,null,0,0,null,null
20,3.3,G Gambhir,V Kohli,NLTC Perera,0,0,null,0,0,null,null
21,3.4,G Gambhir,V Kohli,NLTC Perera,0,0,null,0,0,null,null
22,3.5,G Gambhir,V Kohli,NLTC Perera,4,0,null,4,0,null,null
23,3.6,G Gambhir,V Kohli,NLTC Perera,0,0,null,0,0,null,null
24,4.1,V Kohli,G Gambhir,SL Malinga,0,0,null,0,0,null,null
25,4.2,V Kohli,G Gambhir,SL Malinga,0,0,null,0,0,null,null
26,4.3,V Kohli,G Gambhir,SL Malinga,0,0,null,0,0,null,null
27,4.4,V Kohli,G Gambhir,SL Malinga,1,0,null,1,0,null,null
28,4.5,G Gambhir,V Kohli,SL Malinga,0,0,null,0,0,null,null
29,4.6,G Gambhir,V Kohli,SL Malinga,2,0,null,2,0,null,null
30,5.1,V Kohli,G Gambhir,NLTC Perera,0,0,null,0,0,null,null
31,5.2,V Kohli,G Gambhir,NLTC Perera,4,0,null,4,0,null,null
32,5.3,V Kohli,G Gambhir,NLTC Perera,0,0,null,0,0,null,null
33,5.4,V Kohli,G Gambhir,NLTC Perera,0,0,null,0,0,null,null
34,5.5,V Kohli,G Gambhir,NLTC Perera,1,0,null,1,0,null,null
35,5.6,G Gambhir,V Kohli,NLTC Perera,3,0,null,3,0,null,null
36,6.1,G Gambhir,V Kohli,I Udana,1,0,null,1,0,null,null
37,6.2,V Kohli,G Gambhir,I Udana,0,0,null,0,0,null,null
38,6.3,V Kohli,G Gambhir,I Udana,2,0,null,2,0,null,null
39,6.4,V Kohli,G Gambhir,I Udana,0,0,null,0,0,null,null
40,6.5,V Kohli,G Gambhir,I Udana,0,0,null,0,0,null,null
41,6.6,V Kohli,G Gambhir,I Udana,0,0,null,0,0,null,null
42,7.1,G Gambhir,V Kohli,NLTC Perera,4,0,null,4,0,null,null
43,7.2,G Gambhir,V Kohli,NLTC Perera,2,0,null,2,0,null,null
44,7.3,G Gambhir,V Kohli,NLTC Perera,1,0,null,1,0,null,null
45,7.4,V Kohli,G Gambhir,NLTC Perera,0,0,null,0,0,null,null
46,7.5,V Kohli,G Gambhir,NLTC Perera,1,0,null,1,0,null,null
47,7.6,G Gambhir,V Kohli,NLTC Perera,1,0,null,1,0,null,null
48,8.1,G Gambhir,V Kohli,I Udana,1,0,null,1,0,null,null
49,8.2,V Kohli,G Gambhir,I Udana,4,0,null,4,0,null,null
50,8.3,V Kohli,G Gambhir,I Udana,0,0,null,0,0,null,null
51,8.4,V Kohli,G Gambhir,I Udana,0,1,wides ,1,0,null,null
52,8.5,V Kohli,G Gambhir,I Udana,0,1,wides ,1,0,null,null
53,8.6,V Kohli,G Gambhir,I Udana,0,0,null,0,0,null,null
54,8.7,V Kohli,G Gambhir,I Udana,0,0,null,0,0,null,null
55,8.8,V Kohli,G Gambhir,I Udana,0,0,null,0,0,null,null
56,9.1,G Gambhir,V Kohli,AD Mathews,1,0,null,1,0,null,null
57,9.2,V Kohli,G Gambhir,AD Mathews,0,0,null,0,0,null,null
58,9.3,V Kohli,G Gambhir,AD Mathews,1,0,null,1,0,null,null
59,9.4,G Gambhir,V Kohli,AD Mathews,1,0,null,1,0,null,null
60,9.5,V Kohli,G Gambhir,AD Mathews,0,0,null,0,0,null,null
61,9.6,V Kohli,G Gambhir,AD Mathews,0,0,null,0,0,null,null
62,10.1,G Gambhir,V Kohli,I Udana,0,0,null,0,0,null,null
63,10.2,G Gambhir,V Kohli,I Udana,4,0,null,4,0,null,null
64,10.3,G Gambhir,V Kohli,I Udana,1,0,null,1,0,null,null
65,10.4,V Kohli,G Gambhir,I Udana,0,0,null,0,0,null,null
66,10.5,V Kohli,G Gambhir,I Udana,0,0,null,0,0,null,null
67,10.6,V Kohli,G Gambhir,I Udana,0,1,wides ,1,0,null,null
68,10.7,V Kohli,G Gambhir,I Udana,0,1,wides ,1,0,null,null
69,10.8,V Kohli,G Gambhir,I Udana,1,0,null,1,0,null,null
70,11.1,V Kohli,G Gambhir,AD Mathews,0,0,null,0,0,null,null
71,11.2,V Kohli,G Gambhir,AD Mathews,1,0,null,1,0,null,null
72,11.3,G Gambhir,V Kohli,AD Mathews,0,0,null,0,0,null,null
73,11.4,G Gambhir,V Kohli,AD Mathews,1,0,null,1,0,null,null
74,11.5,V Kohli,G Gambhir,AD Mathews,2,0,null,2,0,null,null
75,11.6,V Kohli,G Gambhir,AD Mathews,1,0,null,1,0,null,null
76,12.1,V Kohli,G Gambhir,I Udana,0,0,null,0,0,null,null
77,12.2,V Kohli,G Gambhir,I Udana,2,0,null,2,0,null,null
78,12.3,V Kohli,G Gambhir,I Udana,1,0,null,1,0,null,null
79,12.4,G Gambhir,V Kohli,I Udana,1,0,null,1,0,null,null
80,12.5,V Kohli,G Gambhir,I Udana,1,0,null,1,0,null,null
81,12.6,G Gambhir,V Kohli,I Udana,0,0,null,0,0,null,null
82,13.1,V Kohli,G Gambhir,AD Mathews,0,4,legbyes ,4,0,null,null
83,13.2,V Kohli,G Gambhir,AD Mathews,2,0,null,2,0,null,null
84,13.3,V Kohli,G Gambhir,AD Mathews,0,0,null,0,0,null,null
85,13.4,V Kohli,G Gambhir,AD Mathews,1,0,null,1,0,null,null
86,13.5,G Gambhir,V Kohli,AD Mathews,0,0,null,0,0,null,null
87,13.6,G Gambhir,V Kohli,AD Mathews,0,0,null,0,0,null,null
88,14.1,V Kohli,G Gambhir,HMRKB Herath,0,0,null,0,0,null,null
89,14.2,V Kohli,G Gambhir,HMRKB Herath,1,0,null,1,0,null,null
90,14.3,G Gambhir,V Kohli,HMRKB Herath,1,0,null,1,0,null,null
91,14.4,V Kohli,G Gambhir,HMRKB Herath,0,0,null,0,0,null,null
92,14.5,V Kohli,G Gambhir,HMRKB Herath,0,0,null,0,0,null,null
93,14.6,V Kohli,G Gambhir,HMRKB Herath,1,0,null,1,0,null,null
94,15.1,V Kohli,G Gambhir,TM Dilshan,1,0,null,1,0,null,null
95,15.2,G Gambhir,V Kohli,TM Dilshan,0,0,null,0,0,null,null
96,15.3,G Gambhir,V Kohli,TM Dilshan,0,0,null,0,0,null,null
97,15.4,G Gambhir,V Kohli,TM Dilshan,4,0,null,4,0,null,null
98,15.5,G Gambhir,V Kohli,TM Dilshan,0,0,null,0,0,null,null
99,15.6,G Gambhir,V Kohli,TM Dilshan,2,0,null,2,0,null,null
100,16.1,V Kohli,G Gambhir,HMRKB Herath,0,0,null,0,0,null,null
