,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,V Sehwag,SR Tendulkar,HH Streak,0,0,null,0,0,null,null
1,0.2,V Sehwag,SR Tendulkar,HH Streak,0,0,null,0,0,null,null
2,0.3,V Sehwag,SR Tendulkar,HH Streak,0,0,null,0,0,null,null
3,0.4,V Sehwag,SR Tendulkar,HH Streak,0,0,null,0,0,null,null
4,0.5,V Sehwag,SR Tendulkar,HH Streak,0,0,null,0,0,null,null
5,0.6,V Sehwag,SR Tendulkar,HH Streak,0,0,null,0,0,null,null
6,1.1,SR Tendulkar,V Sehwag,DT Hondo,0,0,null,0,0,null,null
7,1.2,SR Tendulkar,V Sehwag,DT Hondo,0,1,wides ,1,0,null,null
8,1.3,SR Tendulkar,V Sehwag,DT Hondo,0,1,wides ,1,0,null,null
9,1.4,SR Tendulkar,V Sehwag,DT Hondo,0,0,null,0,0,null,null
10,1.5,SR Tendulkar,V Sehwag,DT Hondo,0,0,null,0,0,null,null
11,1.6,SR Tendulkar,V Sehwag,DT Hondo,0,1,wides ,1,0,null,null
12,1.7,SR Tendulkar,V Sehwag,DT Hondo,0,0,null,0,0,null,null
13,1.8,SR Tendulkar,V Sehwag,DT Hondo,0,0,null,0,0,null,null
14,1.9,SR Tendulkar,V Sehwag,DT Hondo,0,0,null,0,0,null,null
15,2.1,V Sehwag,SR Tendulkar,HH Streak,0,0,null,0,0,null,null
16,2.2,V Sehwag,SR Tendulkar,HH Streak,0,0,null,0,0,null,null
17,2.3,V Sehwag,SR Tendulkar,HH Streak,0,0,null,0,0,null,null
18,2.4,V Sehwag,SR Tendulkar,HH Streak,0,0,null,0,0,null,null
19,2.5,V Sehwag,SR Tendulkar,HH Streak,0,0,null,0,0,null,null
20,2.6,V Sehwag,SR Tendulkar,HH Streak,0,0,null,0,0,null,null
21,3.1,SR Tendulkar,V Sehwag,DT Hondo,0,0,null,0,0,null,null
22,3.2,SR Tendulkar,V Sehwag,DT Hondo,0,1,wides ,1,0,null,null
23,3.3,SR Tendulkar,V Sehwag,DT Hondo,4,0,null,4,0,null,null
24,3.4,SR Tendulkar,V Sehwag,DT Hondo,1,0,null,1,0,null,null
25,3.5,V Sehwag,SR Tendulkar,DT Hondo,0,0,null,0,0,null,null
26,3.6,V Sehwag,SR Tendulkar,DT Hondo,0,0,null,0,0,null,null
27,3.7,V Sehwag,SR Tendulkar,DT Hondo,0,0,null,0,0,null,null
28,4.1,SR Tendulkar,V Sehwag,HH Streak,0,0,null,0,0,null,null
29,4.2,SR Tendulkar,V Sehwag,HH Streak,0,0,null,0,0,null,null
30,4.3,SR Tendulkar,V Sehwag,HH Streak,1,0,null,1,0,null,null
31,4.4,V Sehwag,SR Tendulkar,HH Streak,1,0,null,1,0,null,null
32,4.5,SR Tendulkar,V Sehwag,HH Streak,0,0,null,0,0,null,null
33,4.6,SR Tendulkar,V Sehwag,HH Streak,4,0,null,4,0,null,null
34,5.1,V Sehwag,SR Tendulkar,DT Hondo,0,0,null,0,0,null,null
35,5.2,V Sehwag,SR Tendulkar,DT Hondo,1,0,null,1,0,null,null
36,5.3,SR Tendulkar,V Sehwag,DT Hondo,1,0,null,1,0,null,null
37,5.4,V Sehwag,SR Tendulkar,DT Hondo,1,0,null,1,0,null,null
38,5.5,SR Tendulkar,V Sehwag,DT Hondo,0,0,null,0,0,null,null
39,5.6,SR Tendulkar,V Sehwag,DT Hondo,4,0,null,4,0,null,null
40,6.1,V Sehwag,SR Tendulkar,HH Streak,0,1,wides ,1,0,null,null
41,6.2,V Sehwag,SR Tendulkar,HH Streak,0,0,null,0,0,null,null
42,6.3,V Sehwag,SR Tendulkar,HH Streak,0,0,null,0,0,null,null
43,6.4,V Sehwag,SR Tendulkar,HH Streak,1,0,null,1,0,null,null
44,6.5,SR Tendulkar,V Sehwag,HH Streak,4,0,null,4,0,null,null
45,6.6,SR Tendulkar,V Sehwag,HH Streak,0,0,null,0,0,null,null
46,7.1,V Sehwag,SR Tendulkar,SM Ervine,0,0,null,0,0,null,null
47,7.2,V Sehwag,SR Tendulkar,SM Ervine,0,0,null,0,0,null,null
48,7.3,V Sehwag,SR Tendulkar,SM Ervine,4,0,null,4,0,null,null
49,7.4,V Sehwag,SR Tendulkar,SM Ervine,0,0,null,0,0,null,null
50,7.5,V Sehwag,SR Tendulkar,SM Ervine,0,0,null,0,0,null,null
51,7.6,V Sehwag,SR Tendulkar,SM Ervine,2,0,null,2,0,null,null
52,8.1,SR Tendulkar,V Sehwag,HH Streak,1,0,null,1,0,null,null
53,8.2,V Sehwag,SR Tendulkar,HH Streak,4,0,null,4,0,null,null
54,8.3,V Sehwag,SR Tendulkar,HH Streak,0,0,null,0,0,null,null
55,8.4,V Sehwag,SR Tendulkar,HH Streak,2,0,null,2,0,null,null
56,8.5,V Sehwag,SR Tendulkar,HH Streak,0,2,legbyes ,2,0,null,null
57,8.6,V Sehwag,SR Tendulkar,HH Streak,4,0,null,4,0,null,null
58,9.1,SR Tendulkar,V Sehwag,SM Ervine,1,0,null,1,0,null,null
59,9.2,V Sehwag,SR Tendulkar,SM Ervine,0,0,null,0,0,null,null
60,9.3,V Sehwag,SR Tendulkar,SM Ervine,0,0,null,0,0,null,null
61,9.4,V Sehwag,SR Tendulkar,SM Ervine,6,0,null,6,0,null,null
62,9.5,V Sehwag,SR Tendulkar,SM Ervine,0,0,null,0,0,null,null
63,9.6,V Sehwag,SR Tendulkar,SM Ervine,0,0,null,0,0,null,null
64,10.1,SR Tendulkar,V Sehwag,AM Blignaut,1,0,null,1,0,null,null
65,10.2,V Sehwag,SR Tendulkar,AM Blignaut,0,0,null,0,0,null,null
66,10.3,V Sehwag,SR Tendulkar,AM Blignaut,1,0,null,1,0,null,null
67,10.4,SR Tendulkar,V Sehwag,AM Blignaut,0,0,null,0,0,null,null
68,10.5,SR Tendulkar,V Sehwag,AM Blignaut,0,0,null,0,0,null,null
69,10.6,SR Tendulkar,V Sehwag,AM Blignaut,0,0,null,0,0,null,null
70,11.1,V Sehwag,SR Tendulkar,SM Ervine,0,0,null,0,0,null,null
71,11.2,V Sehwag,SR Tendulkar,SM Ervine,0,0,null,0,0,null,null
72,11.3,V Sehwag,SR Tendulkar,SM Ervine,6,0,null,6,0,null,null
73,11.4,V Sehwag,SR Tendulkar,SM Ervine,0,0,null,0,0,null,null
74,11.5,V Sehwag,SR Tendulkar,SM Ervine,1,0,null,1,0,null,null
75,11.6,SR Tendulkar,V Sehwag,SM Ervine,0,0,null,0,0,null,null
76,12.1,V Sehwag,SR Tendulkar,AM Blignaut,0,0,null,0,0,null,null
77,12.2,V Sehwag,SR Tendulkar,AM Blignaut,2,0,null,2,0,null,null
78,12.3,V Sehwag,SR Tendulkar,AM Blignaut,0,0,null,0,0,null,null
79,12.4,V Sehwag,SR Tendulkar,AM Blignaut,0,0,null,0,0,null,null
80,12.5,V Sehwag,SR Tendulkar,AM Blignaut,1,0,null,1,0,null,null
81,12.6,SR Tendulkar,V Sehwag,AM Blignaut,4,0,null,4,0,null,null
82,13.1,V Sehwag,SR Tendulkar,SM Ervine,2,0,null,2,0,null,null
83,13.2,V Sehwag,SR Tendulkar,SM Ervine,0,0,null,0,0,null,null
84,13.3,V Sehwag,SR Tendulkar,SM Ervine,0,0,null,0,0,null,null
