,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,Tamim Iqbal,Anamul Haque,SS Cottrell,0,1,wides ,1,0,null,null
1,0.2,Tamim Iqbal,Anamul Haque,SS Cottrell,0,0,null,0,0,null,null
2,0.3,Tamim Iqbal,Anamul Haque,SS Cottrell,0,0,null,0,0,null,null
3,0.4,Tamim Iqbal,Anamul Haque,SS Cottrell,0,1,legbyes ,1,0,null,null
4,0.5,Anamul Haque,Tamim Iqbal,SS Cottrell,0,0,null,0,0,null,null
5,0.6,Anamul Haque,Tamim Iqbal,SS Cottrell,0,1,noballs ,1,0,null,null
6,0.7,Anamul Haque,Tamim Iqbal,SS Cottrell,1,0,null,1,0,null,null
7,0.8,Tamim Iqbal,Anamul Haque,SS Cottrell,2,0,null,2,0,null,null
8,1.1,Anamul Haque,Tamim Iqbal,JO Holder,0,0,null,0,0,null,null
9,1.2,Anamul Haque,Tamim Iqbal,JO Holder,0,0,null,0,0,null,null
10,1.3,Anamul Haque,Tamim Iqbal,JO Holder,0,0,null,0,0,null,null
11,1.4,Anamul Haque,Tamim Iqbal,JO Holder,0,0,null,0,0,null,null
12,1.5,Anamul Haque,Tamim Iqbal,JO Holder,0,0,null,0,0,null,null
13,1.6,Anamul Haque,Tamim Iqbal,JO Holder,4,0,null,4,0,null,null
14,2.1,Tamim Iqbal,Anamul Haque,SS Cottrell,3,0,null,3,0,null,null
15,2.2,Anamul Haque,Tamim Iqbal,SS Cottrell,2,0,null,2,0,null,null
16,2.3,Anamul Haque,Tamim Iqbal,SS Cottrell,0,0,null,0,0,null,null
17,2.4,Anamul Haque,Tamim Iqbal,SS Cottrell,0,0,null,0,0,null,null
18,2.5,Anamul Haque,Tamim Iqbal,SS Cottrell,0,0,null,0,0,null,null
19,2.6,Anamul Haque,Tamim Iqbal,SS Cottrell,0,0,null,0,0,null,null
20,3.1,Tamim Iqbal,Anamul Haque,JO Holder,0,0,null,0,0,null,null
21,3.2,Tamim Iqbal,Anamul Haque,JO Holder,0,0,null,0,0,null,null
22,3.3,Tamim Iqbal,Anamul Haque,JO Holder,0,0,null,0,0,null,null
23,3.4,Tamim Iqbal,Anamul Haque,JO Holder,0,1,wides ,1,0,null,null
24,3.5,Tamim Iqbal,Anamul Haque,JO Holder,0,0,null,0,0,null,null
25,3.6,Tamim Iqbal,Anamul Haque,JO Holder,1,0,null,1,0,null,null
26,3.7,Anamul Haque,Tamim Iqbal,JO Holder,0,0,null,0,0,null,null
27,4.1,Tamim Iqbal,Anamul Haque,SS Cottrell,0,0,null,0,0,null,null
28,4.2,Tamim Iqbal,Anamul Haque,SS Cottrell,0,0,null,0,0,null,null
29,4.3,Tamim Iqbal,Anamul Haque,SS Cottrell,4,0,null,4,0,null,null
30,4.4,Tamim Iqbal,Anamul Haque,SS Cottrell,4,0,null,4,0,null,null
31,4.5,Tamim Iqbal,Anamul Haque,SS Cottrell,0,0,null,0,0,null,null
32,4.6,Tamim Iqbal,Anamul Haque,SS Cottrell,0,0,null,0,0,null,null
33,5.1,Anamul Haque,Tamim Iqbal,JO Holder,0,0,null,0,0,null,null
34,5.2,Anamul Haque,Tamim Iqbal,JO Holder,0,0,null,0,0,null,null
35,5.3,Anamul Haque,Tamim Iqbal,JO Holder,0,0,null,0,0,null,null
36,5.4,Anamul Haque,Tamim Iqbal,JO Holder,1,0,null,1,0,null,null
37,5.5,Tamim Iqbal,Anamul Haque,JO Holder,1,0,null,1,0,null,null
38,5.6,Anamul Haque,Tamim Iqbal,JO Holder,0,0,null,0,0,null,null
39,6.1,Tamim Iqbal,Anamul Haque,SS Cottrell,0,0,null,0,0,null,null
40,6.2,Tamim Iqbal,Anamul Haque,SS Cottrell,0,0,null,0,0,null,null
41,6.3,Tamim Iqbal,Anamul Haque,SS Cottrell,0,0,null,0,0,null,null
42,6.4,Tamim Iqbal,Anamul Haque,SS Cottrell,1,0,null,1,0,null,null
43,6.5,Anamul Haque,Tamim Iqbal,SS Cottrell,0,0,null,0,0,null,null
44,6.6,Anamul Haque,Tamim Iqbal,SS Cottrell,0,0,null,0,0,null,null
45,7.1,Tamim Iqbal,Anamul Haque,JO Holder,2,0,null,2,0,null,null
46,7.2,Tamim Iqbal,Anamul Haque,JO Holder,1,0,null,1,0,null,null
47,7.3,Anamul Haque,Tamim Iqbal,JO Holder,0,0,null,0,0,null,null
48,7.4,Anamul Haque,Tamim Iqbal,JO Holder,0,0,null,0,0,null,null
49,7.5,Anamul Haque,Tamim Iqbal,JO Holder,1,0,null,1,0,null,null
50,7.6,Tamim Iqbal,Anamul Haque,JO Holder,0,0,null,0,0,null,null
51,8.1,Anamul Haque,Tamim Iqbal,SS Cottrell,0,0,null,0,0,null,null
52,8.2,Anamul Haque,Tamim Iqbal,SS Cottrell,1,0,null,1,0,null,null
53,8.3,Tamim Iqbal,Anamul Haque,SS Cottrell,1,0,null,1,0,null,null
54,8.4,Anamul Haque,Tamim Iqbal,SS Cottrell,0,0,null,0,0,null,null
55,8.5,Anamul Haque,Tamim Iqbal,SS Cottrell,0,0,null,0,0,null,null
56,8.6,Anamul Haque,Tamim Iqbal,SS Cottrell,0,0,null,0,0,null,null
57,9.1,Tamim Iqbal,Anamul Haque,JO Holder,0,0,null,0,0,null,null
58,9.2,Tamim Iqbal,Anamul Haque,JO Holder,1,0,null,1,0,null,null
59,9.3,Anamul Haque,Tamim Iqbal,JO Holder,0,0,null,0,1,Anamul Haque,caught
60,9.4,Tamim Iqbal,Shakib Al Hasan,JO Holder,2,0,null,2,0,null,null
61,9.5,Tamim Iqbal,Shakib Al Hasan,JO Holder,0,0,null,0,0,null,null
62,9.6,Tamim Iqbal,Shakib Al Hasan,JO Holder,0,0,null,0,0,null,null
63,10.1,Shakib Al Hasan,Tamim Iqbal,D Bishoo,0,0,null,0,0,null,null
64,10.2,Shakib Al Hasan,Tamim Iqbal,D Bishoo,0,0,null,0,0,null,null
65,10.3,Shakib Al Hasan,Tamim Iqbal,D Bishoo,1,0,null,1,0,null,null
66,10.4,Tamim Iqbal,Shakib Al Hasan,D Bishoo,0,0,null,0,0,null,null
