,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,TD Paine,AC Voges,R Rampaul,1,0,null,1,0,null,null
1,0.2,AC Voges,TD Paine,R Rampaul,0,1,wides ,1,0,null,null
2,0.3,AC Voges,TD Paine,R Rampaul,0,0,null,0,0,null,null
3,0.4,AC Voges,TD Paine,R Rampaul,0,0,null,0,0,null,null
4,0.5,AC Voges,TD Paine,R Rampaul,1,0,null,1,0,null,null
5,0.6,TD Paine,AC Voges,R Rampaul,0,0,null,0,0,null,null
6,0.7,TD Paine,AC Voges,R Rampaul,1,0,null,1,0,null,null
7,1.1,TD Paine,AC Voges,DR Smith,0,0,null,0,0,null,null
8,1.2,TD Paine,AC Voges,DR Smith,0,0,null,0,0,null,null
9,1.3,TD Paine,AC Voges,DR Smith,0,0,null,0,0,null,null
10,1.4,TD Paine,AC Voges,DR Smith,0,1,wides ,1,0,null,null
11,1.5,TD Paine,AC Voges,DR Smith,0,0,null,0,0,null,null
12,1.6,TD Paine,AC Voges,DR Smith,0,0,null,0,0,null,null
13,1.7,TD Paine,AC Voges,DR Smith,4,0,null,4,0,null,null
14,2.1,AC Voges,TD Paine,R Rampaul,0,0,null,0,0,null,null
15,2.2,AC Voges,TD Paine,R Rampaul,1,0,null,1,0,null,null
16,2.3,TD Paine,AC Voges,R Rampaul,0,0,null,0,0,null,null
17,2.4,TD Paine,AC Voges,R Rampaul,0,0,null,0,0,null,null
18,2.5,TD Paine,AC Voges,R Rampaul,0,0,null,0,0,null,null
19,2.6,TD Paine,AC Voges,R Rampaul,4,0,null,4,0,null,null
20,3.1,AC Voges,TD Paine,DR Smith,0,0,null,0,0,null,null
21,3.2,AC Voges,TD Paine,DR Smith,1,0,null,1,0,null,null
22,3.3,TD Paine,AC Voges,DR Smith,0,0,null,0,0,null,null
23,3.4,TD Paine,AC Voges,DR Smith,0,0,null,0,0,null,null
24,3.5,TD Paine,AC Voges,DR Smith,1,0,null,1,0,null,null
25,3.6,AC Voges,TD Paine,DR Smith,0,0,null,0,0,null,null
26,4.1,TD Paine,AC Voges,R Rampaul,0,0,null,0,0,null,null
27,4.2,TD Paine,AC Voges,R Rampaul,0,0,null,0,0,null,null
28,4.3,TD Paine,AC Voges,R Rampaul,0,0,null,0,0,null,null
29,4.4,TD Paine,AC Voges,R Rampaul,1,0,null,1,0,null,null
30,4.5,AC Voges,TD Paine,R Rampaul,0,0,null,0,0,null,null
31,4.6,AC Voges,TD Paine,R Rampaul,4,0,null,4,0,null,null
32,5.1,TD Paine,AC Voges,DR Smith,0,0,null,0,0,null,null
33,5.2,TD Paine,AC Voges,DR Smith,0,0,null,0,0,null,null
34,5.3,TD Paine,AC Voges,DR Smith,0,1,wides ,1,0,null,null
35,5.4,TD Paine,AC Voges,DR Smith,0,0,null,0,0,null,null
36,5.5,TD Paine,AC Voges,DR Smith,0,0,null,0,0,null,null
37,5.6,TD Paine,AC Voges,DR Smith,0,0,null,0,0,null,null
