,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,Fakhar Zaman,Imam-ul-Haq,A Dutt,2,0,null,2,0,null,null
1,0.2,Fakhar Zaman,Imam-ul-Haq,A Dutt,0,0,null,0,0,null,null
2,0.3,Fakhar Zaman,Imam-ul-Haq,A Dutt,0,0,null,0,0,null,null
3,0.4,Fakhar Zaman,Imam-ul-Haq,A Dutt,0,0,null,0,0,null,null
4,0.5,Fakhar Zaman,Imam-ul-Haq,A Dutt,0,0,null,0,0,null,null
5,0.6,Fakhar Zaman,Imam-ul-Haq,A Dutt,0,0,null,0,0,null,null
6,1.1,Imam-ul-Haq,Fakhar Zaman,VJ Kingma,0,0,null,0,0,null,null
7,1.2,Imam-ul-Haq,Fakhar Zaman,VJ Kingma,0,0,null,0,0,null,null
8,1.3,Imam-ul-Haq,Fakhar Zaman,VJ Kingma,0,0,null,0,0,null,null
9,1.4,Imam-ul-Haq,Fakhar Zaman,VJ Kingma,0,0,null,0,0,null,null
10,1.5,Imam-ul-Haq,Fakhar Zaman,VJ Kingma,0,0,null,0,0,null,null
11,1.6,Imam-ul-Haq,Fakhar Zaman,VJ Kingma,0,0,null,0,0,null,null
12,2.1,Fakhar Zaman,Imam-ul-Haq,A Dutt,0,0,null,0,0,null,null
13,2.2,Fakhar Zaman,Imam-ul-Haq,A Dutt,0,0,null,0,0,null,null
14,2.3,Fakhar Zaman,Imam-ul-Haq,A Dutt,0,0,null,0,0,null,null
15,2.4,Fakhar Zaman,Imam-ul-Haq,A Dutt,0,0,null,0,0,null,null
16,2.5,Fakhar Zaman,Imam-ul-Haq,A Dutt,0,0,null,0,0,null,null
17,2.6,Fakhar Zaman,Imam-ul-Haq,A Dutt,0,0,null,0,0,null,null
18,3.1,Imam-ul-Haq,Fakhar Zaman,VJ Kingma,0,0,null,0,0,null,null
19,3.2,Imam-ul-Haq,Fakhar Zaman,VJ Kingma,0,0,null,0,0,null,null
20,3.3,Imam-ul-Haq,Fakhar Zaman,VJ Kingma,0,0,null,0,0,null,null
