,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,Rahmanullah Gurbaz,Javed Ahmadi,BJ McCarthy,0,1,wides ,1,0,null,null
1,0.2,Rahmanullah Gurbaz,Javed Ahmadi,BJ McCarthy,0,0,null,0,0,null,null
2,0.3,Rahmanullah Gurbaz,Javed Ahmadi,BJ McCarthy,0,0,null,0,0,null,null
3,0.4,Rahmanullah Gurbaz,Javed Ahmadi,BJ McCarthy,0,0,null,0,0,null,null
4,0.5,Rahmanullah Gurbaz,Javed Ahmadi,BJ McCarthy,0,0,null,0,0,null,null
5,0.6,Rahmanullah Gurbaz,Javed Ahmadi,BJ McCarthy,0,0,null,0,0,null,null
6,0.7,Rahmanullah Gurbaz,Javed Ahmadi,BJ McCarthy,0,0,null,0,0,null,null
7,1.1,Javed Ahmadi,Rahmanullah Gurbaz,CA Young,2,0,null,2,0,null,null
8,1.2,Javed Ahmadi,Rahmanullah Gurbaz,CA Young,0,0,null,0,0,null,null
9,1.3,Javed Ahmadi,Rahmanullah Gurbaz,CA Young,0,0,null,0,0,null,null
10,1.4,Javed Ahmadi,Rahmanullah Gurbaz,CA Young,0,0,null,0,0,null,null
11,1.5,Javed Ahmadi,Rahmanullah Gurbaz,CA Young,0,0,null,0,0,null,null
12,1.6,Javed Ahmadi,Rahmanullah Gurbaz,CA Young,0,0,null,0,0,null,null
13,2.1,Rahmanullah Gurbaz,Javed Ahmadi,BJ McCarthy,0,0,null,0,0,null,null
14,2.2,Rahmanullah Gurbaz,Javed Ahmadi,BJ McCarthy,0,0,null,0,0,null,null
15,2.3,Rahmanullah Gurbaz,Javed Ahmadi,BJ McCarthy,6,0,null,6,0,null,null
16,2.4,Rahmanullah Gurbaz,Javed Ahmadi,BJ McCarthy,0,0,null,0,0,null,null
17,2.5,Rahmanullah Gurbaz,Javed Ahmadi,BJ McCarthy,4,0,null,4,0,null,null
18,2.6,Rahmanullah Gurbaz,Javed Ahmadi,BJ McCarthy,0,0,null,0,0,null,null
19,3.1,Javed Ahmadi,Rahmanullah Gurbaz,CA Young,0,0,null,0,0,null,null
20,3.2,Javed Ahmadi,Rahmanullah Gurbaz,CA Young,0,0,null,0,0,null,null
21,3.3,Javed Ahmadi,Rahmanullah Gurbaz,CA Young,0,0,null,0,0,null,null
22,3.4,Javed Ahmadi,Rahmanullah Gurbaz,CA Young,0,0,null,0,0,null,null
23,3.5,Javed Ahmadi,Rahmanullah Gurbaz,CA Young,0,0,null,0,0,null,null
24,3.6,Javed Ahmadi,Rahmanullah Gurbaz,CA Young,0,0,null,0,0,null,null
25,4.1,Rahmanullah Gurbaz,Javed Ahmadi,BJ McCarthy,0,0,null,0,0,null,null
26,4.2,Rahmanullah Gurbaz,Javed Ahmadi,BJ McCarthy,4,0,null,4,0,null,null
27,4.3,Rahmanullah Gurbaz,Javed Ahmadi,BJ McCarthy,0,0,null,0,0,null,null
28,4.4,Rahmanullah Gurbaz,Javed Ahmadi,BJ McCarthy,4,0,null,4,0,null,null
29,4.5,Rahmanullah Gurbaz,Javed Ahmadi,BJ McCarthy,0,0,null,0,0,null,null
30,4.6,Rahmanullah Gurbaz,Javed Ahmadi,BJ McCarthy,0,0,null,0,0,null,null
31,5.1,Javed Ahmadi,Rahmanullah Gurbaz,CA Young,1,0,null,1,0,null,null
32,5.2,Rahmanullah Gurbaz,Javed Ahmadi,CA Young,1,0,null,1,0,null,null
33,5.3,Javed Ahmadi,Rahmanullah Gurbaz,CA Young,4,0,null,4,0,null,null
34,5.4,Javed Ahmadi,Rahmanullah Gurbaz,CA Young,0,0,null,0,0,null,null
35,5.5,Javed Ahmadi,Rahmanullah Gurbaz,CA Young,1,0,null,1,0,null,null
36,5.6,Rahmanullah Gurbaz,Javed Ahmadi,CA Young,0,0,null,0,0,null,null
37,6.1,Javed Ahmadi,Rahmanullah Gurbaz,BJ McCarthy,0,0,null,0,0,null,null
38,6.2,Javed Ahmadi,Rahmanullah Gurbaz,BJ McCarthy,0,0,null,0,0,null,null
39,6.3,Javed Ahmadi,Rahmanullah Gurbaz,BJ McCarthy,1,0,null,1,0,null,null
40,6.4,Rahmanullah Gurbaz,Javed Ahmadi,BJ McCarthy,1,0,null,1,0,null,null
41,6.5,Javed Ahmadi,Rahmanullah Gurbaz,BJ McCarthy,0,4,legbyes ,4,0,null,null
42,6.6,Javed Ahmadi,Rahmanullah Gurbaz,BJ McCarthy,4,0,null,4,0,null,null
43,7.1,Rahmanullah Gurbaz,Javed Ahmadi,CA Young,0,0,null,0,0,null,null
44,7.2,Rahmanullah Gurbaz,Javed Ahmadi,CA Young,6,0,null,6,0,null,null
45,7.3,Rahmanullah Gurbaz,Javed Ahmadi,CA Young,0,0,null,0,0,null,null
46,7.4,Rahmanullah Gurbaz,Javed Ahmadi,CA Young,0,0,null,0,0,null,null
47,7.5,Rahmanullah Gurbaz,Javed Ahmadi,CA Young,0,0,null,0,0,null,null
48,7.6,Rahmanullah Gurbaz,Javed Ahmadi,CA Young,4,0,null,4,0,null,null
49,8.1,Javed Ahmadi,Rahmanullah Gurbaz,Simi Singh,0,0,null,0,0,null,null
50,8.2,Javed Ahmadi,Rahmanullah Gurbaz,Simi Singh,0,0,null,0,0,null,null
51,8.3,Javed Ahmadi,Rahmanullah Gurbaz,Simi Singh,0,0,null,0,0,null,null
52,8.4,Javed Ahmadi,Rahmanullah Gurbaz,Simi Singh,0,0,null,0,0,null,null
53,8.5,Javed Ahmadi,Rahmanullah Gurbaz,Simi Singh,0,0,null,0,0,null,null
54,8.6,Javed Ahmadi,Rahmanullah Gurbaz,Simi Singh,0,0,null,0,0,null,null
55,9.1,Rahmanullah Gurbaz,Javed Ahmadi,C Campher,0,0,null,0,0,null,null
56,9.2,Rahmanullah Gurbaz,Javed Ahmadi,C Campher,6,0,null,6,0,null,null
57,9.3,Rahmanullah Gurbaz,Javed Ahmadi,C Campher,4,0,null,4,0,null,null
58,9.4,Rahmanullah Gurbaz,Javed Ahmadi,C Campher,0,0,null,0,0,null,null
59,9.5,Rahmanullah Gurbaz,Javed Ahmadi,C Campher,0,0,null,0,0,null,null
60,9.6,Rahmanullah Gurbaz,Javed Ahmadi,C Campher,1,0,null,1,0,null,null
61,10.1,Rahmanullah Gurbaz,Javed Ahmadi,Simi Singh,1,0,null,1,0,null,null
62,10.2,Javed Ahmadi,Rahmanullah Gurbaz,Simi Singh,1,0,null,1,0,null,null
63,10.3,Rahmanullah Gurbaz,Javed Ahmadi,Simi Singh,1,0,null,1,0,null,null
64,10.4,Javed Ahmadi,Rahmanullah Gurbaz,Simi Singh,0,0,null,0,0,null,null
65,10.5,Javed Ahmadi,Rahmanullah Gurbaz,Simi Singh,1,0,null,1,0,null,null
66,10.6,Rahmanullah Gurbaz,Javed Ahmadi,Simi Singh,1,0,null,1,0,null,null
67,11.1,Rahmanullah Gurbaz,Javed Ahmadi,C Campher,0,0,null,0,0,null,null
68,11.2,Rahmanullah Gurbaz,Javed Ahmadi,C Campher,6,0,null,6,0,null,null
69,11.3,Rahmanullah Gurbaz,Javed Ahmadi,C Campher,0,0,null,0,0,null,null
70,11.4,Rahmanullah Gurbaz,Javed Ahmadi,C Campher,4,0,null,4,0,null,null
71,11.5,Rahmanullah Gurbaz,Javed Ahmadi,C Campher,0,0,null,0,0,null,null
72,11.6,Rahmanullah Gurbaz,Javed Ahmadi,C Campher,1,0,null,1,0,null,null
73,12.1,Rahmanullah Gurbaz,Javed Ahmadi,Simi Singh,0,0,null,0,0,null,null
74,12.2,Rahmanullah Gurbaz,Javed Ahmadi,Simi Singh,1,0,null,1,0,null,null
75,12.3,Javed Ahmadi,Rahmanullah Gurbaz,Simi Singh,2,0,null,2,0,null,null
76,12.4,Javed Ahmadi,Rahmanullah Gurbaz,Simi Singh,1,0,null,1,0,null,null
77,12.5,Rahmanullah Gurbaz,Javed Ahmadi,Simi Singh,0,0,null,0,0,null,null
78,12.6,Rahmanullah Gurbaz,Javed Ahmadi,Simi Singh,0,0,null,0,0,null,null
79,13.1,Javed Ahmadi,Rahmanullah Gurbaz,AR McBrine,0,0,null,0,0,null,null
80,13.2,Javed Ahmadi,Rahmanullah Gurbaz,AR McBrine,0,0,null,0,0,null,null
81,13.3,Javed Ahmadi,Rahmanullah Gurbaz,AR McBrine,0,0,null,0,0,null,null
82,13.4,Javed Ahmadi,Rahmanullah Gurbaz,AR McBrine,0,0,null,0,0,null,null
83,13.5,Javed Ahmadi,Rahmanullah Gurbaz,AR McBrine,1,0,null,1,0,null,null
84,13.6,Rahmanullah Gurbaz,Javed Ahmadi,AR McBrine,1,0,null,1,0,null,null
85,14.1,Rahmanullah Gurbaz,Javed Ahmadi,Simi Singh,0,0,null,0,0,null,null
86,14.2,Rahmanullah Gurbaz,Javed Ahmadi,Simi Singh,2,0,null,2,0,null,null
87,14.3,Rahmanullah Gurbaz,Javed Ahmadi,Simi Singh,0,0,null,0,0,null,null
88,14.4,Rahmanullah Gurbaz,Javed Ahmadi,Simi Singh,0,0,null,0,0,null,null
89,14.5,Rahmanullah Gurbaz,Javed Ahmadi,Simi Singh,1,0,null,1,0,null,null
90,14.6,Javed Ahmadi,Rahmanullah Gurbaz,Simi Singh,2,0,null,2,0,null,null
91,15.1,Rahmanullah Gurbaz,Javed Ahmadi,AR McBrine,0,0,null,0,0,null,null
92,15.2,Rahmanullah Gurbaz,Javed Ahmadi,AR McBrine,0,0,null,0,0,null,null
93,15.3,Rahmanullah Gurbaz,Javed Ahmadi,AR McBrine,0,1,wides ,1,0,null,null
94,15.4,Rahmanullah Gurbaz,Javed Ahmadi,AR McBrine,0,0,null,0,0,null,null
95,15.5,Rahmanullah Gurbaz,Javed Ahmadi,AR McBrine,0,0,null,0,0,null,null
96,15.6,Rahmanullah Gurbaz,Javed Ahmadi,AR McBrine,1,0,null,1,0,null,null
97,15.7,Javed Ahmadi,Rahmanullah Gurbaz,AR McBrine,0,0,null,0,0,null,null
98,16.1,Rahmanullah Gurbaz,Javed Ahmadi,Simi Singh,0,0,null,0,0,null,null
99,16.2,Rahmanullah Gurbaz,Javed Ahmadi,Simi Singh,0,0,null,0,0,null,null
100,16.3,Rahmanullah Gurbaz,Javed Ahmadi,Simi Singh,0,0,null,0,0,null,null
101,16.4,Rahmanullah Gurbaz,Javed Ahmadi,Simi Singh,1,0,null,1,0,null,null
102,16.5,Javed Ahmadi,Rahmanullah Gurbaz,Simi Singh,0,0,null,0,0,null,null
103,16.6,Javed Ahmadi,Rahmanullah Gurbaz,Simi Singh,2,0,null,2,0,null,null
104,17.1,Rahmanullah Gurbaz,Javed Ahmadi,AR McBrine,0,0,null,0,0,null,null
105,17.2,Rahmanullah Gurbaz,Javed Ahmadi,AR McBrine,0,0,null,0,0,null,null
106,17.3,Rahmanullah Gurbaz,Javed Ahmadi,AR McBrine,1,0,null,1,0,null,null
107,17.4,Javed Ahmadi,Rahmanullah Gurbaz,AR McBrine,0,0,null,0,0,null,null
108,17.5,Javed Ahmadi,Rahmanullah Gurbaz,AR McBrine,0,2,byes ,2,0,null,null
109,17.6,Javed Ahmadi,Rahmanullah Gurbaz,AR McBrine,0,0,null,0,0,null,null
110,18.1,Rahmanullah Gurbaz,Javed Ahmadi,Simi Singh,1,0,null,1,0,null,null
111,18.2,Javed Ahmadi,Rahmanullah Gurbaz,Simi Singh,0,0,null,0,0,null,null
112,18.3,Javed Ahmadi,Rahmanullah Gurbaz,Simi Singh,0,0,null,0,0,null,null
113,18.4,Javed Ahmadi,Rahmanullah Gurbaz,Simi Singh,0,0,null,0,0,null,null
114,18.5,Javed Ahmadi,Rahmanullah Gurbaz,Simi Singh,0,0,null,0,0,null,null
115,18.6,Javed Ahmadi,Rahmanullah Gurbaz,Simi Singh,6,0,null,6,0,null,null
116,19.1,Rahmanullah Gurbaz,Javed Ahmadi,AR McBrine,1,0,null,1,0,null,null
117,19.2,Javed Ahmadi,Rahmanullah Gurbaz,AR McBrine,1,0,null,1,0,null,null
118,19.3,Rahmanullah Gurbaz,Javed Ahmadi,AR McBrine,0,0,null,0,0,null,null
119,19.4,Rahmanullah Gurbaz,Javed Ahmadi,AR McBrine,0,0,null,0,0,null,null
120,19.5,Rahmanullah Gurbaz,Javed Ahmadi,AR McBrine,0,0,null,0,0,null,null
121,19.6,Rahmanullah Gurbaz,Javed Ahmadi,AR McBrine,1,0,null,1,0,null,null
122,20.1,Rahmanullah Gurbaz,Javed Ahmadi,Simi Singh,0,0,null,0,0,null,null
123,20.2,Rahmanullah Gurbaz,Javed Ahmadi,Simi Singh,6,0,null,6,0,null,null
124,20.3,Rahmanullah Gurbaz,Javed Ahmadi,Simi Singh,0,0,null,0,0,null,null
125,20.4,Rahmanullah Gurbaz,Javed Ahmadi,Simi Singh,1,0,null,1,0,null,null
126,20.5,Javed Ahmadi,Rahmanullah Gurbaz,Simi Singh,6,0,null,6,0,null,null
127,20.6,Javed Ahmadi,Rahmanullah Gurbaz,Simi Singh,1,0,null,1,0,null,null
128,21.1,Javed Ahmadi,Rahmanullah Gurbaz,AR McBrine,0,0,null,0,0,null,null
129,21.2,Javed Ahmadi,Rahmanullah Gurbaz,AR McBrine,1,0,null,1,0,null,null
130,21.3,Rahmanullah Gurbaz,Javed Ahmadi,AR McBrine,0,0,null,0,0,null,null
131,21.4,Rahmanullah Gurbaz,Javed Ahmadi,AR McBrine,0,0,null,0,0,null,null
132,21.5,Rahmanullah Gurbaz,Javed Ahmadi,AR McBrine,1,0,null,1,0,null,null
133,21.6,Javed Ahmadi,Rahmanullah Gurbaz,AR McBrine,0,0,null,0,1,Javed Ahmadi,caught
134,22.1,Rahmanullah Gurbaz,Rahmat Shah,PR Stirling,0,0,null,0,0,null,null
135,22.2,Rahmanullah Gurbaz,Rahmat Shah,PR Stirling,0,0,null,0,0,null,null
136,22.3,Rahmanullah Gurbaz,Rahmat Shah,PR Stirling,2,0,null,2,0,null,null
137,22.4,Rahmanullah Gurbaz,Rahmat Shah,PR Stirling,0,0,null,0,0,null,null
138,22.5,Rahmanullah Gurbaz,Rahmat Shah,PR Stirling,6,0,null,6,0,null,null
139,22.6,Rahmanullah Gurbaz,Rahmat Shah,PR Stirling,0,0,null,0,0,null,null
140,23.1,Rahmat Shah,Rahmanullah Gurbaz,AR McBrine,0,0,null,0,0,null,null
141,23.2,Rahmat Shah,Rahmanullah Gurbaz,AR McBrine,0,0,null,0,0,null,null
142,23.3,Rahmat Shah,Rahmanullah Gurbaz,AR McBrine,1,0,null,1,0,null,null
143,23.4,Rahmanullah Gurbaz,Rahmat Shah,AR McBrine,0,0,null,0,0,null,null
144,23.5,Rahmanullah Gurbaz,Rahmat Shah,AR McBrine,0,1,wides ,1,0,null,null
145,23.6,Rahmanullah Gurbaz,Rahmat Shah,AR McBrine,0,0,null,0,0,null,null
146,23.7,Rahmanullah Gurbaz,Rahmat Shah,AR McBrine,0,0,null,0,0,null,null
147,24.1,Rahmat Shah,Rahmanullah Gurbaz,PR Stirling,0,0,null,0,0,null,null
148,24.2,Rahmat Shah,Rahmanullah Gurbaz,PR Stirling,1,0,null,1,0,null,null
149,24.3,Rahmanullah Gurbaz,Rahmat Shah,PR Stirling,0,0,null,0,0,null,null
150,24.4,Rahmanullah Gurbaz,Rahmat Shah,PR Stirling,1,0,null,1,0,null,null
151,24.5,Rahmat Shah,Rahmanullah Gurbaz,PR Stirling,1,0,null,1,0,null,null
152,24.6,Rahmanullah Gurbaz,Rahmat Shah,PR Stirling,0,0,null,0,0,null,null
153,25.1,Rahmat Shah,Rahmanullah Gurbaz,AR McBrine,0,0,null,0,0,null,null
154,25.2,Rahmat Shah,Rahmanullah Gurbaz,AR McBrine,0,0,null,0,0,null,null
155,25.3,Rahmat Shah,Rahmanullah Gurbaz,AR McBrine,0,0,null,0,1,Rahmat Shah,caught
156,25.4,Asghar Stanikzai,Rahmanullah Gurbaz,AR McBrine,0,0,null,0,0,null,null
157,25.5,Asghar Stanikzai,Rahmanullah Gurbaz,AR McBrine,2,0,null,2,0,null,null
158,25.6,Asghar Stanikzai,Rahmanullah Gurbaz,AR McBrine,4,0,null,4,0,null,null
159,26.1,Rahmanullah Gurbaz,Asghar Stanikzai,PR Stirling,0,0,null,0,0,null,null
160,26.2,Rahmanullah Gurbaz,Asghar Stanikzai,PR Stirling,6,0,null,6,0,null,null
161,26.3,Rahmanullah Gurbaz,Asghar Stanikzai,PR Stirling,0,0,null,0,0,null,null
162,26.4,Rahmanullah Gurbaz,Asghar Stanikzai,PR Stirling,0,1,wides ,1,0,null,null
163,26.5,Rahmanullah Gurbaz,Asghar Stanikzai,PR Stirling,0,0,null,0,0,null,null
164,26.6,Rahmanullah Gurbaz,Asghar Stanikzai,PR Stirling,0,0,null,0,0,null,null
165,26.7,Rahmanullah Gurbaz,Asghar Stanikzai,PR Stirling,0,0,null,0,0,null,null
