,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,V Sibanda,CJ Chibhabha,Sohail Tanvir,0,0,null,0,0,null,null
1,0.2,V Sibanda,CJ Chibhabha,Sohail Tanvir,0,0,null,0,0,null,null
2,0.3,V Sibanda,CJ Chibhabha,Sohail Tanvir,4,0,null,4,0,null,null
3,0.4,V Sibanda,CJ Chibhabha,Sohail Tanvir,0,0,null,0,0,null,null
4,0.5,V Sibanda,CJ Chibhabha,Sohail Tanvir,0,0,null,0,0,null,null
5,0.6,V Sibanda,CJ Chibhabha,Sohail Tanvir,0,0,null,0,0,null,null
6,1.1,CJ Chibhabha,V Sibanda,Junaid Khan,0,0,null,0,0,null,null
7,1.2,CJ Chibhabha,V Sibanda,Junaid Khan,0,0,null,0,0,null,null
8,1.3,CJ Chibhabha,V Sibanda,Junaid Khan,0,0,null,0,0,null,null
9,1.4,CJ Chibhabha,V Sibanda,Junaid Khan,1,0,null,1,0,null,null
10,1.5,V Sibanda,CJ Chibhabha,Junaid Khan,0,0,null,0,0,null,null
11,1.6,V Sibanda,CJ Chibhabha,Junaid Khan,0,0,null,0,0,null,null
12,2.1,CJ Chibhabha,V Sibanda,Sohail Tanvir,0,0,null,0,0,null,null
13,2.2,CJ Chibhabha,V Sibanda,Sohail Tanvir,0,0,null,0,0,null,null
14,2.3,CJ Chibhabha,V Sibanda,Sohail Tanvir,0,0,null,0,1,CJ Chibhabha,bowled
15,2.4,H Masakadza,V Sibanda,Sohail Tanvir,0,0,null,0,0,null,null
16,2.5,H Masakadza,V Sibanda,Sohail Tanvir,0,0,null,0,0,null,null
17,2.6,H Masakadza,V Sibanda,Sohail Tanvir,0,0,null,0,0,null,null
18,3.1,V Sibanda,H Masakadza,Junaid Khan,0,0,null,0,0,null,null
19,3.2,V Sibanda,H Masakadza,Junaid Khan,4,0,null,4,0,null,null
20,3.3,V Sibanda,H Masakadza,Junaid Khan,6,0,null,6,0,null,null
21,3.4,V Sibanda,H Masakadza,Junaid Khan,1,0,null,1,0,null,null
22,3.5,H Masakadza,V Sibanda,Junaid Khan,0,0,null,0,0,null,null
23,3.6,H Masakadza,V Sibanda,Junaid Khan,0,0,null,0,0,null,null
24,4.1,V Sibanda,H Masakadza,Sohail Tanvir,0,0,null,0,0,null,null
25,4.2,V Sibanda,H Masakadza,Sohail Tanvir,4,0,null,4,0,null,null
26,4.3,V Sibanda,H Masakadza,Sohail Tanvir,0,0,null,0,0,null,null
27,4.4,V Sibanda,H Masakadza,Sohail Tanvir,0,0,null,0,0,null,null
28,4.5,V Sibanda,H Masakadza,Sohail Tanvir,1,0,null,1,0,null,null
29,4.6,H Masakadza,V Sibanda,Sohail Tanvir,0,0,null,0,0,null,null
30,5.1,V Sibanda,H Masakadza,Junaid Khan,0,0,null,0,0,null,null
31,5.2,V Sibanda,H Masakadza,Junaid Khan,1,0,null,1,0,null,null
32,5.3,H Masakadza,V Sibanda,Junaid Khan,4,0,null,4,0,null,null
33,5.4,H Masakadza,V Sibanda,Junaid Khan,0,0,null,0,0,null,null
34,5.5,H Masakadza,V Sibanda,Junaid Khan,1,0,null,1,0,null,null
35,5.6,V Sibanda,H Masakadza,Junaid Khan,0,1,wides ,1,0,null,null
36,5.7,V Sibanda,H Masakadza,Junaid Khan,2,0,null,2,0,null,null
37,6.1,H Masakadza,V Sibanda,Sohail Tanvir,0,0,null,0,0,null,null
38,6.2,H Masakadza,V Sibanda,Sohail Tanvir,0,0,null,0,0,null,null
39,6.3,H Masakadza,V Sibanda,Sohail Tanvir,0,0,null,0,0,null,null
40,6.4,H Masakadza,V Sibanda,Sohail Tanvir,0,0,null,0,0,null,null
41,6.5,H Masakadza,V Sibanda,Sohail Tanvir,3,0,null,3,0,null,null
42,6.6,V Sibanda,H Masakadza,Sohail Tanvir,1,0,null,1,0,null,null
43,7.1,V Sibanda,H Masakadza,Saeed Ajmal,0,0,null,0,0,null,null
44,7.2,V Sibanda,H Masakadza,Saeed Ajmal,0,0,null,0,0,null,null
45,7.3,V Sibanda,H Masakadza,Saeed Ajmal,0,0,null,0,0,null,null
46,7.4,V Sibanda,H Masakadza,Saeed Ajmal,0,0,null,0,0,null,null
47,7.5,V Sibanda,H Masakadza,Saeed Ajmal,0,1,wides ,1,0,null,null
48,7.6,V Sibanda,H Masakadza,Saeed Ajmal,0,0,null,0,0,null,null
49,7.7,V Sibanda,H Masakadza,Saeed Ajmal,1,0,null,1,0,null,null
50,8.1,V Sibanda,H Masakadza,Sohail Tanvir,0,0,null,0,0,null,null
51,8.2,V Sibanda,H Masakadza,Sohail Tanvir,0,1,wides ,1,0,null,null
52,8.3,V Sibanda,H Masakadza,Sohail Tanvir,0,0,null,0,0,null,null
53,8.4,V Sibanda,H Masakadza,Sohail Tanvir,0,0,null,0,0,null,null
