,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,MH Cross,KJ Coetzer,N Pokana,0,1,wides ,1,0,null,null
1,0.2,MH Cross,KJ Coetzer,N Pokana,0,0,null,0,0,null,null
2,0.3,MH Cross,KJ Coetzer,N Pokana,0,0,null,0,0,null,null
3,0.4,MH Cross,KJ Coetzer,N Pokana,0,0,null,0,0,null,null
4,0.5,MH Cross,KJ Coetzer,N Pokana,0,0,null,0,0,null,null
5,0.6,MH Cross,KJ Coetzer,N Pokana,0,0,null,0,0,null,null
6,0.7,MH Cross,KJ Coetzer,N Pokana,0,0,null,0,0,null,null
7,1.1,KJ Coetzer,MH Cross,D Ravu,0,0,null,0,0,null,null
8,1.2,KJ Coetzer,MH Cross,D Ravu,0,0,null,0,0,null,null
9,1.3,KJ Coetzer,MH Cross,D Ravu,4,0,null,4,0,null,null
10,1.4,KJ Coetzer,MH Cross,D Ravu,6,0,null,6,0,null,null
11,1.5,KJ Coetzer,MH Cross,D Ravu,0,0,null,0,0,null,null
12,1.6,KJ Coetzer,MH Cross,D Ravu,4,0,null,4,0,null,null
13,2.1,MH Cross,KJ Coetzer,N Pokana,0,0,null,0,0,null,null
14,2.2,MH Cross,KJ Coetzer,N Pokana,0,0,null,0,0,null,null
15,2.3,MH Cross,KJ Coetzer,N Pokana,0,0,null,0,0,null,null
16,2.4,MH Cross,KJ Coetzer,N Pokana,0,0,null,0,0,null,null
17,2.5,MH Cross,KJ Coetzer,N Pokana,0,0,null,0,0,null,null
18,2.6,MH Cross,KJ Coetzer,N Pokana,0,0,null,0,0,null,null
19,3.1,KJ Coetzer,MH Cross,D Ravu,0,0,null,0,0,null,null
20,3.2,KJ Coetzer,MH Cross,D Ravu,0,0,null,0,0,null,null
21,3.3,KJ Coetzer,MH Cross,D Ravu,0,0,null,0,0,null,null
22,3.4,KJ Coetzer,MH Cross,D Ravu,0,0,null,0,0,null,null
23,3.5,KJ Coetzer,MH Cross,D Ravu,6,0,null,6,0,null,null
24,3.6,KJ Coetzer,MH Cross,D Ravu,0,0,null,0,0,null,null
25,4.1,MH Cross,KJ Coetzer,N Pokana,2,0,null,2,0,null,null
26,4.2,MH Cross,KJ Coetzer,N Pokana,0,0,null,0,0,null,null
27,4.3,MH Cross,KJ Coetzer,N Pokana,0,0,null,0,0,null,null
28,4.4,MH Cross,KJ Coetzer,N Pokana,1,0,null,1,0,null,null
29,4.5,KJ Coetzer,MH Cross,N Pokana,0,0,null,0,0,null,null
30,4.6,KJ Coetzer,MH Cross,N Pokana,0,0,null,0,0,null,null
31,5.1,MH Cross,KJ Coetzer,D Ravu,0,0,null,0,0,null,null
32,5.2,MH Cross,KJ Coetzer,D Ravu,0,0,null,0,0,null,null
33,5.3,MH Cross,KJ Coetzer,D Ravu,1,0,null,1,0,null,null
34,5.4,KJ Coetzer,MH Cross,D Ravu,0,0,null,0,0,null,null
35,5.5,KJ Coetzer,MH Cross,D Ravu,0,0,null,0,0,null,null
36,5.6,KJ Coetzer,MH Cross,D Ravu,1,0,null,1,0,null,null
37,6.1,KJ Coetzer,MH Cross,N Pokana,0,0,null,0,0,null,null
38,6.2,KJ Coetzer,MH Cross,N Pokana,0,0,null,0,0,null,null
39,6.3,KJ Coetzer,MH Cross,N Pokana,0,0,null,0,0,null,null
