,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,Imam-ul-Haq,Fakhar Zaman,TL Chatara,4,0,null,4,0,null,null
1,0.2,Imam-ul-Haq,Fakhar Zaman,TL Chatara,0,0,null,0,0,null,null
2,0.3,Imam-ul-Haq,Fakhar Zaman,TL Chatara,0,0,null,0,0,null,null
3,0.4,Imam-ul-Haq,Fakhar Zaman,TL Chatara,1,0,null,1,0,null,null
4,0.5,Fakhar Zaman,Imam-ul-Haq,TL Chatara,4,0,null,4,0,null,null
5,0.6,Fakhar Zaman,Imam-ul-Haq,TL Chatara,1,0,null,1,0,null,null
6,1.1,Fakhar Zaman,Imam-ul-Haq,B Muzarabani,0,0,null,0,0,null,null
7,1.2,Fakhar Zaman,Imam-ul-Haq,B Muzarabani,0,0,null,0,0,null,null
8,1.3,Fakhar Zaman,Imam-ul-Haq,B Muzarabani,0,0,null,0,0,null,null
9,1.4,Fakhar Zaman,Imam-ul-Haq,B Muzarabani,0,0,null,0,0,null,null
10,1.5,Fakhar Zaman,Imam-ul-Haq,B Muzarabani,1,0,null,1,0,null,null
11,1.6,Imam-ul-Haq,Fakhar Zaman,B Muzarabani,1,0,null,1,0,null,null
12,2.1,Imam-ul-Haq,Fakhar Zaman,TL Chatara,0,0,null,0,0,null,null
13,2.2,Imam-ul-Haq,Fakhar Zaman,TL Chatara,2,0,null,2,0,null,null
14,2.3,Imam-ul-Haq,Fakhar Zaman,TL Chatara,2,0,null,2,0,null,null
15,2.4,Imam-ul-Haq,Fakhar Zaman,TL Chatara,0,0,null,0,0,null,null
16,2.5,Imam-ul-Haq,Fakhar Zaman,TL Chatara,0,0,null,0,0,null,null
17,2.6,Imam-ul-Haq,Fakhar Zaman,TL Chatara,0,0,null,0,0,null,null
18,3.1,Fakhar Zaman,Imam-ul-Haq,B Muzarabani,0,0,null,0,0,null,null
19,3.2,Fakhar Zaman,Imam-ul-Haq,B Muzarabani,0,0,null,0,0,null,null
20,3.3,Fakhar Zaman,Imam-ul-Haq,B Muzarabani,1,0,null,1,0,null,null
21,3.4,Imam-ul-Haq,Fakhar Zaman,B Muzarabani,0,0,null,0,0,null,null
22,3.5,Imam-ul-Haq,Fakhar Zaman,B Muzarabani,0,0,null,0,0,null,null
23,3.6,Imam-ul-Haq,Fakhar Zaman,B Muzarabani,0,0,null,0,0,null,null
24,4.1,Fakhar Zaman,Imam-ul-Haq,TL Chatara,1,0,null,1,0,null,null
25,4.2,Imam-ul-Haq,Fakhar Zaman,TL Chatara,2,0,null,2,0,null,null
26,4.3,Imam-ul-Haq,Fakhar Zaman,TL Chatara,0,0,null,0,0,null,null
27,4.4,Imam-ul-Haq,Fakhar Zaman,TL Chatara,0,1,wides ,1,0,null,null
28,4.5,Imam-ul-Haq,Fakhar Zaman,TL Chatara,0,0,null,0,0,null,null
29,4.6,Imam-ul-Haq,Fakhar Zaman,TL Chatara,4,0,null,4,0,null,null
30,4.7,Imam-ul-Haq,Fakhar Zaman,TL Chatara,0,0,null,0,0,null,null
31,5.1,Fakhar Zaman,Imam-ul-Haq,B Muzarabani,1,0,null,1,0,null,null
32,5.2,Imam-ul-Haq,Fakhar Zaman,B Muzarabani,0,0,null,0,0,null,null
33,5.3,Imam-ul-Haq,Fakhar Zaman,B Muzarabani,0,0,null,0,0,null,null
34,5.4,Imam-ul-Haq,Fakhar Zaman,B Muzarabani,0,0,null,0,0,null,null
35,5.5,Imam-ul-Haq,Fakhar Zaman,B Muzarabani,1,0,null,1,0,null,null
36,5.6,Fakhar Zaman,Imam-ul-Haq,B Muzarabani,3,0,null,3,0,null,null
37,6.1,Fakhar Zaman,Imam-ul-Haq,DT Tiripano,0,0,null,0,0,null,null
38,6.2,Fakhar Zaman,Imam-ul-Haq,DT Tiripano,4,0,null,4,0,null,null
39,6.3,Fakhar Zaman,Imam-ul-Haq,DT Tiripano,4,0,null,4,0,null,null
40,6.4,Fakhar Zaman,Imam-ul-Haq,DT Tiripano,0,0,null,0,0,null,null
41,6.5,Fakhar Zaman,Imam-ul-Haq,DT Tiripano,0,0,null,0,0,null,null
42,6.6,Fakhar Zaman,Imam-ul-Haq,DT Tiripano,0,0,null,0,0,null,null
43,7.1,Imam-ul-Haq,Fakhar Zaman,B Muzarabani,0,0,null,0,0,null,null
44,7.2,Imam-ul-Haq,Fakhar Zaman,B Muzarabani,4,0,null,4,0,null,null
45,7.3,Imam-ul-Haq,Fakhar Zaman,B Muzarabani,0,0,null,0,0,null,null
46,7.4,Imam-ul-Haq,Fakhar Zaman,B Muzarabani,3,0,null,3,0,null,null
47,7.5,Fakhar Zaman,Imam-ul-Haq,B Muzarabani,0,0,null,0,0,null,null
48,7.6,Fakhar Zaman,Imam-ul-Haq,B Muzarabani,0,0,null,0,0,null,null
49,8.1,Imam-ul-Haq,Fakhar Zaman,DT Tiripano,1,0,null,1,0,null,null
50,8.2,Fakhar Zaman,Imam-ul-Haq,DT Tiripano,0,0,null,0,0,null,null
51,8.3,Fakhar Zaman,Imam-ul-Haq,DT Tiripano,0,0,null,0,0,null,null
52,8.4,Fakhar Zaman,Imam-ul-Haq,DT Tiripano,0,0,null,0,0,null,null
53,8.5,Fakhar Zaman,Imam-ul-Haq,DT Tiripano,4,0,null,4,0,null,null
54,8.6,Fakhar Zaman,Imam-ul-Haq,DT Tiripano,0,0,null,0,0,null,null
55,9.1,Imam-ul-Haq,Fakhar Zaman,B Muzarabani,4,0,null,4,0,null,null
56,9.2,Imam-ul-Haq,Fakhar Zaman,B Muzarabani,0,0,null,0,0,null,null
57,9.3,Imam-ul-Haq,Fakhar Zaman,B Muzarabani,0,0,null,0,0,null,null
58,9.4,Imam-ul-Haq,Fakhar Zaman,B Muzarabani,0,0,null,0,0,null,null
59,9.5,Imam-ul-Haq,Fakhar Zaman,B Muzarabani,0,0,null,0,0,null,null
60,9.6,Imam-ul-Haq,Fakhar Zaman,B Muzarabani,0,0,null,0,0,null,null
61,10.1,Fakhar Zaman,Imam-ul-Haq,DT Tiripano,1,0,null,1,0,null,null
62,10.2,Imam-ul-Haq,Fakhar Zaman,DT Tiripano,1,0,null,1,0,null,null
63,10.3,Fakhar Zaman,Imam-ul-Haq,DT Tiripano,0,1,wides ,1,0,null,null
64,10.4,Fakhar Zaman,Imam-ul-Haq,DT Tiripano,0,0,null,0,0,null,null
65,10.5,Fakhar Zaman,Imam-ul-Haq,DT Tiripano,1,0,null,1,0,null,null
66,10.6,Imam-ul-Haq,Fakhar Zaman,DT Tiripano,1,0,null,1,0,null,null
67,10.7,Fakhar Zaman,Imam-ul-Haq,DT Tiripano,1,0,null,1,0,null,null
68,11.1,Fakhar Zaman,Imam-ul-Haq,LN Roche,0,0,null,0,0,null,null
69,11.2,Fakhar Zaman,Imam-ul-Haq,LN Roche,0,0,null,0,0,null,null
70,11.3,Fakhar Zaman,Imam-ul-Haq,LN Roche,0,0,null,0,0,null,null
71,11.4,Fakhar Zaman,Imam-ul-Haq,LN Roche,0,0,null,0,0,null,null
72,11.5,Fakhar Zaman,Imam-ul-Haq,LN Roche,4,0,null,4,0,null,null
73,11.6,Fakhar Zaman,Imam-ul-Haq,LN Roche,1,0,null,1,0,null,null
74,12.1,Fakhar Zaman,Imam-ul-Haq,DT Tiripano,0,0,null,0,0,null,null
75,12.2,Fakhar Zaman,Imam-ul-Haq,DT Tiripano,1,0,null,1,0,null,null
76,12.3,Imam-ul-Haq,Fakhar Zaman,DT Tiripano,1,0,null,1,0,null,null
77,12.4,Fakhar Zaman,Imam-ul-Haq,DT Tiripano,0,0,null,0,0,null,null
78,12.5,Fakhar Zaman,Imam-ul-Haq,DT Tiripano,4,0,null,4,0,null,null
79,12.6,Fakhar Zaman,Imam-ul-Haq,DT Tiripano,0,0,null,0,0,null,null
80,13.1,Imam-ul-Haq,Fakhar Zaman,LN Roche,1,0,null,1,0,null,null
81,13.2,Fakhar Zaman,Imam-ul-Haq,LN Roche,0,0,null,0,0,null,null
82,13.3,Fakhar Zaman,Imam-ul-Haq,LN Roche,4,0,null,4,0,null,null
83,13.4,Fakhar Zaman,Imam-ul-Haq,LN Roche,1,0,null,1,0,null,null
84,13.5,Imam-ul-Haq,Fakhar Zaman,LN Roche,1,0,null,1,0,null,null
85,13.6,Fakhar Zaman,Imam-ul-Haq,LN Roche,1,0,null,1,0,null,null
86,14.1,Fakhar Zaman,Imam-ul-Haq,WP Masakadza,4,0,null,4,0,null,null
87,14.2,Fakhar Zaman,Imam-ul-Haq,WP Masakadza,0,0,null,0,0,null,null
88,14.3,Fakhar Zaman,Imam-ul-Haq,WP Masakadza,1,0,null,1,0,null,null
89,14.4,Imam-ul-Haq,Fakhar Zaman,WP Masakadza,2,0,null,2,0,null,null
90,14.5,Imam-ul-Haq,Fakhar Zaman,WP Masakadza,1,0,null,1,0,null,null
91,14.6,Fakhar Zaman,Imam-ul-Haq,WP Masakadza,1,0,null,1,0,null,null
92,15.1,Fakhar Zaman,Imam-ul-Haq,LN Roche,4,0,null,4,0,null,null
93,15.2,Fakhar Zaman,Imam-ul-Haq,LN Roche,1,0,null,1,0,null,null
94,15.3,Imam-ul-Haq,Fakhar Zaman,LN Roche,1,0,null,1,0,null,null
95,15.4,Fakhar Zaman,Imam-ul-Haq,LN Roche,1,0,null,1,0,null,null
96,15.5,Imam-ul-Haq,Fakhar Zaman,LN Roche,2,0,null,2,0,null,null
97,15.6,Imam-ul-Haq,Fakhar Zaman,LN Roche,0,0,null,0,0,null,null
98,16.1,Fakhar Zaman,Imam-ul-Haq,WP Masakadza,2,0,null,2,0,null,null
99,16.2,Fakhar Zaman,Imam-ul-Haq,WP Masakadza,0,0,null,0,0,null,null
100,16.3,Fakhar Zaman,Imam-ul-Haq,WP Masakadza,4,0,null,4,0,null,null
101,16.4,Fakhar Zaman,Imam-ul-Haq,WP Masakadza,0,0,null,0,0,null,null
102,16.5,Fakhar Zaman,Imam-ul-Haq,WP Masakadza,1,0,null,1,0,null,null
103,16.6,Imam-ul-Haq,Fakhar Zaman,WP Masakadza,0,0,null,0,0,null,null
104,17.1,Fakhar Zaman,Imam-ul-Haq,TL Chatara,0,0,null,0,0,null,null
105,17.2,Fakhar Zaman,Imam-ul-Haq,TL Chatara,1,0,null,1,0,null,null
106,17.3,Imam-ul-Haq,Fakhar Zaman,TL Chatara,1,0,null,1,0,null,null
107,17.4,Fakhar Zaman,Imam-ul-Haq,TL Chatara,1,0,null,1,0,null,null
108,17.5,Imam-ul-Haq,Fakhar Zaman,TL Chatara,1,0,null,1,0,null,null
109,17.6,Fakhar Zaman,Imam-ul-Haq,TL Chatara,1,0,null,1,0,null,null
110,18.1,Fakhar Zaman,Imam-ul-Haq,WP Masakadza,0,0,null,0,0,null,null
111,18.2,Fakhar Zaman,Imam-ul-Haq,WP Masakadza,0,0,null,0,0,null,null
112,18.3,Fakhar Zaman,Imam-ul-Haq,WP Masakadza,1,0,null,1,0,null,null
113,18.4,Imam-ul-Haq,Fakhar Zaman,WP Masakadza,1,0,null,1,0,null,null
114,18.5,Fakhar Zaman,Imam-ul-Haq,WP Masakadza,0,0,null,0,0,null,null
115,18.6,Fakhar Zaman,Imam-ul-Haq,WP Masakadza,1,0,null,1,0,null,null
116,19.1,Fakhar Zaman,Imam-ul-Haq,TL Chatara,4,0,null,4,0,null,null
117,19.2,Fakhar Zaman,Imam-ul-Haq,TL Chatara,0,0,null,0,0,null,null
118,19.3,Fakhar Zaman,Imam-ul-Haq,TL Chatara,0,0,null,0,0,null,null
119,19.4,Fakhar Zaman,Imam-ul-Haq,TL Chatara,0,0,null,0,0,null,null
120,19.5,Fakhar Zaman,Imam-ul-Haq,TL Chatara,1,0,null,1,0,null,null
121,19.6,Imam-ul-Haq,Fakhar Zaman,TL Chatara,0,0,null,0,0,null,null
122,20.1,Fakhar Zaman,Imam-ul-Haq,B Muzarabani,1,0,null,1,0,null,null
123,20.2,Imam-ul-Haq,Fakhar Zaman,B Muzarabani,0,0,null,0,0,null,null
124,20.3,Imam-ul-Haq,Fakhar Zaman,B Muzarabani,1,0,null,1,0,null,null
125,20.4,Fakhar Zaman,Imam-ul-Haq,B Muzarabani,0,0,null,0,1,Imam-ul-Haq,run out
126,20.5,Babar Azam,Fakhar Zaman,B Muzarabani,1,0,null,1,0,null,null
