,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,Waseem Muhammad,Aryan Lakra,IG Holland,1,0,null,1,0,null,null
1,0.2,Aryan Lakra,Waseem Muhammad,IG Holland,0,0,null,0,0,null,null
2,0.3,Aryan Lakra,Waseem Muhammad,IG Holland,3,0,null,3,0,null,null
3,0.4,Waseem Muhammad,Aryan Lakra,IG Holland,0,0,null,0,0,null,null
4,0.5,Waseem Muhammad,Aryan Lakra,IG Holland,0,0,null,0,0,null,null
5,0.6,Waseem Muhammad,Aryan Lakra,IG Holland,0,0,null,0,0,null,null
6,1.1,Aryan Lakra,Waseem Muhammad,SN Netravalkar,0,0,null,0,0,null,null
7,1.2,Aryan Lakra,Waseem Muhammad,SN Netravalkar,4,0,null,4,0,null,null
8,1.3,Aryan Lakra,Waseem Muhammad,SN Netravalkar,4,0,null,4,0,null,null
9,1.4,Aryan Lakra,Waseem Muhammad,SN Netravalkar,0,0,null,0,0,null,null
10,1.5,Aryan Lakra,Waseem Muhammad,SN Netravalkar,0,0,null,0,0,null,null
11,1.6,Aryan Lakra,Waseem Muhammad,SN Netravalkar,0,0,null,0,0,null,null
12,2.1,Waseem Muhammad,Aryan Lakra,IG Holland,0,1,wides ,1,0,null,null
13,2.2,Waseem Muhammad,Aryan Lakra,IG Holland,0,0,null,0,0,null,null
14,2.3,Waseem Muhammad,Aryan Lakra,IG Holland,4,0,null,4,0,null,null
15,2.4,Waseem Muhammad,Aryan Lakra,IG Holland,2,0,null,2,0,null,null
16,2.5,Waseem Muhammad,Aryan Lakra,IG Holland,0,0,null,0,0,null,null
17,2.6,Waseem Muhammad,Aryan Lakra,IG Holland,0,0,null,0,0,null,null
18,2.7,Waseem Muhammad,Aryan Lakra,IG Holland,0,0,null,0,1,Waseem Muhammad,caught
19,3.1,Chirag Suri,Aryan Lakra,SN Netravalkar,0,0,null,0,0,null,null
20,3.2,Chirag Suri,Aryan Lakra,SN Netravalkar,0,0,null,0,0,null,null
21,3.3,Chirag Suri,Aryan Lakra,SN Netravalkar,0,0,null,0,0,null,null
22,3.4,Chirag Suri,Aryan Lakra,SN Netravalkar,1,0,null,1,0,null,null
23,3.5,Aryan Lakra,Chirag Suri,SN Netravalkar,0,0,null,0,0,null,null
24,3.6,Aryan Lakra,Chirag Suri,SN Netravalkar,0,0,null,0,0,null,null
25,4.1,Chirag Suri,Aryan Lakra,IG Holland,2,0,null,2,0,null,null
26,4.2,Chirag Suri,Aryan Lakra,IG Holland,0,0,null,0,0,null,null
27,4.3,Chirag Suri,Aryan Lakra,IG Holland,0,0,null,0,0,null,null
28,4.4,Chirag Suri,Aryan Lakra,IG Holland,1,0,null,1,0,null,null
29,4.5,Aryan Lakra,Chirag Suri,IG Holland,0,0,null,0,0,null,null
30,4.6,Aryan Lakra,Chirag Suri,IG Holland,0,0,null,0,0,null,null
31,5.1,Chirag Suri,Aryan Lakra,SN Netravalkar,3,0,null,3,0,null,null
32,5.2,Aryan Lakra,Chirag Suri,SN Netravalkar,0,0,null,0,0,null,null
33,5.3,Aryan Lakra,Chirag Suri,SN Netravalkar,0,0,null,0,0,null,null
34,5.4,Aryan Lakra,Chirag Suri,SN Netravalkar,4,0,null,4,0,null,null
35,5.5,Aryan Lakra,Chirag Suri,SN Netravalkar,1,0,null,1,0,null,null
36,5.6,Chirag Suri,Aryan Lakra,SN Netravalkar,0,0,null,0,0,null,null
37,6.1,Aryan Lakra,Chirag Suri,IG Holland,4,0,null,4,0,null,null
38,6.2,Aryan Lakra,Chirag Suri,IG Holland,4,0,null,4,0,null,null
39,6.3,Aryan Lakra,Chirag Suri,IG Holland,0,0,null,0,0,null,null
40,6.4,Aryan Lakra,Chirag Suri,IG Holland,0,0,null,0,0,null,null
41,6.5,Aryan Lakra,Chirag Suri,IG Holland,0,0,null,0,0,null,null
