,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,AJ Strauss,C Kieswetter,Mashrafe Mortaza,0,0,null,0,0,null,null
1,0.2,AJ Strauss,C Kieswetter,Mashrafe Mortaza,1,0,null,1,0,null,null
2,0.3,C Kieswetter,AJ Strauss,Mashrafe Mortaza,0,0,null,0,0,null,null
3,0.4,C Kieswetter,AJ Strauss,Mashrafe Mortaza,0,0,null,0,1,C Kieswetter,bowled
4,0.5,IJL Trott,AJ Strauss,Mashrafe Mortaza,0,0,null,0,0,null,null
5,0.6,IJL Trott,AJ Strauss,Mashrafe Mortaza,0,0,null,0,0,null,null
6,1.1,AJ Strauss,IJL Trott,Shafiul Islam,0,0,null,0,0,null,null
7,1.2,AJ Strauss,IJL Trott,Shafiul Islam,1,0,null,1,0,null,null
8,1.3,IJL Trott,AJ Strauss,Shafiul Islam,0,0,null,0,0,null,null
9,1.4,IJL Trott,AJ Strauss,Shafiul Islam,4,0,null,4,0,null,null
10,1.5,IJL Trott,AJ Strauss,Shafiul Islam,2,0,null,2,0,null,null
11,1.6,IJL Trott,AJ Strauss,Shafiul Islam,4,0,null,4,0,null,null
12,2.1,AJ Strauss,IJL Trott,Mashrafe Mortaza,0,0,null,0,0,null,null
13,2.2,AJ Strauss,IJL Trott,Mashrafe Mortaza,6,0,null,6,0,null,null
14,2.3,AJ Strauss,IJL Trott,Mashrafe Mortaza,0,0,null,0,0,null,null
15,2.4,AJ Strauss,IJL Trott,Mashrafe Mortaza,0,0,null,0,0,null,null
16,2.5,AJ Strauss,IJL Trott,Mashrafe Mortaza,2,0,null,2,0,null,null
17,2.6,AJ Strauss,IJL Trott,Mashrafe Mortaza,0,0,null,0,0,null,null
18,3.1,IJL Trott,AJ Strauss,Rubel Hossain,0,0,null,0,0,null,null
19,3.2,IJL Trott,AJ Strauss,Rubel Hossain,0,0,null,0,0,null,null
20,3.3,IJL Trott,AJ Strauss,Rubel Hossain,1,0,null,1,0,null,null
21,3.4,AJ Strauss,IJL Trott,Rubel Hossain,0,0,null,0,0,null,null
22,3.5,AJ Strauss,IJL Trott,Rubel Hossain,0,0,null,0,0,null,null
23,3.6,AJ Strauss,IJL Trott,Rubel Hossain,4,0,null,4,0,null,null
24,4.1,IJL Trott,AJ Strauss,Mashrafe Mortaza,1,0,null,1,0,null,null
25,4.2,AJ Strauss,IJL Trott,Mashrafe Mortaza,0,0,null,0,0,null,null
26,4.3,AJ Strauss,IJL Trott,Mashrafe Mortaza,0,0,null,0,0,null,null
27,4.4,AJ Strauss,IJL Trott,Mashrafe Mortaza,1,0,null,1,0,null,null
28,4.5,IJL Trott,AJ Strauss,Mashrafe Mortaza,0,0,null,0,0,null,null
29,4.6,IJL Trott,AJ Strauss,Mashrafe Mortaza,0,0,null,0,0,null,null
30,5.1,AJ Strauss,IJL Trott,Rubel Hossain,0,0,null,0,0,null,null
31,5.2,AJ Strauss,IJL Trott,Rubel Hossain,0,0,null,0,0,null,null
32,5.3,AJ Strauss,IJL Trott,Rubel Hossain,0,0,null,0,0,null,null
33,5.4,AJ Strauss,IJL Trott,Rubel Hossain,0,0,null,0,0,null,null
34,5.5,AJ Strauss,IJL Trott,Rubel Hossain,2,0,null,2,0,null,null
35,5.6,AJ Strauss,IJL Trott,Rubel Hossain,0,0,null,0,0,null,null
36,6.1,IJL Trott,AJ Strauss,Mashrafe Mortaza,0,0,null,0,0,null,null
37,6.2,IJL Trott,AJ Strauss,Mashrafe Mortaza,0,0,null,0,0,null,null
38,6.3,IJL Trott,AJ Strauss,Mashrafe Mortaza,2,0,null,2,0,null,null
39,6.4,IJL Trott,AJ Strauss,Mashrafe Mortaza,0,0,null,0,0,null,null
40,6.5,IJL Trott,AJ Strauss,Mashrafe Mortaza,1,0,null,1,0,null,null
41,6.6,AJ Strauss,IJL Trott,Mashrafe Mortaza,0,0,null,0,0,null,null
42,7.1,IJL Trott,AJ Strauss,Rubel Hossain,0,0,null,0,0,null,null
43,7.2,IJL Trott,AJ Strauss,Rubel Hossain,1,0,null,1,0,null,null
44,7.3,AJ Strauss,IJL Trott,Rubel Hossain,1,0,null,1,0,null,null
45,7.4,IJL Trott,AJ Strauss,Rubel Hossain,0,0,null,0,0,null,null
46,7.5,IJL Trott,AJ Strauss,Rubel Hossain,0,1,noballs ,1,0,null,null
47,7.6,IJL Trott,AJ Strauss,Rubel Hossain,0,1,wides ,1,0,null,null
48,7.7,IJL Trott,AJ Strauss,Rubel Hossain,4,0,null,4,0,null,null
49,7.8,IJL Trott,AJ Strauss,Rubel Hossain,0,0,null,0,0,null,null
