,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,CH Gayle,E Lewis,B Kumar,0,0,null,0,0,null,null
1,0.2,CH Gayle,E Lewis,B Kumar,0,0,null,0,0,null,null
2,0.3,CH Gayle,E Lewis,B Kumar,0,0,null,0,0,null,null
3,0.4,CH Gayle,E Lewis,B Kumar,0,0,null,0,0,null,null
4,0.5,CH Gayle,E Lewis,B Kumar,0,0,null,0,0,null,null
5,0.6,CH Gayle,E Lewis,B Kumar,0,0,null,0,0,null,null
6,1.1,E Lewis,CH Gayle,Mohammed Shami,0,0,null,0,0,null,null
7,1.2,E Lewis,CH Gayle,Mohammed Shami,1,0,null,1,0,null,null
8,1.3,CH Gayle,E Lewis,Mohammed Shami,0,0,null,0,0,null,null
9,1.4,CH Gayle,E Lewis,Mohammed Shami,1,0,null,1,0,null,null
10,1.5,E Lewis,CH Gayle,Mohammed Shami,0,0,null,0,0,null,null
11,1.6,E Lewis,CH Gayle,Mohammed Shami,0,0,null,0,0,null,null
12,2.1,CH Gayle,E Lewis,B Kumar,0,0,null,0,0,null,null
13,2.2,CH Gayle,E Lewis,B Kumar,0,0,null,0,0,null,null
14,2.3,CH Gayle,E Lewis,B Kumar,0,0,null,0,0,null,null
15,2.4,CH Gayle,E Lewis,B Kumar,0,0,null,0,0,null,null
16,2.5,CH Gayle,E Lewis,B Kumar,0,0,null,0,0,null,null
17,2.6,CH Gayle,E Lewis,B Kumar,1,0,null,1,0,null,null
18,3.1,CH Gayle,E Lewis,Mohammed Shami,0,0,null,0,0,null,null
19,3.2,CH Gayle,E Lewis,Mohammed Shami,1,0,null,1,0,null,null
20,3.3,E Lewis,CH Gayle,Mohammed Shami,0,0,null,0,0,null,null
21,3.4,E Lewis,CH Gayle,Mohammed Shami,0,0,null,0,0,null,null
22,3.5,E Lewis,CH Gayle,Mohammed Shami,0,2,legbyes ,2,0,null,null
23,3.6,E Lewis,CH Gayle,Mohammed Shami,1,0,null,1,0,null,null
24,4.1,E Lewis,CH Gayle,B Kumar,0,0,null,0,0,null,null
25,4.2,E Lewis,CH Gayle,B Kumar,0,0,null,0,0,null,null
26,4.3,E Lewis,CH Gayle,B Kumar,0,0,null,0,0,null,null
27,4.4,E Lewis,CH Gayle,B Kumar,1,0,null,1,0,null,null
28,4.5,CH Gayle,E Lewis,B Kumar,0,0,null,0,0,null,null
29,4.6,CH Gayle,E Lewis,B Kumar,0,0,null,0,0,null,null
30,5.1,E Lewis,CH Gayle,Mohammed Shami,0,0,null,0,0,null,null
31,5.2,E Lewis,CH Gayle,Mohammed Shami,1,0,null,1,0,null,null
32,5.3,CH Gayle,E Lewis,Mohammed Shami,0,0,null,0,0,null,null
33,5.4,CH Gayle,E Lewis,Mohammed Shami,0,0,null,0,0,null,null
34,5.5,CH Gayle,E Lewis,Mohammed Shami,0,0,null,0,0,null,null
35,5.6,CH Gayle,E Lewis,Mohammed Shami,0,0,null,0,0,null,null
36,6.1,E Lewis,CH Gayle,B Kumar,0,0,null,0,0,null,null
37,6.2,E Lewis,CH Gayle,B Kumar,0,0,null,0,0,null,null
38,6.3,E Lewis,CH Gayle,B Kumar,0,1,wides ,1,0,null,null
39,6.4,E Lewis,CH Gayle,B Kumar,0,1,wides ,1,0,null,null
40,6.5,E Lewis,CH Gayle,B Kumar,6,0,null,6,0,null,null
41,6.6,E Lewis,CH Gayle,B Kumar,1,0,null,1,0,null,null
42,6.7,CH Gayle,E Lewis,B Kumar,0,0,null,0,0,null,null
43,6.8,CH Gayle,E Lewis,B Kumar,0,0,null,0,0,null,null
44,7.1,E Lewis,CH Gayle,KK Ahmed,4,0,null,4,0,null,null
45,7.2,E Lewis,CH Gayle,KK Ahmed,0,0,null,0,0,null,null
46,7.3,E Lewis,CH Gayle,KK Ahmed,0,0,null,0,0,null,null
47,7.4,E Lewis,CH Gayle,KK Ahmed,6,0,null,6,0,null,null
48,7.5,E Lewis,CH Gayle,KK Ahmed,4,0,null,4,0,null,null
49,7.6,E Lewis,CH Gayle,KK Ahmed,1,0,null,1,0,null,null
50,8.1,E Lewis,CH Gayle,Kuldeep Yadav,0,0,null,0,0,null,null
51,8.2,E Lewis,CH Gayle,Kuldeep Yadav,1,0,null,1,0,null,null
52,8.3,CH Gayle,E Lewis,Kuldeep Yadav,0,0,null,0,0,null,null
53,8.4,CH Gayle,E Lewis,Kuldeep Yadav,0,0,null,0,0,null,null
54,8.5,CH Gayle,E Lewis,Kuldeep Yadav,0,0,null,0,0,null,null
55,8.6,CH Gayle,E Lewis,Kuldeep Yadav,0,0,null,0,0,null,null
56,9.1,E Lewis,CH Gayle,KK Ahmed,0,0,null,0,0,null,null
57,9.2,E Lewis,CH Gayle,KK Ahmed,0,0,null,0,0,null,null
58,9.3,E Lewis,CH Gayle,KK Ahmed,6,0,null,6,0,null,null
59,9.4,E Lewis,CH Gayle,KK Ahmed,1,0,null,1,0,null,null
60,9.5,CH Gayle,E Lewis,KK Ahmed,0,0,null,0,0,null,null
61,9.6,CH Gayle,E Lewis,KK Ahmed,1,0,null,1,0,null,null
62,10.1,CH Gayle,E Lewis,Kuldeep Yadav,0,0,null,0,1,CH Gayle,bowled
63,10.2,SD Hope,E Lewis,Kuldeep Yadav,1,0,null,1,0,null,null
64,10.3,E Lewis,SD Hope,Kuldeep Yadav,1,0,null,1,0,null,null
65,10.4,SD Hope,E Lewis,Kuldeep Yadav,0,0,null,0,0,null,null
66,10.5,SD Hope,E Lewis,Kuldeep Yadav,0,0,null,0,0,null,null
67,10.6,SD Hope,E Lewis,Kuldeep Yadav,0,0,null,0,0,null,null
68,11.1,E Lewis,SD Hope,RA Jadeja,3,0,null,3,0,null,null
69,11.2,SD Hope,E Lewis,RA Jadeja,0,0,null,0,0,null,null
70,11.3,SD Hope,E Lewis,RA Jadeja,1,0,null,1,0,null,null
71,11.4,E Lewis,SD Hope,RA Jadeja,1,0,null,1,0,null,null
72,11.5,SD Hope,E Lewis,RA Jadeja,1,0,null,1,0,null,null
73,11.6,E Lewis,SD Hope,RA Jadeja,0,0,null,0,0,null,null
74,12.1,SD Hope,E Lewis,KK Ahmed,0,0,null,0,0,null,null
75,12.2,SD Hope,E Lewis,KK Ahmed,1,0,null,1,0,null,null
76,12.3,E Lewis,SD Hope,KK Ahmed,0,0,null,0,0,null,null
77,12.4,E Lewis,SD Hope,KK Ahmed,1,0,null,1,0,null,null
78,12.5,SD Hope,E Lewis,KK Ahmed,2,0,null,2,0,null,null
79,12.6,SD Hope,E Lewis,KK Ahmed,0,0,null,0,0,null,null
