,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,G Gambhir,V Kohli,WPUJC Vaas,0,0,null,0,0,null,null
1,0.2,G Gambhir,V Kohli,WPUJC Vaas,0,0,null,0,1,G Gambhir,bowled
2,0.3,SK Raina,V Kohli,WPUJC Vaas,0,0,null,0,0,null,null
3,0.4,SK Raina,V Kohli,WPUJC Vaas,0,0,null,0,0,null,null
4,0.5,SK Raina,V Kohli,WPUJC Vaas,0,0,null,0,0,null,null
5,0.6,SK Raina,V Kohli,WPUJC Vaas,1,0,null,1,0,null,null
6,1.1,SK Raina,V Kohli,KMDN Kulasekara,0,0,null,0,0,null,null
7,1.2,SK Raina,V Kohli,KMDN Kulasekara,0,0,null,0,0,null,null
8,1.3,SK Raina,V Kohli,KMDN Kulasekara,0,0,null,0,0,null,null
9,1.4,SK Raina,V Kohli,KMDN Kulasekara,0,1,wides ,1,0,null,null
10,1.5,SK Raina,V Kohli,KMDN Kulasekara,0,0,null,0,0,null,null
11,1.6,SK Raina,V Kohli,KMDN Kulasekara,0,0,null,0,0,null,null
12,1.7,SK Raina,V Kohli,KMDN Kulasekara,0,0,null,0,0,null,null
13,2.1,V Kohli,SK Raina,WPUJC Vaas,0,0,null,0,0,null,null
14,2.2,V Kohli,SK Raina,WPUJC Vaas,0,0,null,0,0,null,null
15,2.3,V Kohli,SK Raina,WPUJC Vaas,1,0,null,1,0,null,null
16,2.4,SK Raina,V Kohli,WPUJC Vaas,0,0,null,0,0,null,null
17,2.5,SK Raina,V Kohli,WPUJC Vaas,0,0,null,0,0,null,null
18,2.6,SK Raina,V Kohli,WPUJC Vaas,0,0,null,0,0,null,null
19,3.1,V Kohli,SK Raina,KMDN Kulasekara,1,0,null,1,0,null,null
20,3.2,SK Raina,V Kohli,KMDN Kulasekara,1,0,null,1,0,null,null
21,3.3,V Kohli,SK Raina,KMDN Kulasekara,1,0,null,1,0,null,null
22,3.4,SK Raina,V Kohli,KMDN Kulasekara,0,0,null,0,0,null,null
23,3.5,SK Raina,V Kohli,KMDN Kulasekara,0,0,null,0,0,null,null
24,3.6,SK Raina,V Kohli,KMDN Kulasekara,0,0,null,0,0,null,null
25,4.1,V Kohli,SK Raina,WPUJC Vaas,0,0,null,0,0,null,null
26,4.2,V Kohli,SK Raina,WPUJC Vaas,0,0,null,0,0,null,null
27,4.3,V Kohli,SK Raina,WPUJC Vaas,0,0,null,0,0,null,null
28,4.4,V Kohli,SK Raina,WPUJC Vaas,0,0,null,0,0,null,null
29,4.5,V Kohli,SK Raina,WPUJC Vaas,0,0,null,0,0,null,null
30,4.6,V Kohli,SK Raina,WPUJC Vaas,3,0,null,3,0,null,null
31,5.1,V Kohli,SK Raina,KMDN Kulasekara,0,0,null,0,0,null,null
32,5.2,V Kohli,SK Raina,KMDN Kulasekara,0,0,null,0,0,null,null
33,5.3,V Kohli,SK Raina,KMDN Kulasekara,0,0,null,0,0,null,null
34,5.4,V Kohli,SK Raina,KMDN Kulasekara,0,0,null,0,0,null,null
35,5.5,V Kohli,SK Raina,KMDN Kulasekara,2,0,null,2,0,null,null
36,5.6,V Kohli,SK Raina,KMDN Kulasekara,0,0,null,0,0,null,null
37,6.1,SK Raina,V Kohli,WPUJC Vaas,0,0,null,0,0,null,null
38,6.2,SK Raina,V Kohli,WPUJC Vaas,3,0,null,3,0,null,null
39,6.3,V Kohli,SK Raina,WPUJC Vaas,4,0,null,4,0,null,null
40,6.4,V Kohli,SK Raina,WPUJC Vaas,0,0,null,0,0,null,null
41,6.5,V Kohli,SK Raina,WPUJC Vaas,0,0,null,0,0,null,null
42,6.6,V Kohli,SK Raina,WPUJC Vaas,0,0,null,0,0,null,null
43,7.1,SK Raina,V Kohli,KMDN Kulasekara,0,0,null,0,0,null,null
44,7.2,SK Raina,V Kohli,KMDN Kulasekara,4,0,null,4,0,null,null
45,7.3,SK Raina,V Kohli,KMDN Kulasekara,0,0,null,0,0,null,null
46,7.4,SK Raina,V Kohli,KMDN Kulasekara,1,0,null,1,0,null,null
47,7.5,V Kohli,SK Raina,KMDN Kulasekara,0,0,null,0,1,V Kohli,lbw
48,7.6,Yuvraj Singh,SK Raina,KMDN Kulasekara,0,0,null,0,0,null,null
49,8.1,SK Raina,Yuvraj Singh,WPUJC Vaas,0,0,null,0,0,null,null
50,8.2,SK Raina,Yuvraj Singh,WPUJC Vaas,0,0,null,0,0,null,null
51,8.3,SK Raina,Yuvraj Singh,WPUJC Vaas,0,0,null,0,0,null,null
52,8.4,SK Raina,Yuvraj Singh,WPUJC Vaas,1,0,null,1,0,null,null
53,8.5,Yuvraj Singh,SK Raina,WPUJC Vaas,0,0,null,0,0,null,null
54,8.6,Yuvraj Singh,SK Raina,WPUJC Vaas,1,0,null,1,0,null,null
55,9.1,Yuvraj Singh,SK Raina,KMDN Kulasekara,0,0,null,0,0,null,null
56,9.2,Yuvraj Singh,SK Raina,KMDN Kulasekara,4,0,null,4,0,null,null
57,9.3,Yuvraj Singh,SK Raina,KMDN Kulasekara,0,0,null,0,0,null,null
58,9.4,Yuvraj Singh,SK Raina,KMDN Kulasekara,0,0,null,0,0,null,null
