,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,H Masakadza,SF Mire,Mujeeb Ur Rahman,0,0,null,0,0,null,null
1,0.2,H Masakadza,SF Mire,Mujeeb Ur Rahman,0,0,null,0,0,null,null
2,0.3,H Masakadza,SF Mire,Mujeeb Ur Rahman,0,0,null,0,0,null,null
3,0.4,H Masakadza,SF Mire,Mujeeb Ur Rahman,0,0,null,0,0,null,null
4,0.5,H Masakadza,SF Mire,Mujeeb Ur Rahman,0,0,null,0,0,null,null
5,0.6,H Masakadza,SF Mire,Mujeeb Ur Rahman,0,0,null,0,0,null,null
6,1.1,SF Mire,H Masakadza,Dawlat Zadran,0,0,null,0,0,null,null
7,1.2,SF Mire,H Masakadza,Dawlat Zadran,0,0,null,0,0,null,null
8,1.3,SF Mire,H Masakadza,Dawlat Zadran,0,0,null,0,0,null,null
9,1.4,SF Mire,H Masakadza,Dawlat Zadran,0,0,null,0,0,null,null
10,1.5,SF Mire,H Masakadza,Dawlat Zadran,1,0,null,1,0,null,null
11,1.6,H Masakadza,SF Mire,Dawlat Zadran,0,0,null,0,0,null,null
12,2.1,SF Mire,H Masakadza,Mujeeb Ur Rahman,1,0,null,1,0,null,null
13,2.2,H Masakadza,SF Mire,Mujeeb Ur Rahman,0,0,null,0,0,null,null
14,2.3,H Masakadza,SF Mire,Mujeeb Ur Rahman,0,0,null,0,0,null,null
15,2.4,H Masakadza,SF Mire,Mujeeb Ur Rahman,0,0,null,0,0,null,null
16,2.5,H Masakadza,SF Mire,Mujeeb Ur Rahman,2,0,null,2,0,null,null
17,2.6,H Masakadza,SF Mire,Mujeeb Ur Rahman,4,0,null,4,0,null,null
18,3.1,SF Mire,H Masakadza,Dawlat Zadran,0,0,null,0,0,null,null
19,3.2,SF Mire,H Masakadza,Dawlat Zadran,1,0,null,1,0,null,null
20,3.3,H Masakadza,SF Mire,Dawlat Zadran,0,0,null,0,0,null,null
21,3.4,H Masakadza,SF Mire,Dawlat Zadran,0,0,null,0,0,null,null
22,3.5,H Masakadza,SF Mire,Dawlat Zadran,0,0,null,0,0,null,null
23,3.6,H Masakadza,SF Mire,Dawlat Zadran,0,0,null,0,0,null,null
24,4.1,SF Mire,H Masakadza,Mujeeb Ur Rahman,2,0,null,2,0,null,null
25,4.2,SF Mire,H Masakadza,Mujeeb Ur Rahman,0,0,null,0,0,null,null
26,4.3,SF Mire,H Masakadza,Mujeeb Ur Rahman,1,0,null,1,0,null,null
27,4.4,H Masakadza,SF Mire,Mujeeb Ur Rahman,2,0,null,2,0,null,null
28,4.5,H Masakadza,SF Mire,Mujeeb Ur Rahman,0,0,null,0,0,null,null
29,4.6,H Masakadza,SF Mire,Mujeeb Ur Rahman,6,0,null,6,0,null,null
30,5.1,SF Mire,H Masakadza,Dawlat Zadran,4,0,null,4,0,null,null
31,5.2,SF Mire,H Masakadza,Dawlat Zadran,0,0,null,0,0,null,null
32,5.3,SF Mire,H Masakadza,Dawlat Zadran,0,0,null,0,0,null,null
33,5.4,SF Mire,H Masakadza,Dawlat Zadran,0,0,null,0,0,null,null
34,5.5,SF Mire,H Masakadza,Dawlat Zadran,4,0,null,4,0,null,null
35,5.6,SF Mire,H Masakadza,Dawlat Zadran,0,0,null,0,0,null,null
36,6.1,H Masakadza,SF Mire,Mujeeb Ur Rahman,0,0,null,0,0,null,null
37,6.2,H Masakadza,SF Mire,Mujeeb Ur Rahman,1,0,null,1,0,null,null
38,6.3,SF Mire,H Masakadza,Mujeeb Ur Rahman,0,0,null,0,0,null,null
39,6.4,SF Mire,H Masakadza,Mujeeb Ur Rahman,6,0,null,6,0,null,null
40,6.5,SF Mire,H Masakadza,Mujeeb Ur Rahman,6,0,null,6,0,null,null
41,6.6,SF Mire,H Masakadza,Mujeeb Ur Rahman,0,0,null,0,0,null,null
42,7.1,H Masakadza,SF Mire,Dawlat Zadran,1,0,null,1,0,null,null
43,7.2,SF Mire,H Masakadza,Dawlat Zadran,0,0,null,0,0,null,null
44,7.3,SF Mire,H Masakadza,Dawlat Zadran,6,0,null,6,0,null,null
45,7.4,SF Mire,H Masakadza,Dawlat Zadran,2,0,null,2,0,null,null
46,7.5,SF Mire,H Masakadza,Dawlat Zadran,0,0,null,0,1,SF Mire,bowled
47,7.6,BRM Taylor,H Masakadza,Dawlat Zadran,2,0,null,2,0,null,null
48,8.1,H Masakadza,BRM Taylor,Mujeeb Ur Rahman,0,0,null,0,0,null,null
49,8.2,H Masakadza,BRM Taylor,Mujeeb Ur Rahman,0,0,null,0,0,null,null
50,8.3,H Masakadza,BRM Taylor,Mujeeb Ur Rahman,0,0,null,0,0,null,null
51,8.4,H Masakadza,BRM Taylor,Mujeeb Ur Rahman,0,0,null,0,1,H Masakadza,caught
52,8.5,BRM Taylor,CR Ervine,Mujeeb Ur Rahman,1,0,null,1,0,null,null
53,8.6,CR Ervine,BRM Taylor,Mujeeb Ur Rahman,0,0,null,0,0,null,null
54,9.1,BRM Taylor,CR Ervine,Dawlat Zadran,1,0,null,1,0,null,null
55,9.2,CR Ervine,BRM Taylor,Dawlat Zadran,0,1,wides ,1,0,null,null
56,9.3,CR Ervine,BRM Taylor,Dawlat Zadran,1,0,null,1,0,null,null
57,9.4,BRM Taylor,CR Ervine,Dawlat Zadran,4,0,null,4,0,null,null
58,9.5,BRM Taylor,CR Ervine,Dawlat Zadran,0,0,null,0,0,null,null
