,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,HM Amla,Q de Kock,UT Yadav,1,0,null,1,0,null,null
1,0.2,Q de Kock,HM Amla,UT Yadav,4,0,null,4,0,null,null
2,0.3,Q de Kock,HM Amla,UT Yadav,0,0,null,0,0,null,null
3,0.4,Q de Kock,HM Amla,UT Yadav,0,1,wides ,1,0,null,null
4,0.5,Q de Kock,HM Amla,UT Yadav,0,0,null,0,0,null,null
5,0.6,Q de Kock,HM Amla,UT Yadav,0,0,null,0,0,null,null
6,0.7,Q de Kock,HM Amla,UT Yadav,0,0,null,0,0,null,null
7,1.1,HM Amla,Q de Kock,Mohammed Shami,0,0,null,0,0,null,null
8,1.2,HM Amla,Q de Kock,Mohammed Shami,0,0,null,0,0,null,null
9,1.3,HM Amla,Q de Kock,Mohammed Shami,0,1,wides ,1,0,null,null
10,1.4,HM Amla,Q de Kock,Mohammed Shami,0,0,null,0,0,null,null
11,1.5,HM Amla,Q de Kock,Mohammed Shami,1,0,null,1,0,null,null
12,1.6,Q de Kock,HM Amla,Mohammed Shami,0,0,null,0,0,null,null
13,1.7,Q de Kock,HM Amla,Mohammed Shami,1,0,null,1,0,null,null
14,2.1,Q de Kock,HM Amla,UT Yadav,0,0,null,0,0,null,null
15,2.2,Q de Kock,HM Amla,UT Yadav,0,0,null,0,0,null,null
16,2.3,Q de Kock,HM Amla,UT Yadav,0,0,null,0,0,null,null
17,2.4,Q de Kock,HM Amla,UT Yadav,2,0,null,2,0,null,null
18,2.5,Q de Kock,HM Amla,UT Yadav,0,1,legbyes ,1,0,null,null
19,2.6,HM Amla,Q de Kock,UT Yadav,0,0,null,0,0,null,null
20,3.1,Q de Kock,HM Amla,Mohammed Shami,0,0,null,0,0,null,null
21,3.2,Q de Kock,HM Amla,Mohammed Shami,0,0,null,0,0,null,null
22,3.3,Q de Kock,HM Amla,Mohammed Shami,0,0,null,0,1,Q de Kock,caught
23,3.4,F du Plessis,HM Amla,Mohammed Shami,0,0,null,0,0,null,null
24,3.5,F du Plessis,HM Amla,Mohammed Shami,0,0,null,0,0,null,null
25,3.6,F du Plessis,HM Amla,Mohammed Shami,0,0,null,0,0,null,null
26,4.1,HM Amla,F du Plessis,UT Yadav,3,0,null,3,0,null,null
27,4.2,F du Plessis,HM Amla,UT Yadav,0,0,null,0,0,null,null
28,4.3,F du Plessis,HM Amla,UT Yadav,0,0,null,0,0,null,null
29,4.4,F du Plessis,HM Amla,UT Yadav,1,0,null,1,0,null,null
30,4.5,HM Amla,F du Plessis,UT Yadav,1,0,null,1,0,null,null
31,4.6,F du Plessis,HM Amla,UT Yadav,0,0,null,0,0,null,null
32,5.1,HM Amla,F du Plessis,Mohammed Shami,1,0,null,1,0,null,null
33,5.2,F du Plessis,HM Amla,Mohammed Shami,0,0,null,0,0,null,null
34,5.3,F du Plessis,HM Amla,Mohammed Shami,0,0,null,0,0,null,null
35,5.4,F du Plessis,HM Amla,Mohammed Shami,1,0,null,1,0,null,null
36,5.5,HM Amla,F du Plessis,Mohammed Shami,0,0,null,0,0,null,null
37,5.6,HM Amla,F du Plessis,Mohammed Shami,0,0,null,0,0,null,null
38,6.1,F du Plessis,HM Amla,MM Sharma,0,0,null,0,0,null,null
39,6.2,F du Plessis,HM Amla,MM Sharma,0,0,null,0,0,null,null
40,6.3,F du Plessis,HM Amla,MM Sharma,0,0,null,0,0,null,null
41,6.4,F du Plessis,HM Amla,MM Sharma,1,0,null,1,0,null,null
42,6.5,HM Amla,F du Plessis,MM Sharma,2,0,null,2,0,null,null
43,6.6,HM Amla,F du Plessis,MM Sharma,4,0,null,4,0,null,null
44,7.1,F du Plessis,HM Amla,Mohammed Shami,1,0,null,1,0,null,null
45,7.2,HM Amla,F du Plessis,Mohammed Shami,0,0,null,0,0,null,null
46,7.3,HM Amla,F du Plessis,Mohammed Shami,0,0,null,0,0,null,null
47,7.4,HM Amla,F du Plessis,Mohammed Shami,1,0,null,1,0,null,null
48,7.5,F du Plessis,HM Amla,Mohammed Shami,0,0,null,0,0,null,null
49,7.6,F du Plessis,HM Amla,Mohammed Shami,0,0,null,0,0,null,null
50,8.1,HM Amla,F du Plessis,MM Sharma,0,0,null,0,0,null,null
51,8.2,HM Amla,F du Plessis,MM Sharma,2,0,null,2,0,null,null
52,8.3,HM Amla,F du Plessis,MM Sharma,0,0,null,0,0,null,null
53,8.4,HM Amla,F du Plessis,MM Sharma,0,0,null,0,0,null,null
54,8.5,HM Amla,F du Plessis,MM Sharma,0,0,null,0,0,null,null
55,8.6,HM Amla,F du Plessis,MM Sharma,0,0,null,0,0,null,null
56,9.1,F du Plessis,HM Amla,Mohammed Shami,1,0,null,1,0,null,null
57,9.2,HM Amla,F du Plessis,Mohammed Shami,0,0,null,0,0,null,null
58,9.3,HM Amla,F du Plessis,Mohammed Shami,0,0,null,0,0,null,null
59,9.4,HM Amla,F du Plessis,Mohammed Shami,0,1,wides ,1,0,null,null
