,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,H Masakadza,R Mutumbami,KJ Abbott,0,0,null,0,0,null,null
1,0.2,H Masakadza,R Mutumbami,KJ Abbott,4,0,null,4,0,null,null
2,0.3,H Masakadza,R Mutumbami,KJ Abbott,0,0,null,0,1,H Masakadza,lbw
3,0.4,Sikandar Raza,R Mutumbami,KJ Abbott,0,0,null,0,0,null,null
4,0.5,Sikandar Raza,R Mutumbami,KJ Abbott,0,0,null,0,0,null,null
5,0.6,Sikandar Raza,R Mutumbami,KJ Abbott,0,0,null,0,0,null,null
6,1.1,R Mutumbami,Sikandar Raza,M de Lange,0,0,null,0,1,R Mutumbami,caught
7,1.2,E Chigumbura,Sikandar Raza,M de Lange,0,0,null,0,0,null,null
8,1.3,E Chigumbura,Sikandar Raza,M de Lange,0,0,null,0,0,null,null
9,1.4,E Chigumbura,Sikandar Raza,M de Lange,1,0,null,1,0,null,null
10,1.5,Sikandar Raza,E Chigumbura,M de Lange,0,0,null,0,0,null,null
11,1.6,Sikandar Raza,E Chigumbura,M de Lange,0,0,null,0,0,null,null
12,2.1,E Chigumbura,Sikandar Raza,KJ Abbott,0,0,null,0,0,null,null
13,2.2,E Chigumbura,Sikandar Raza,KJ Abbott,1,0,null,1,0,null,null
14,2.3,Sikandar Raza,E Chigumbura,KJ Abbott,4,0,null,4,0,null,null
15,2.4,Sikandar Raza,E Chigumbura,KJ Abbott,1,0,null,1,0,null,null
16,2.5,E Chigumbura,Sikandar Raza,KJ Abbott,1,0,null,1,0,null,null
17,2.6,Sikandar Raza,E Chigumbura,KJ Abbott,0,0,null,0,0,null,null
18,3.1,E Chigumbura,Sikandar Raza,M de Lange,0,0,null,0,0,null,null
19,3.2,E Chigumbura,Sikandar Raza,M de Lange,0,0,null,0,0,null,null
20,3.3,E Chigumbura,Sikandar Raza,M de Lange,0,0,null,0,0,null,null
21,3.4,E Chigumbura,Sikandar Raza,M de Lange,1,0,null,1,0,null,null
22,3.5,Sikandar Raza,E Chigumbura,M de Lange,0,0,null,0,0,null,null
23,3.6,Sikandar Raza,E Chigumbura,M de Lange,4,0,null,4,0,null,null
24,4.1,E Chigumbura,Sikandar Raza,KJ Abbott,2,0,null,2,0,null,null
25,4.2,E Chigumbura,Sikandar Raza,KJ Abbott,0,0,null,0,0,null,null
26,4.3,E Chigumbura,Sikandar Raza,KJ Abbott,0,0,null,0,0,null,null
27,4.4,E Chigumbura,Sikandar Raza,KJ Abbott,4,0,null,4,0,null,null
28,4.5,E Chigumbura,Sikandar Raza,KJ Abbott,1,0,null,1,0,null,null
29,4.6,Sikandar Raza,E Chigumbura,KJ Abbott,0,0,null,0,0,null,null
30,5.1,E Chigumbura,Sikandar Raza,M de Lange,0,1,wides ,1,0,null,null
31,5.2,E Chigumbura,Sikandar Raza,M de Lange,0,0,null,0,0,null,null
32,5.3,E Chigumbura,Sikandar Raza,M de Lange,1,0,null,1,0,null,null
33,5.4,Sikandar Raza,E Chigumbura,M de Lange,0,0,null,0,0,null,null
34,5.5,Sikandar Raza,E Chigumbura,M de Lange,0,0,null,0,0,null,null
35,5.6,Sikandar Raza,E Chigumbura,M de Lange,0,0,null,0,0,null,null
36,5.7,Sikandar Raza,E Chigumbura,M de Lange,4,0,null,4,0,null,null
37,6.1,E Chigumbura,Sikandar Raza,KJ Abbott,0,0,null,0,0,null,null
38,6.2,E Chigumbura,Sikandar Raza,KJ Abbott,0,0,null,0,0,null,null
39,6.3,E Chigumbura,Sikandar Raza,KJ Abbott,0,0,null,0,0,null,null
40,6.4,E Chigumbura,Sikandar Raza,KJ Abbott,1,0,null,1,0,null,null
41,6.5,Sikandar Raza,E Chigumbura,KJ Abbott,0,0,null,0,0,null,null
42,6.6,Sikandar Raza,E Chigumbura,KJ Abbott,0,0,null,0,0,null,null
43,7.1,E Chigumbura,Sikandar Raza,M de Lange,4,0,null,4,0,null,null
44,7.2,E Chigumbura,Sikandar Raza,M de Lange,0,0,null,0,0,null,null
45,7.3,E Chigumbura,Sikandar Raza,M de Lange,0,0,null,0,0,null,null
46,7.4,E Chigumbura,Sikandar Raza,M de Lange,0,0,null,0,0,null,null
47,7.5,E Chigumbura,Sikandar Raza,M de Lange,0,0,null,0,0,null,null
48,7.6,E Chigumbura,Sikandar Raza,M de Lange,0,0,null,0,0,null,null
49,8.1,Sikandar Raza,E Chigumbura,R McLaren,4,0,null,4,0,null,null
50,8.2,Sikandar Raza,E Chigumbura,R McLaren,4,0,null,4,0,null,null
51,8.3,Sikandar Raza,E Chigumbura,R McLaren,1,0,null,1,0,null,null
52,8.4,E Chigumbura,Sikandar Raza,R McLaren,1,0,null,1,0,null,null
53,8.5,Sikandar Raza,E Chigumbura,R McLaren,0,0,null,0,0,null,null
54,8.6,Sikandar Raza,E Chigumbura,R McLaren,4,0,null,4,0,null,null
55,9.1,E Chigumbura,Sikandar Raza,M de Lange,0,0,null,0,0,null,null
56,9.2,E Chigumbura,Sikandar Raza,M de Lange,0,0,null,0,0,null,null
57,9.3,E Chigumbura,Sikandar Raza,M de Lange,0,0,null,0,0,null,null
58,9.4,E Chigumbura,Sikandar Raza,M de Lange,0,0,null,0,0,null,null
59,9.5,E Chigumbura,Sikandar Raza,M de Lange,0,0,null,0,0,null,null
60,9.6,E Chigumbura,Sikandar Raza,M de Lange,1,0,null,1,0,null,null
61,10.1,E Chigumbura,Sikandar Raza,R McLaren,0,1,legbyes ,1,0,null,null
62,10.2,Sikandar Raza,E Chigumbura,R McLaren,4,0,null,4,0,null,null
