,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,CH Gayle,E Lewis,AR McBrine,0,0,null,0,0,null,null
1,0.2,CH Gayle,E Lewis,AR McBrine,1,0,null,1,0,null,null
2,0.3,E Lewis,CH Gayle,AR McBrine,0,0,null,0,0,null,null
3,0.4,E Lewis,CH Gayle,AR McBrine,0,0,null,0,0,null,null
4,0.5,E Lewis,CH Gayle,AR McBrine,4,0,null,4,0,null,null
5,0.6,E Lewis,CH Gayle,AR McBrine,0,0,null,0,0,null,null
6,1.1,CH Gayle,E Lewis,TJ Murtagh,0,0,null,0,0,null,null
7,1.2,CH Gayle,E Lewis,TJ Murtagh,0,0,null,0,0,null,null
8,1.3,CH Gayle,E Lewis,TJ Murtagh,0,0,null,0,0,null,null
9,1.4,CH Gayle,E Lewis,TJ Murtagh,0,0,null,0,0,null,null
10,1.5,CH Gayle,E Lewis,TJ Murtagh,0,0,null,0,0,null,null
11,1.6,CH Gayle,E Lewis,TJ Murtagh,0,0,null,0,0,null,null
12,2.1,E Lewis,CH Gayle,AR McBrine,1,0,null,1,0,null,null
13,2.2,CH Gayle,E Lewis,AR McBrine,1,0,null,1,0,null,null
14,2.3,E Lewis,CH Gayle,AR McBrine,0,0,null,0,0,null,null
15,2.4,E Lewis,CH Gayle,AR McBrine,0,0,null,0,0,null,null
16,2.5,E Lewis,CH Gayle,AR McBrine,4,0,null,4,0,null,null
17,2.6,E Lewis,CH Gayle,AR McBrine,0,0,null,0,0,null,null
18,3.1,CH Gayle,E Lewis,TJ Murtagh,0,0,null,0,0,null,null
19,3.2,CH Gayle,E Lewis,TJ Murtagh,6,0,null,6,0,null,null
20,3.3,CH Gayle,E Lewis,TJ Murtagh,0,0,null,0,0,null,null
21,3.4,CH Gayle,E Lewis,TJ Murtagh,0,0,null,0,0,null,null
22,3.5,CH Gayle,E Lewis,TJ Murtagh,0,0,null,0,0,null,null
23,3.6,CH Gayle,E Lewis,TJ Murtagh,0,0,null,0,0,null,null
24,4.1,E Lewis,CH Gayle,WB Rankin,0,0,null,0,0,null,null
25,4.2,E Lewis,CH Gayle,WB Rankin,0,1,wides ,1,0,null,null
26,4.3,E Lewis,CH Gayle,WB Rankin,0,0,null,0,1,E Lewis,caught
27,4.4,SO Hetmyer,CH Gayle,WB Rankin,0,0,null,0,0,null,null
28,4.5,SO Hetmyer,CH Gayle,WB Rankin,0,1,wides ,1,0,null,null
29,4.6,SO Hetmyer,CH Gayle,WB Rankin,0,0,null,0,0,null,null
30,4.7,SO Hetmyer,CH Gayle,WB Rankin,1,0,null,1,0,null,null
31,4.8,CH Gayle,SO Hetmyer,WB Rankin,0,0,null,0,0,null,null
32,5.1,SO Hetmyer,CH Gayle,TJ Murtagh,0,0,null,0,0,null,null
