,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,BJ Haddin,MJ Clarke,DW Steyn,0,0,null,0,0,null,null
1,0.2,BJ Haddin,MJ Clarke,DW Steyn,1,0,null,1,0,null,null
2,0.3,MJ Clarke,BJ Haddin,DW Steyn,0,0,null,0,0,null,null
3,0.4,MJ Clarke,BJ Haddin,DW Steyn,1,0,null,1,0,null,null
4,0.5,BJ Haddin,MJ Clarke,DW Steyn,0,0,null,0,0,null,null
5,0.6,BJ Haddin,MJ Clarke,DW Steyn,1,0,null,1,0,null,null
6,1.1,BJ Haddin,MJ Clarke,M Ntini,0,0,null,0,0,null,null
7,1.2,BJ Haddin,MJ Clarke,M Ntini,1,0,null,1,0,null,null
8,1.3,MJ Clarke,BJ Haddin,M Ntini,1,0,null,1,0,null,null
9,1.4,BJ Haddin,MJ Clarke,M Ntini,1,0,null,1,0,null,null
10,1.5,MJ Clarke,BJ Haddin,M Ntini,1,0,null,1,0,null,null
11,1.6,BJ Haddin,MJ Clarke,M Ntini,0,0,null,0,0,null,null
12,2.1,MJ Clarke,BJ Haddin,DW Steyn,0,0,null,0,0,null,null
13,2.2,MJ Clarke,BJ Haddin,DW Steyn,0,0,null,0,0,null,null
14,2.3,MJ Clarke,BJ Haddin,DW Steyn,0,0,null,0,0,null,null
15,2.4,MJ Clarke,BJ Haddin,DW Steyn,0,0,null,0,0,null,null
16,2.5,MJ Clarke,BJ Haddin,DW Steyn,2,0,null,2,0,null,null
17,2.6,MJ Clarke,BJ Haddin,DW Steyn,4,0,null,4,0,null,null
18,3.1,BJ Haddin,MJ Clarke,M Ntini,0,0,null,0,0,null,null
19,3.2,BJ Haddin,MJ Clarke,M Ntini,0,0,null,0,0,null,null
20,3.3,BJ Haddin,MJ Clarke,M Ntini,4,0,null,4,0,null,null
21,3.4,BJ Haddin,MJ Clarke,M Ntini,4,0,null,4,0,null,null
22,3.5,BJ Haddin,MJ Clarke,M Ntini,0,0,null,0,0,null,null
23,3.6,BJ Haddin,MJ Clarke,M Ntini,0,0,null,0,0,null,null
24,4.1,MJ Clarke,BJ Haddin,DW Steyn,0,0,null,0,0,null,null
25,4.2,MJ Clarke,BJ Haddin,DW Steyn,0,0,null,0,0,null,null
26,4.3,MJ Clarke,BJ Haddin,DW Steyn,0,0,null,0,0,null,null
