,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,TP Ura,G Toka,Bilal Khan,0,0,null,0,0,null,null
1,0.2,TP Ura,G Toka,Bilal Khan,0,0,null,0,0,null,null
2,0.3,TP Ura,G Toka,Bilal Khan,0,0,null,0,0,null,null
3,0.4,TP Ura,G Toka,Bilal Khan,0,0,null,0,0,null,null
4,0.5,TP Ura,G Toka,Bilal Khan,0,0,null,0,0,null,null
5,0.6,TP Ura,G Toka,Bilal Khan,0,0,null,0,0,null,null
6,1.1,G Toka,TP Ura,AV Lalcheta,0,0,null,0,0,null,null
7,1.2,G Toka,TP Ura,AV Lalcheta,0,0,null,0,0,null,null
8,1.3,G Toka,TP Ura,AV Lalcheta,0,0,null,0,0,null,null
9,1.4,G Toka,TP Ura,AV Lalcheta,1,0,null,1,0,null,null
10,1.5,TP Ura,G Toka,AV Lalcheta,4,0,null,4,0,null,null
11,1.6,TP Ura,G Toka,AV Lalcheta,0,0,null,0,0,null,null
12,2.1,G Toka,TP Ura,Bilal Khan,1,0,null,1,0,null,null
13,2.2,TP Ura,G Toka,Bilal Khan,4,0,null,4,0,null,null
14,2.3,TP Ura,G Toka,Bilal Khan,0,0,null,0,0,null,null
15,2.4,TP Ura,G Toka,Bilal Khan,2,0,null,2,0,null,null
16,2.5,TP Ura,G Toka,Bilal Khan,0,0,null,0,0,null,null
17,2.6,TP Ura,G Toka,Bilal Khan,2,0,null,2,0,null,null
18,3.1,G Toka,TP Ura,AV Lalcheta,4,0,null,4,0,null,null
19,3.2,G Toka,TP Ura,AV Lalcheta,0,0,null,0,0,null,null
20,3.3,G Toka,TP Ura,AV Lalcheta,0,0,null,0,0,null,null
21,3.4,G Toka,TP Ura,AV Lalcheta,4,0,null,4,0,null,null
22,3.5,G Toka,TP Ura,AV Lalcheta,1,0,null,1,0,null,null
23,3.6,TP Ura,G Toka,AV Lalcheta,4,0,null,4,0,null,null
24,4.1,G Toka,TP Ura,Fayyaz Butt,1,0,null,1,0,null,null
25,4.2,TP Ura,G Toka,Fayyaz Butt,0,0,null,0,0,null,null
