,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,DS Smith,J Charles,Mohammad Irfan,0,0,null,0,0,null,null
1,0.2,DS Smith,J Charles,Mohammad Irfan,1,0,null,1,0,null,null
2,0.3,J Charles,DS Smith,Mohammad Irfan,0,0,null,0,0,null,null
3,0.4,J Charles,DS Smith,Mohammad Irfan,0,0,null,0,0,null,null
4,0.5,J Charles,DS Smith,Mohammad Irfan,0,0,null,0,0,null,null
5,0.6,J Charles,DS Smith,Mohammad Irfan,0,0,null,0,0,null,null
6,1.1,DS Smith,J Charles,Mohammad Hafeez,0,0,null,0,0,null,null
7,1.2,DS Smith,J Charles,Mohammad Hafeez,0,0,null,0,0,null,null
8,1.3,DS Smith,J Charles,Mohammad Hafeez,0,0,null,0,0,null,null
9,1.4,DS Smith,J Charles,Mohammad Hafeez,0,0,null,0,0,null,null
10,1.5,DS Smith,J Charles,Mohammad Hafeez,0,0,null,0,0,null,null
11,1.6,DS Smith,J Charles,Mohammad Hafeez,0,0,null,0,0,null,null
12,2.1,J Charles,DS Smith,Mohammad Irfan,0,0,null,0,0,null,null
13,2.2,J Charles,DS Smith,Mohammad Irfan,4,0,null,4,0,null,null
14,2.3,J Charles,DS Smith,Mohammad Irfan,1,0,null,1,0,null,null
15,2.4,DS Smith,J Charles,Mohammad Irfan,0,0,null,0,0,null,null
16,2.5,DS Smith,J Charles,Mohammad Irfan,0,0,null,0,0,null,null
17,2.6,DS Smith,J Charles,Mohammad Irfan,0,0,null,0,0,null,null
18,3.1,J Charles,DS Smith,Mohammad Hafeez,0,0,null,0,0,null,null
19,3.2,J Charles,DS Smith,Mohammad Hafeez,4,0,null,4,0,null,null
20,3.3,J Charles,DS Smith,Mohammad Hafeez,0,0,null,0,0,null,null
21,3.4,J Charles,DS Smith,Mohammad Hafeez,0,0,null,0,0,null,null
22,3.5,J Charles,DS Smith,Mohammad Hafeez,0,0,null,0,0,null,null
23,3.6,J Charles,DS Smith,Mohammad Hafeez,0,0,null,0,0,null,null
24,4.1,DS Smith,J Charles,Mohammad Irfan,4,0,null,4,0,null,null
25,4.2,DS Smith,J Charles,Mohammad Irfan,1,0,null,1,0,null,null
26,4.3,J Charles,DS Smith,Mohammad Irfan,1,0,null,1,0,null,null
27,4.4,DS Smith,J Charles,Mohammad Irfan,0,0,null,0,0,null,null
28,4.5,DS Smith,J Charles,Mohammad Irfan,0,0,null,0,0,null,null
29,4.6,DS Smith,J Charles,Mohammad Irfan,0,0,null,0,0,null,null
30,5.1,J Charles,DS Smith,Mohammad Hafeez,0,0,null,0,0,null,null
31,5.2,J Charles,DS Smith,Mohammad Hafeez,1,0,null,1,0,null,null
32,5.3,DS Smith,J Charles,Mohammad Hafeez,0,0,null,0,0,null,null
33,5.4,DS Smith,J Charles,Mohammad Hafeez,0,0,null,0,0,null,null
34,5.5,DS Smith,J Charles,Mohammad Hafeez,0,0,null,0,0,null,null
35,5.6,DS Smith,J Charles,Mohammad Hafeez,0,0,null,0,0,null,null
36,6.1,J Charles,DS Smith,Mohammad Irfan,0,1,legbyes ,1,0,null,null
37,6.2,DS Smith,J Charles,Mohammad Irfan,2,0,null,2,0,null,null
38,6.3,DS Smith,J Charles,Mohammad Irfan,0,0,null,0,1,DS Smith,caught
39,6.4,DM Bravo,J Charles,Mohammad Irfan,0,0,null,0,0,null,null
40,6.5,DM Bravo,J Charles,Mohammad Irfan,0,0,null,0,0,null,null
41,6.6,DM Bravo,J Charles,Mohammad Irfan,2,0,null,2,0,null,null
42,7.1,J Charles,DM Bravo,Mohammad Hafeez,1,0,null,1,0,null,null
43,7.2,DM Bravo,J Charles,Mohammad Hafeez,0,0,null,0,0,null,null
44,7.3,DM Bravo,J Charles,Mohammad Hafeez,1,0,null,1,0,null,null
45,7.4,J Charles,DM Bravo,Mohammad Hafeez,0,0,null,0,0,null,null
46,7.5,J Charles,DM Bravo,Mohammad Hafeez,0,0,null,0,0,null,null
47,7.6,J Charles,DM Bravo,Mohammad Hafeez,0,0,null,0,0,null,null
48,8.1,DM Bravo,J Charles,Mohammad Irfan,0,0,null,0,0,null,null
49,8.2,DM Bravo,J Charles,Mohammad Irfan,0,0,null,0,0,null,null
50,8.3,DM Bravo,J Charles,Mohammad Irfan,0,0,null,0,0,null,null
51,8.4,DM Bravo,J Charles,Mohammad Irfan,0,0,null,0,0,null,null
52,8.5,DM Bravo,J Charles,Mohammad Irfan,0,0,null,0,0,null,null
