,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,AJ Strauss,IR Bell,RP Singh,0,0,null,0,0,null,null
1,0.2,AJ Strauss,IR Bell,RP Singh,0,0,null,0,0,null,null
2,0.3,AJ Strauss,IR Bell,RP Singh,0,0,null,0,0,null,null
3,0.4,AJ Strauss,IR Bell,RP Singh,0,0,null,0,0,null,null
4,0.5,AJ Strauss,IR Bell,RP Singh,0,0,null,0,0,null,null
5,0.6,AJ Strauss,IR Bell,RP Singh,0,0,null,0,0,null,null
6,1.1,IR Bell,AJ Strauss,MM Patel,0,0,null,0,0,null,null
7,1.2,IR Bell,AJ Strauss,MM Patel,0,0,null,0,0,null,null
8,1.3,IR Bell,AJ Strauss,MM Patel,1,0,null,1,0,null,null
9,1.4,AJ Strauss,IR Bell,MM Patel,0,0,null,0,0,null,null
10,1.5,AJ Strauss,IR Bell,MM Patel,1,0,null,1,0,null,null
11,1.6,IR Bell,AJ Strauss,MM Patel,0,0,null,0,0,null,null
12,2.1,AJ Strauss,IR Bell,RP Singh,4,0,null,4,0,null,null
13,2.2,AJ Strauss,IR Bell,RP Singh,4,0,null,4,0,null,null
14,2.3,AJ Strauss,IR Bell,RP Singh,0,0,null,0,0,null,null
15,2.4,AJ Strauss,IR Bell,RP Singh,4,0,null,4,0,null,null
16,2.5,AJ Strauss,IR Bell,RP Singh,0,0,null,0,0,null,null
17,2.6,AJ Strauss,IR Bell,RP Singh,0,0,null,0,0,null,null
18,3.1,IR Bell,AJ Strauss,MM Patel,0,0,null,0,0,null,null
19,3.2,IR Bell,AJ Strauss,MM Patel,0,0,null,0,0,null,null
20,3.3,IR Bell,AJ Strauss,MM Patel,4,0,null,4,0,null,null
21,3.4,IR Bell,AJ Strauss,MM Patel,4,0,null,4,0,null,null
22,3.5,IR Bell,AJ Strauss,MM Patel,0,0,null,0,0,null,null
23,3.6,IR Bell,AJ Strauss,MM Patel,1,0,null,1,0,null,null
24,4.1,IR Bell,AJ Strauss,RP Singh,0,0,null,0,0,null,null
25,4.2,IR Bell,AJ Strauss,RP Singh,0,0,null,0,0,null,null
26,4.3,IR Bell,AJ Strauss,RP Singh,0,1,wides ,1,0,null,null
27,4.4,IR Bell,AJ Strauss,RP Singh,1,0,null,1,0,null,null
28,4.5,AJ Strauss,IR Bell,RP Singh,2,0,null,2,0,null,null
29,4.6,AJ Strauss,IR Bell,RP Singh,0,0,null,0,0,null,null
30,4.7,AJ Strauss,IR Bell,RP Singh,2,0,null,2,0,null,null
31,5.1,IR Bell,AJ Strauss,MM Patel,0,0,null,0,0,null,null
32,5.2,IR Bell,AJ Strauss,MM Patel,0,0,null,0,0,null,null
