,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,PD Salt,DJ Malan,Shaheen Shah Afridi,0,0,null,0,0,null,null
1,0.2,PD Salt,DJ Malan,Shaheen Shah Afridi,4,0,null,4,0,null,null
2,0.3,PD Salt,DJ Malan,Shaheen Shah Afridi,0,0,null,0,0,null,null
3,0.4,PD Salt,DJ Malan,Shaheen Shah Afridi,0,0,null,0,0,null,null
4,0.5,PD Salt,DJ Malan,Shaheen Shah Afridi,4,0,null,4,0,null,null
5,0.6,PD Salt,DJ Malan,Shaheen Shah Afridi,0,0,null,0,0,null,null
6,1.1,DJ Malan,PD Salt,Hasan Ali,0,1,wides ,1,0,null,null
7,1.2,DJ Malan,PD Salt,Hasan Ali,0,0,null,0,0,null,null
8,1.3,DJ Malan,PD Salt,Hasan Ali,0,0,null,0,0,null,null
9,1.4,DJ Malan,PD Salt,Hasan Ali,0,0,null,0,0,null,null
10,1.5,DJ Malan,PD Salt,Hasan Ali,0,0,null,0,0,null,null
11,1.6,DJ Malan,PD Salt,Hasan Ali,0,0,null,0,0,null,null
12,1.7,DJ Malan,PD Salt,Hasan Ali,0,0,null,0,1,DJ Malan,caught
13,2.1,PD Salt,Z Crawley,Shaheen Shah Afridi,2,0,null,2,0,null,null
14,2.2,PD Salt,Z Crawley,Shaheen Shah Afridi,0,0,null,0,0,null,null
15,2.3,PD Salt,Z Crawley,Shaheen Shah Afridi,0,0,null,0,0,null,null
16,2.4,PD Salt,Z Crawley,Shaheen Shah Afridi,0,0,null,0,0,null,null
17,2.5,PD Salt,Z Crawley,Shaheen Shah Afridi,0,0,null,0,0,null,null
18,2.6,PD Salt,Z Crawley,Shaheen Shah Afridi,1,0,null,1,0,null,null
19,3.1,PD Salt,Z Crawley,Hasan Ali,0,0,null,0,0,null,null
20,3.2,PD Salt,Z Crawley,Hasan Ali,0,0,null,0,0,null,null
21,3.3,PD Salt,Z Crawley,Hasan Ali,0,0,null,0,0,null,null
22,3.4,PD Salt,Z Crawley,Hasan Ali,4,0,null,4,0,null,null
23,3.5,PD Salt,Z Crawley,Hasan Ali,2,1,noballs ,3,0,null,null
24,3.6,PD Salt,Z Crawley,Hasan Ali,0,0,null,0,0,null,null
25,3.7,PD Salt,Z Crawley,Hasan Ali,2,0,null,2,0,null,null
26,4.1,Z Crawley,PD Salt,Shaheen Shah Afridi,0,0,null,0,1,Z Crawley,bowled
27,4.2,JM Vince,PD Salt,Shaheen Shah Afridi,0,0,null,0,0,null,null
28,4.3,JM Vince,PD Salt,Shaheen Shah Afridi,0,0,null,0,0,null,null
29,4.4,JM Vince,PD Salt,Shaheen Shah Afridi,0,0,null,0,0,null,null
30,4.5,JM Vince,PD Salt,Shaheen Shah Afridi,0,0,null,0,0,null,null
31,4.6,JM Vince,PD Salt,Shaheen Shah Afridi,1,0,null,1,0,null,null
