,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,Mohammad Hafeez,Azhar Ali,CB Mpofu,2,0,null,2,0,null,null
1,0.2,Mohammad Hafeez,Azhar Ali,CB Mpofu,0,0,null,0,0,null,null
2,0.3,Mohammad Hafeez,Azhar Ali,CB Mpofu,0,0,null,0,0,null,null
3,0.4,Mohammad Hafeez,Azhar Ali,CB Mpofu,4,0,null,4,0,null,null
4,0.5,Mohammad Hafeez,Azhar Ali,CB Mpofu,0,0,null,0,0,null,null
5,0.6,Mohammad Hafeez,Azhar Ali,CB Mpofu,3,0,null,3,0,null,null
6,1.1,Mohammad Hafeez,Azhar Ali,T Panyangara,1,1,noballs ,2,0,null,null
7,1.2,Azhar Ali,Mohammad Hafeez,T Panyangara,4,0,null,4,0,null,null
8,1.3,Azhar Ali,Mohammad Hafeez,T Panyangara,0,0,null,0,0,null,null
9,1.4,Azhar Ali,Mohammad Hafeez,T Panyangara,0,0,null,0,0,null,null
10,1.5,Azhar Ali,Mohammad Hafeez,T Panyangara,0,0,null,0,0,null,null
11,1.6,Azhar Ali,Mohammad Hafeez,T Panyangara,0,0,null,0,0,null,null
12,1.7,Azhar Ali,Mohammad Hafeez,T Panyangara,0,0,null,0,0,null,null
13,2.1,Mohammad Hafeez,Azhar Ali,CB Mpofu,0,0,null,0,0,null,null
14,2.2,Mohammad Hafeez,Azhar Ali,CB Mpofu,0,0,null,0,0,null,null
15,2.3,Mohammad Hafeez,Azhar Ali,CB Mpofu,4,0,null,4,0,null,null
16,2.4,Mohammad Hafeez,Azhar Ali,CB Mpofu,0,0,null,0,0,null,null
17,2.5,Mohammad Hafeez,Azhar Ali,CB Mpofu,0,0,null,0,0,null,null
18,2.6,Mohammad Hafeez,Azhar Ali,CB Mpofu,0,0,null,0,0,null,null
19,3.1,Azhar Ali,Mohammad Hafeez,T Panyangara,0,0,null,0,0,null,null
20,3.2,Azhar Ali,Mohammad Hafeez,T Panyangara,0,0,null,0,0,null,null
21,3.3,Azhar Ali,Mohammad Hafeez,T Panyangara,1,0,null,1,0,null,null
22,3.4,Mohammad Hafeez,Azhar Ali,T Panyangara,0,0,null,0,0,null,null
23,3.5,Mohammad Hafeez,Azhar Ali,T Panyangara,0,0,null,0,0,null,null
24,3.6,Mohammad Hafeez,Azhar Ali,T Panyangara,0,0,null,0,0,null,null
25,4.1,Azhar Ali,Mohammad Hafeez,CB Mpofu,0,0,null,0,0,null,null
26,4.2,Azhar Ali,Mohammad Hafeez,CB Mpofu,2,0,null,2,0,null,null
27,4.3,Azhar Ali,Mohammad Hafeez,CB Mpofu,1,0,null,1,0,null,null
28,4.4,Mohammad Hafeez,Azhar Ali,CB Mpofu,0,0,null,0,0,null,null
29,4.5,Mohammad Hafeez,Azhar Ali,CB Mpofu,4,0,null,4,0,null,null
30,4.6,Mohammad Hafeez,Azhar Ali,CB Mpofu,1,0,null,1,0,null,null
31,5.1,Mohammad Hafeez,Azhar Ali,T Panyangara,1,0,null,1,0,null,null
32,5.2,Azhar Ali,Mohammad Hafeez,T Panyangara,0,0,null,0,0,null,null
33,5.3,Azhar Ali,Mohammad Hafeez,T Panyangara,0,0,null,0,0,null,null
34,5.4,Azhar Ali,Mohammad Hafeez,T Panyangara,1,0,null,1,0,null,null
35,5.5,Mohammad Hafeez,Azhar Ali,T Panyangara,0,0,null,0,0,null,null
