,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,RG Sharma,S Dhawan,SL Malinga,0,0,null,0,0,null,null
1,0.2,RG Sharma,S Dhawan,SL Malinga,1,0,null,1,0,null,null
2,0.3,S Dhawan,RG Sharma,SL Malinga,2,0,null,2,0,null,null
3,0.4,S Dhawan,RG Sharma,SL Malinga,1,0,null,1,0,null,null
4,0.5,RG Sharma,S Dhawan,SL Malinga,0,0,null,0,0,null,null
5,0.6,RG Sharma,S Dhawan,SL Malinga,0,0,null,0,0,null,null
6,1.1,S Dhawan,RG Sharma,MVT Fernando,4,0,null,4,0,null,null
7,1.2,S Dhawan,RG Sharma,MVT Fernando,0,0,null,0,0,null,null
8,1.3,S Dhawan,RG Sharma,MVT Fernando,0,0,null,0,0,null,null
9,1.4,S Dhawan,RG Sharma,MVT Fernando,0,0,null,0,0,null,null
10,1.5,S Dhawan,RG Sharma,MVT Fernando,0,1,wides ,1,0,null,null
11,1.6,S Dhawan,RG Sharma,MVT Fernando,0,0,null,0,0,null,null
12,1.7,S Dhawan,RG Sharma,MVT Fernando,0,0,null,0,0,null,null
13,2.1,RG Sharma,S Dhawan,SL Malinga,1,0,null,1,0,null,null
14,2.2,S Dhawan,RG Sharma,SL Malinga,0,0,null,0,0,null,null
15,2.3,S Dhawan,RG Sharma,SL Malinga,0,0,null,0,0,null,null
16,2.4,S Dhawan,RG Sharma,SL Malinga,4,0,null,4,0,null,null
17,2.5,S Dhawan,RG Sharma,SL Malinga,0,0,null,0,0,null,null
18,2.6,S Dhawan,RG Sharma,SL Malinga,4,0,null,4,0,null,null
19,3.1,RG Sharma,S Dhawan,MVT Fernando,0,0,null,0,0,null,null
20,3.2,RG Sharma,S Dhawan,MVT Fernando,0,0,null,0,0,null,null
21,3.3,RG Sharma,S Dhawan,MVT Fernando,1,0,null,1,0,null,null
22,3.4,S Dhawan,RG Sharma,MVT Fernando,0,0,null,0,0,null,null
23,3.5,S Dhawan,RG Sharma,MVT Fernando,0,0,null,0,0,null,null
24,3.6,S Dhawan,RG Sharma,MVT Fernando,2,0,null,2,0,null,null
25,4.1,RG Sharma,S Dhawan,SL Malinga,1,0,null,1,0,null,null
26,4.2,S Dhawan,RG Sharma,SL Malinga,1,0,null,1,0,null,null
27,4.3,RG Sharma,S Dhawan,SL Malinga,0,0,null,0,0,null,null
28,4.4,RG Sharma,S Dhawan,SL Malinga,0,0,null,0,0,null,null
29,4.5,RG Sharma,S Dhawan,SL Malinga,0,0,null,0,0,null,null
30,4.6,RG Sharma,S Dhawan,SL Malinga,0,0,null,0,1,RG Sharma,run out
31,5.1,V Kohli,S Dhawan,MVT Fernando,0,0,null,0,0,null,null
32,5.2,V Kohli,S Dhawan,MVT Fernando,0,0,null,0,0,null,null
33,5.3,V Kohli,S Dhawan,MVT Fernando,0,0,null,0,0,null,null
