,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,Azhar Ali,Ahmed Shehzad,T Panyangara,0,0,null,0,0,null,null
1,0.2,Azhar Ali,Ahmed Shehzad,T Panyangara,0,0,null,0,0,null,null
2,0.3,Azhar Ali,Ahmed Shehzad,T Panyangara,0,0,null,0,0,null,null
3,0.4,Azhar Ali,Ahmed Shehzad,T Panyangara,0,0,null,0,0,null,null
4,0.5,Azhar Ali,Ahmed Shehzad,T Panyangara,0,0,null,0,0,null,null
5,0.6,Azhar Ali,Ahmed Shehzad,T Panyangara,0,0,null,0,0,null,null
6,1.1,Ahmed Shehzad,Azhar Ali,LM Jongwe,0,0,null,0,0,null,null
7,1.2,Ahmed Shehzad,Azhar Ali,LM Jongwe,0,0,null,0,0,null,null
8,1.3,Ahmed Shehzad,Azhar Ali,LM Jongwe,0,1,legbyes ,1,0,null,null
9,1.4,Azhar Ali,Ahmed Shehzad,LM Jongwe,0,0,null,0,0,null,null
10,1.5,Azhar Ali,Ahmed Shehzad,LM Jongwe,0,0,null,0,0,null,null
11,1.6,Azhar Ali,Ahmed Shehzad,LM Jongwe,0,0,null,0,0,null,null
12,2.1,Ahmed Shehzad,Azhar Ali,T Panyangara,1,0,null,1,0,null,null
13,2.2,Azhar Ali,Ahmed Shehzad,T Panyangara,0,0,null,0,0,null,null
14,2.3,Azhar Ali,Ahmed Shehzad,T Panyangara,1,0,null,1,0,null,null
15,2.4,Ahmed Shehzad,Azhar Ali,T Panyangara,0,0,null,0,0,null,null
16,2.5,Ahmed Shehzad,Azhar Ali,T Panyangara,1,0,null,1,0,null,null
17,2.6,Ahmed Shehzad,Azhar Ali,T Panyangara,2,0,null,2,0,null,null
18,3.1,Azhar Ali,Ahmed Shehzad,LM Jongwe,0,0,null,0,0,null,null
19,3.2,Azhar Ali,Ahmed Shehzad,LM Jongwe,1,0,null,1,0,null,null
20,3.3,Ahmed Shehzad,Azhar Ali,LM Jongwe,0,0,null,0,0,null,null
21,3.4,Ahmed Shehzad,Azhar Ali,LM Jongwe,0,0,null,0,0,null,null
22,3.5,Ahmed Shehzad,Azhar Ali,LM Jongwe,0,0,null,0,0,null,null
23,3.6,Ahmed Shehzad,Azhar Ali,LM Jongwe,0,0,null,0,0,null,null
24,4.1,Azhar Ali,Ahmed Shehzad,T Panyangara,0,0,null,0,0,null,null
25,4.2,Azhar Ali,Ahmed Shehzad,T Panyangara,0,0,null,0,0,null,null
26,4.3,Azhar Ali,Ahmed Shehzad,T Panyangara,4,0,null,4,0,null,null
27,4.4,Azhar Ali,Ahmed Shehzad,T Panyangara,0,0,null,0,0,null,null
28,4.5,Azhar Ali,Ahmed Shehzad,T Panyangara,0,0,null,0,0,null,null
29,4.6,Azhar Ali,Ahmed Shehzad,T Panyangara,1,0,null,1,0,null,null
30,5.1,Azhar Ali,Ahmed Shehzad,LM Jongwe,0,0,null,0,0,null,null
31,5.2,Azhar Ali,Ahmed Shehzad,LM Jongwe,4,0,null,4,0,null,null
32,5.3,Azhar Ali,Ahmed Shehzad,LM Jongwe,0,0,null,0,1,Azhar Ali,run out
33,5.4,Mohammad Hafeez,Ahmed Shehzad,LM Jongwe,0,0,null,0,0,null,null
34,5.5,Mohammad Hafeez,Ahmed Shehzad,LM Jongwe,0,0,null,0,0,null,null
35,5.6,Mohammad Hafeez,Ahmed Shehzad,LM Jongwe,0,0,null,0,0,null,null
36,6.1,Ahmed Shehzad,Mohammad Hafeez,T Panyangara,0,0,null,0,0,null,null
37,6.2,Ahmed Shehzad,Mohammad Hafeez,T Panyangara,4,0,null,4,0,null,null
38,6.3,Ahmed Shehzad,Mohammad Hafeez,T Panyangara,0,0,null,0,0,null,null
39,6.4,Ahmed Shehzad,Mohammad Hafeez,T Panyangara,4,0,null,4,0,null,null
40,6.5,Ahmed Shehzad,Mohammad Hafeez,T Panyangara,0,0,null,0,1,Ahmed Shehzad,caught
41,6.6,Sarfraz Ahmed,Mohammad Hafeez,T Panyangara,0,0,null,0,0,null,null
42,7.1,Mohammad Hafeez,Sarfraz Ahmed,LM Jongwe,0,0,null,0,0,null,null
43,7.2,Mohammad Hafeez,Sarfraz Ahmed,LM Jongwe,4,0,null,4,0,null,null
44,7.3,Mohammad Hafeez,Sarfraz Ahmed,LM Jongwe,0,0,null,0,0,null,null
45,7.4,Mohammad Hafeez,Sarfraz Ahmed,LM Jongwe,0,1,wides ,1,0,null,null
46,7.5,Mohammad Hafeez,Sarfraz Ahmed,LM Jongwe,0,0,null,0,0,null,null
47,7.6,Mohammad Hafeez,Sarfraz Ahmed,LM Jongwe,0,0,null,0,0,null,null
48,7.7,Mohammad Hafeez,Sarfraz Ahmed,LM Jongwe,1,0,null,1,0,null,null
49,8.1,Mohammad Hafeez,Sarfraz Ahmed,CJ Chibhabha,0,0,null,0,0,null,null
50,8.2,Mohammad Hafeez,Sarfraz Ahmed,CJ Chibhabha,0,0,null,0,0,null,null
51,8.3,Mohammad Hafeez,Sarfraz Ahmed,CJ Chibhabha,0,0,null,0,0,null,null
52,8.4,Mohammad Hafeez,Sarfraz Ahmed,CJ Chibhabha,0,0,null,0,0,null,null
53,8.5,Mohammad Hafeez,Sarfraz Ahmed,CJ Chibhabha,1,0,null,1,0,null,null
54,8.6,Sarfraz Ahmed,Mohammad Hafeez,CJ Chibhabha,0,0,null,0,0,null,null
55,9.1,Mohammad Hafeez,Sarfraz Ahmed,LM Jongwe,0,0,null,0,0,null,null
56,9.2,Mohammad Hafeez,Sarfraz Ahmed,LM Jongwe,4,0,null,4,0,null,null
57,9.3,Mohammad Hafeez,Sarfraz Ahmed,LM Jongwe,0,0,null,0,0,null,null
58,9.4,Mohammad Hafeez,Sarfraz Ahmed,LM Jongwe,0,0,null,0,0,null,null
59,9.5,Mohammad Hafeez,Sarfraz Ahmed,LM Jongwe,0,0,null,0,1,Mohammad Hafeez,caught
60,9.6,Shoaib Malik,Sarfraz Ahmed,LM Jongwe,0,0,null,0,0,null,null
61,10.1,Sarfraz Ahmed,Shoaib Malik,CJ Chibhabha,0,0,null,0,0,null,null
62,10.2,Sarfraz Ahmed,Shoaib Malik,CJ Chibhabha,0,0,null,0,0,null,null
63,10.3,Sarfraz Ahmed,Shoaib Malik,CJ Chibhabha,1,0,null,1,0,null,null
64,10.4,Shoaib Malik,Sarfraz Ahmed,CJ Chibhabha,0,0,null,0,0,null,null
65,10.5,Shoaib Malik,Sarfraz Ahmed,CJ Chibhabha,0,0,null,0,0,null,null
66,10.6,Shoaib Malik,Sarfraz Ahmed,CJ Chibhabha,0,0,null,0,0,null,null
67,11.1,Sarfraz Ahmed,Shoaib Malik,T Panyangara,1,0,null,1,0,null,null
68,11.2,Shoaib Malik,Sarfraz Ahmed,T Panyangara,0,0,null,0,0,null,null
69,11.3,Shoaib Malik,Sarfraz Ahmed,T Panyangara,2,0,null,2,0,null,null
70,11.4,Shoaib Malik,Sarfraz Ahmed,T Panyangara,0,0,null,0,0,null,null
71,11.5,Shoaib Malik,Sarfraz Ahmed,T Panyangara,0,0,null,0,0,null,null
72,11.6,Shoaib Malik,Sarfraz Ahmed,T Panyangara,0,0,null,0,0,null,null
73,12.1,Sarfraz Ahmed,Shoaib Malik,CJ Chibhabha,0,0,null,0,0,null,null
74,12.2,Sarfraz Ahmed,Shoaib Malik,CJ Chibhabha,0,0,null,0,0,null,null
75,12.3,Sarfraz Ahmed,Shoaib Malik,CJ Chibhabha,0,0,null,0,0,null,null
76,12.4,Sarfraz Ahmed,Shoaib Malik,CJ Chibhabha,1,0,null,1,0,null,null
77,12.5,Shoaib Malik,Sarfraz Ahmed,CJ Chibhabha,0,0,null,0,0,null,null
78,12.6,Shoaib Malik,Sarfraz Ahmed,CJ Chibhabha,0,0,null,0,0,null,null
79,13.1,Sarfraz Ahmed,Shoaib Malik,T Panyangara,0,0,null,0,0,null,null
80,13.2,Sarfraz Ahmed,Shoaib Malik,T Panyangara,0,0,null,0,0,null,null
81,13.3,Sarfraz Ahmed,Shoaib Malik,T Panyangara,0,0,null,0,0,null,null
82,13.4,Sarfraz Ahmed,Shoaib Malik,T Panyangara,1,0,null,1,0,null,null
83,13.5,Shoaib Malik,Sarfraz Ahmed,T Panyangara,0,0,null,0,0,null,null
84,13.6,Shoaib Malik,Sarfraz Ahmed,T Panyangara,0,1,wides ,1,0,null,null
85,13.7,Shoaib Malik,Sarfraz Ahmed,T Panyangara,0,0,null,0,0,null,null
86,14.1,Sarfraz Ahmed,Shoaib Malik,CJ Chibhabha,0,0,null,0,0,null,null
87,14.2,Sarfraz Ahmed,Shoaib Malik,CJ Chibhabha,0,0,null,0,0,null,null
