,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,SC Ganguly,SR Tendulkar,JM Anderson,0,0,null,0,0,null,null
1,0.2,SC Ganguly,SR Tendulkar,JM Anderson,0,0,null,0,0,null,null
2,0.3,SC Ganguly,SR Tendulkar,JM Anderson,0,0,null,0,0,null,null
3,0.4,SC Ganguly,SR Tendulkar,JM Anderson,0,0,null,0,0,null,null
4,0.5,SC Ganguly,SR Tendulkar,JM Anderson,0,0,null,0,0,null,null
5,0.6,SC Ganguly,SR Tendulkar,JM Anderson,0,0,null,0,0,null,null
6,1.1,SR Tendulkar,SC Ganguly,J Lewis,0,0,null,0,0,null,null
7,1.2,SR Tendulkar,SC Ganguly,J Lewis,0,0,null,0,0,null,null
8,1.3,SR Tendulkar,SC Ganguly,J Lewis,0,0,null,0,0,null,null
9,1.4,SR Tendulkar,SC Ganguly,J Lewis,0,0,null,0,0,null,null
10,1.5,SR Tendulkar,SC Ganguly,J Lewis,0,0,null,0,0,null,null
11,1.6,SR Tendulkar,SC Ganguly,J Lewis,0,0,null,0,0,null,null
12,2.1,SC Ganguly,SR Tendulkar,JM Anderson,0,0,null,0,0,null,null
13,2.2,SC Ganguly,SR Tendulkar,JM Anderson,0,0,null,0,0,null,null
14,2.3,SC Ganguly,SR Tendulkar,JM Anderson,0,0,null,0,0,null,null
15,2.4,SC Ganguly,SR Tendulkar,JM Anderson,0,0,null,0,0,null,null
16,2.5,SC Ganguly,SR Tendulkar,JM Anderson,0,0,null,0,0,null,null
17,2.6,SC Ganguly,SR Tendulkar,JM Anderson,1,0,null,1,0,null,null
18,3.1,SC Ganguly,SR Tendulkar,J Lewis,0,0,null,0,0,null,null
19,3.2,SC Ganguly,SR Tendulkar,J Lewis,0,0,null,0,0,null,null
20,3.3,SC Ganguly,SR Tendulkar,J Lewis,1,0,null,1,0,null,null
21,3.4,SR Tendulkar,SC Ganguly,J Lewis,0,0,null,0,0,null,null
22,3.5,SR Tendulkar,SC Ganguly,J Lewis,1,0,null,1,0,null,null
23,3.6,SC Ganguly,SR Tendulkar,J Lewis,1,0,null,1,0,null,null
24,4.1,SC Ganguly,SR Tendulkar,JM Anderson,1,0,null,1,0,null,null
25,4.2,SR Tendulkar,SC Ganguly,JM Anderson,0,1,wides ,1,0,null,null
26,4.3,SR Tendulkar,SC Ganguly,JM Anderson,1,0,null,1,0,null,null
27,4.4,SC Ganguly,SR Tendulkar,JM Anderson,0,0,null,0,0,null,null
28,4.5,SC Ganguly,SR Tendulkar,JM Anderson,0,0,null,0,0,null,null
29,4.6,SC Ganguly,SR Tendulkar,JM Anderson,0,0,null,0,0,null,null
30,4.7,SC Ganguly,SR Tendulkar,JM Anderson,0,0,null,0,0,null,null
31,5.1,SR Tendulkar,SC Ganguly,J Lewis,2,0,null,2,0,null,null
32,5.2,SR Tendulkar,SC Ganguly,J Lewis,4,0,null,4,0,null,null
33,5.3,SR Tendulkar,SC Ganguly,J Lewis,4,0,null,4,0,null,null
34,5.4,SR Tendulkar,SC Ganguly,J Lewis,4,0,null,4,0,null,null
35,5.5,SR Tendulkar,SC Ganguly,J Lewis,0,0,null,0,0,null,null
36,5.6,SR Tendulkar,SC Ganguly,J Lewis,4,0,null,4,0,null,null
37,6.1,SC Ganguly,SR Tendulkar,JM Anderson,0,0,null,0,0,null,null
38,6.2,SC Ganguly,SR Tendulkar,JM Anderson,0,0,null,0,0,null,null
39,6.3,SC Ganguly,SR Tendulkar,JM Anderson,0,0,null,0,0,null,null
40,6.4,SC Ganguly,SR Tendulkar,JM Anderson,0,0,null,0,0,null,null
41,6.5,SC Ganguly,SR Tendulkar,JM Anderson,4,0,null,4,0,null,null
42,6.6,SC Ganguly,SR Tendulkar,JM Anderson,4,0,null,4,0,null,null
43,7.1,SR Tendulkar,SC Ganguly,J Lewis,0,0,null,0,0,null,null
44,7.2,SR Tendulkar,SC Ganguly,J Lewis,4,0,null,4,0,null,null
45,7.3,SR Tendulkar,SC Ganguly,J Lewis,2,0,null,2,0,null,null
46,7.4,SR Tendulkar,SC Ganguly,J Lewis,1,0,null,1,0,null,null
47,7.5,SC Ganguly,SR Tendulkar,J Lewis,0,0,null,0,0,null,null
48,7.6,SC Ganguly,SR Tendulkar,J Lewis,1,0,null,1,0,null,null
49,8.1,SC Ganguly,SR Tendulkar,JM Anderson,0,0,null,0,0,null,null
50,8.2,SC Ganguly,SR Tendulkar,JM Anderson,4,0,null,4,0,null,null
51,8.3,SC Ganguly,SR Tendulkar,JM Anderson,4,0,null,4,0,null,null
52,8.4,SC Ganguly,SR Tendulkar,JM Anderson,0,0,null,0,0,null,null
53,8.5,SC Ganguly,SR Tendulkar,JM Anderson,1,0,null,1,0,null,null
54,8.6,SR Tendulkar,SC Ganguly,JM Anderson,0,0,null,0,0,null,null
55,9.1,SC Ganguly,SR Tendulkar,SCJ Broad,0,0,null,0,0,null,null
56,9.2,SC Ganguly,SR Tendulkar,SCJ Broad,1,0,null,1,0,null,null
57,9.3,SR Tendulkar,SC Ganguly,SCJ Broad,0,0,null,0,0,null,null
58,9.4,SR Tendulkar,SC Ganguly,SCJ Broad,2,0,null,2,0,null,null
59,9.5,SR Tendulkar,SC Ganguly,SCJ Broad,4,0,null,4,0,null,null
60,9.6,SR Tendulkar,SC Ganguly,SCJ Broad,0,0,null,0,0,null,null
61,10.1,SC Ganguly,SR Tendulkar,PD Collingwood,0,0,null,0,0,null,null
62,10.2,SC Ganguly,SR Tendulkar,PD Collingwood,0,1,legbyes ,1,0,null,null
63,10.3,SR Tendulkar,SC Ganguly,PD Collingwood,0,0,null,0,0,null,null
64,10.4,SR Tendulkar,SC Ganguly,PD Collingwood,0,0,null,0,0,null,null
65,10.5,SR Tendulkar,SC Ganguly,PD Collingwood,0,0,null,0,0,null,null
66,10.6,SR Tendulkar,SC Ganguly,PD Collingwood,0,0,null,0,0,null,null
67,11.1,SC Ganguly,SR Tendulkar,SCJ Broad,1,0,null,1,0,null,null
68,11.2,SR Tendulkar,SC Ganguly,SCJ Broad,0,0,null,0,0,null,null
69,11.3,SR Tendulkar,SC Ganguly,SCJ Broad,1,0,null,1,0,null,null
70,11.4,SC Ganguly,SR Tendulkar,SCJ Broad,0,0,null,0,0,null,null
71,11.5,SC Ganguly,SR Tendulkar,SCJ Broad,4,0,null,4,0,null,null
72,11.6,SC Ganguly,SR Tendulkar,SCJ Broad,0,0,null,0,0,null,null
73,12.1,SR Tendulkar,SC Ganguly,PD Collingwood,0,0,null,0,0,null,null
74,12.2,SR Tendulkar,SC Ganguly,PD Collingwood,1,0,null,1,0,null,null
75,12.3,SC Ganguly,SR Tendulkar,PD Collingwood,1,0,null,1,0,null,null
76,12.4,SR Tendulkar,SC Ganguly,PD Collingwood,0,0,null,0,0,null,null
77,12.5,SR Tendulkar,SC Ganguly,PD Collingwood,1,0,null,1,0,null,null
78,12.6,SC Ganguly,SR Tendulkar,PD Collingwood,0,0,null,0,0,null,null
79,13.1,SR Tendulkar,SC Ganguly,SCJ Broad,2,0,null,2,0,null,null
80,13.2,SR Tendulkar,SC Ganguly,SCJ Broad,2,0,null,2,0,null,null
81,13.3,SR Tendulkar,SC Ganguly,SCJ Broad,1,0,null,1,0,null,null
82,13.4,SC Ganguly,SR Tendulkar,SCJ Broad,0,0,null,0,0,null,null
83,13.5,SC Ganguly,SR Tendulkar,SCJ Broad,1,0,null,1,0,null,null
84,13.6,SR Tendulkar,SC Ganguly,SCJ Broad,1,0,null,1,0,null,null
85,14.1,SR Tendulkar,SC Ganguly,PD Collingwood,0,0,null,0,0,null,null
86,14.2,SR Tendulkar,SC Ganguly,PD Collingwood,0,0,null,0,0,null,null
87,14.3,SR Tendulkar,SC Ganguly,PD Collingwood,4,0,null,4,0,null,null
88,14.4,SR Tendulkar,SC Ganguly,PD Collingwood,0,0,null,0,0,null,null
89,14.5,SR Tendulkar,SC Ganguly,PD Collingwood,0,0,null,0,0,null,null
90,14.6,SR Tendulkar,SC Ganguly,PD Collingwood,0,0,null,0,0,null,null
91,15.1,SC Ganguly,SR Tendulkar,SCJ Broad,1,0,null,1,0,null,null
92,15.2,SR Tendulkar,SC Ganguly,SCJ Broad,0,1,wides ,1,0,null,null
93,15.3,SR Tendulkar,SC Ganguly,SCJ Broad,0,0,null,0,0,null,null
94,15.4,SR Tendulkar,SC Ganguly,SCJ Broad,4,0,null,4,0,null,null
95,15.5,SR Tendulkar,SC Ganguly,SCJ Broad,4,0,null,4,0,null,null
96,15.6,SR Tendulkar,SC Ganguly,SCJ Broad,0,0,null,0,0,null,null
97,15.7,SR Tendulkar,SC Ganguly,SCJ Broad,0,0,null,0,0,null,null
98,16.1,SC Ganguly,SR Tendulkar,PD Collingwood,0,0,null,0,0,null,null
99,16.2,SC Ganguly,SR Tendulkar,PD Collingwood,0,0,null,0,0,null,null
100,16.3,SC Ganguly,SR Tendulkar,PD Collingwood,1,0,null,1,0,null,null
101,16.4,SR Tendulkar,SC Ganguly,PD Collingwood,0,0,null,0,0,null,null
102,16.5,SR Tendulkar,SC Ganguly,PD Collingwood,4,0,null,4,0,null,null
103,16.6,SR Tendulkar,SC Ganguly,PD Collingwood,4,0,null,4,0,null,null
104,17.1,SC Ganguly,SR Tendulkar,J Lewis,0,0,null,0,0,null,null
105,17.2,SC Ganguly,SR Tendulkar,J Lewis,0,0,null,0,0,null,null
106,17.3,SC Ganguly,SR Tendulkar,J Lewis,1,0,null,1,0,null,null
107,17.4,SR Tendulkar,SC Ganguly,J Lewis,1,0,null,1,0,null,null
108,17.5,SC Ganguly,SR Tendulkar,J Lewis,1,0,null,1,0,null,null
109,17.6,SR Tendulkar,SC Ganguly,J Lewis,4,0,null,4,0,null,null
110,18.1,SC Ganguly,SR Tendulkar,PD Collingwood,6,0,null,6,0,null,null
111,18.2,SC Ganguly,SR Tendulkar,PD Collingwood,0,1,legbyes ,1,0,null,null
112,18.3,SR Tendulkar,SC Ganguly,PD Collingwood,0,0,null,0,0,null,null
113,18.4,SR Tendulkar,SC Ganguly,PD Collingwood,0,0,null,0,0,null,null
114,18.5,SR Tendulkar,SC Ganguly,PD Collingwood,4,0,null,4,0,null,null
115,18.6,SR Tendulkar,SC Ganguly,PD Collingwood,0,0,null,0,0,null,null
116,19.1,SC Ganguly,SR Tendulkar,J Lewis,0,0,null,0,0,null,null
117,19.2,SC Ganguly,SR Tendulkar,J Lewis,0,0,null,0,0,null,null
118,19.3,SC Ganguly,SR Tendulkar,J Lewis,1,0,null,1,0,null,null
119,19.4,SR Tendulkar,SC Ganguly,J Lewis,0,0,null,0,1,SR Tendulkar,caught
120,19.5,G Gambhir,SC Ganguly,J Lewis,0,0,null,0,0,null,null
121,19.6,G Gambhir,SC Ganguly,J Lewis,0,0,null,0,0,null,null
122,20.1,SC Ganguly,G Gambhir,JM Anderson,0,0,null,0,0,null,null
123,20.2,SC Ganguly,G Gambhir,JM Anderson,4,0,null,4,0,null,null
124,20.3,SC Ganguly,G Gambhir,JM Anderson,4,0,null,4,0,null,null
125,20.4,SC Ganguly,G Gambhir,JM Anderson,0,0,null,0,0,null,null
126,20.5,SC Ganguly,G Gambhir,JM Anderson,0,0,null,0,0,null,null
127,20.6,SC Ganguly,G Gambhir,JM Anderson,0,0,null,0,0,null,null
128,21.1,G Gambhir,SC Ganguly,J Lewis,0,0,null,0,0,null,null
129,21.2,G Gambhir,SC Ganguly,J Lewis,0,0,null,0,0,null,null
130,21.3,G Gambhir,SC Ganguly,J Lewis,1,0,null,1,0,null,null
131,21.4,SC Ganguly,G Gambhir,J Lewis,0,0,null,0,0,null,null
132,21.5,SC Ganguly,G Gambhir,J Lewis,1,0,null,1,0,null,null
133,21.6,G Gambhir,SC Ganguly,J Lewis,0,0,null,0,0,null,null
134,22.1,SC Ganguly,G Gambhir,JM Anderson,1,0,null,1,0,null,null
135,22.2,G Gambhir,SC Ganguly,JM Anderson,0,0,null,0,0,null,null
136,22.3,G Gambhir,SC Ganguly,JM Anderson,0,0,null,0,0,null,null
137,22.4,G Gambhir,SC Ganguly,JM Anderson,0,0,null,0,0,null,null
138,22.5,G Gambhir,SC Ganguly,JM Anderson,0,0,null,0,0,null,null
139,22.6,G Gambhir,SC Ganguly,JM Anderson,0,0,null,0,0,null,null
140,23.1,SC Ganguly,G Gambhir,J Lewis,6,0,null,6,0,null,null
141,23.2,SC Ganguly,G Gambhir,J Lewis,0,0,null,0,0,null,null
142,23.3,SC Ganguly,G Gambhir,J Lewis,0,0,null,0,0,null,null
143,23.4,SC Ganguly,G Gambhir,J Lewis,0,0,null,0,0,null,null
144,23.5,SC Ganguly,G Gambhir,J Lewis,0,0,null,0,0,null,null
145,23.6,SC Ganguly,G Gambhir,J Lewis,0,0,null,0,0,null,null
146,24.1,G Gambhir,SC Ganguly,JM Anderson,1,0,null,1,0,null,null
147,24.2,SC Ganguly,G Gambhir,JM Anderson,1,0,null,1,0,null,null
148,24.3,G Gambhir,SC Ganguly,JM Anderson,0,0,null,0,0,null,null
149,24.4,G Gambhir,SC Ganguly,JM Anderson,4,0,null,4,0,null,null
150,24.5,G Gambhir,SC Ganguly,JM Anderson,4,0,null,4,0,null,null
151,24.6,G Gambhir,SC Ganguly,JM Anderson,1,0,null,1,0,null,null
152,25.1,G Gambhir,SC Ganguly,SCJ Broad,0,0,null,0,0,null,null
153,25.2,G Gambhir,SC Ganguly,SCJ Broad,0,0,null,0,0,null,null
154,25.3,G Gambhir,SC Ganguly,SCJ Broad,0,0,null,0,0,null,null
155,25.4,G Gambhir,SC Ganguly,SCJ Broad,0,0,null,0,0,null,null
156,25.5,G Gambhir,SC Ganguly,SCJ Broad,0,0,null,0,0,null,null
157,25.6,G Gambhir,SC Ganguly,SCJ Broad,4,0,null,4,0,null,null
158,26.1,SC Ganguly,G Gambhir,MS Panesar,0,0,null,0,0,null,null
159,26.2,SC Ganguly,G Gambhir,MS Panesar,1,0,null,1,0,null,null
160,26.3,G Gambhir,SC Ganguly,MS Panesar,1,0,null,1,0,null,null
161,26.4,SC Ganguly,G Gambhir,MS Panesar,0,0,null,0,0,null,null
162,26.5,SC Ganguly,G Gambhir,MS Panesar,0,0,null,0,1,SC Ganguly,caught
163,26.6,Yuvraj Singh,G Gambhir,MS Panesar,0,0,null,0,0,null,null
164,27.1,G Gambhir,Yuvraj Singh,SCJ Broad,0,0,null,0,0,null,null
165,27.2,G Gambhir,Yuvraj Singh,SCJ Broad,1,0,null,1,0,null,null
166,27.3,Yuvraj Singh,G Gambhir,SCJ Broad,0,0,null,0,0,null,null
167,27.4,Yuvraj Singh,G Gambhir,SCJ Broad,0,0,null,0,0,null,null
168,27.5,Yuvraj Singh,G Gambhir,SCJ Broad,4,0,null,4,0,null,null
169,27.6,Yuvraj Singh,G Gambhir,SCJ Broad,0,0,null,0,0,null,null
170,27.7,Yuvraj Singh,G Gambhir,SCJ Broad,0,0,null,0,0,null,null
171,28.1,G Gambhir,Yuvraj Singh,MS Panesar,0,0,null,0,0,null,null
172,28.2,G Gambhir,Yuvraj Singh,MS Panesar,0,0,null,0,0,null,null
173,28.3,G Gambhir,Yuvraj Singh,MS Panesar,1,0,null,1,0,null,null
