,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,Imran Nazir,Mohammad Hafeez,DBL Powell,0,0,null,0,0,null,null
1,0.2,Imran Nazir,Mohammad Hafeez,DBL Powell,6,0,null,6,0,null,null
2,0.3,Imran Nazir,Mohammad Hafeez,DBL Powell,0,0,null,0,1,Imran Nazir,caught
3,0.4,Younis Khan,Mohammad Hafeez,DBL Powell,4,0,null,4,0,null,null
4,0.5,Younis Khan,Mohammad Hafeez,DBL Powell,0,0,null,0,0,null,null
5,0.6,Younis Khan,Mohammad Hafeez,DBL Powell,0,0,null,0,0,null,null
6,1.1,Mohammad Hafeez,Younis Khan,JE Taylor,0,0,null,0,0,null,null
7,1.2,Mohammad Hafeez,Younis Khan,JE Taylor,0,0,null,0,0,null,null
8,1.3,Mohammad Hafeez,Younis Khan,JE Taylor,0,0,null,0,0,null,null
9,1.4,Mohammad Hafeez,Younis Khan,JE Taylor,0,0,null,0,0,null,null
10,1.5,Mohammad Hafeez,Younis Khan,JE Taylor,0,0,null,0,0,null,null
11,1.6,Mohammad Hafeez,Younis Khan,JE Taylor,0,0,null,0,0,null,null
12,2.1,Younis Khan,Mohammad Hafeez,DBL Powell,0,0,null,0,0,null,null
13,2.2,Younis Khan,Mohammad Hafeez,DBL Powell,0,0,null,0,0,null,null
14,2.3,Younis Khan,Mohammad Hafeez,DBL Powell,0,0,null,0,0,null,null
15,2.4,Younis Khan,Mohammad Hafeez,DBL Powell,0,0,null,0,0,null,null
16,2.5,Younis Khan,Mohammad Hafeez,DBL Powell,0,0,null,0,0,null,null
17,2.6,Younis Khan,Mohammad Hafeez,DBL Powell,0,0,null,0,0,null,null
18,3.1,Mohammad Hafeez,Younis Khan,JE Taylor,0,1,legbyes ,1,0,null,null
19,3.2,Younis Khan,Mohammad Hafeez,JE Taylor,0,0,null,0,0,null,null
20,3.3,Younis Khan,Mohammad Hafeez,JE Taylor,4,0,null,4,0,null,null
21,3.4,Younis Khan,Mohammad Hafeez,JE Taylor,1,0,null,1,0,null,null
22,3.5,Mohammad Hafeez,Younis Khan,JE Taylor,1,0,null,1,0,null,null
23,3.6,Younis Khan,Mohammad Hafeez,JE Taylor,0,0,null,0,1,Younis Khan,caught
24,4.1,Mohammad Hafeez,Mohammad Yousuf,DBL Powell,0,0,null,0,0,null,null
25,4.2,Mohammad Hafeez,Mohammad Yousuf,DBL Powell,0,0,null,0,0,null,null
26,4.3,Mohammad Hafeez,Mohammad Yousuf,DBL Powell,0,0,null,0,0,null,null
27,4.4,Mohammad Hafeez,Mohammad Yousuf,DBL Powell,0,0,null,0,0,null,null
28,4.5,Mohammad Hafeez,Mohammad Yousuf,DBL Powell,4,0,null,4,0,null,null
29,4.6,Mohammad Hafeez,Mohammad Yousuf,DBL Powell,0,0,null,0,0,null,null
30,5.1,Mohammad Yousuf,Mohammad Hafeez,JE Taylor,0,0,null,0,0,null,null
31,5.2,Mohammad Yousuf,Mohammad Hafeez,JE Taylor,0,0,null,0,0,null,null
32,5.3,Mohammad Yousuf,Mohammad Hafeez,JE Taylor,0,0,null,0,0,null,null
33,5.4,Mohammad Yousuf,Mohammad Hafeez,JE Taylor,0,0,null,0,0,null,null
34,5.5,Mohammad Yousuf,Mohammad Hafeez,JE Taylor,2,0,null,2,0,null,null
35,5.6,Mohammad Yousuf,Mohammad Hafeez,JE Taylor,2,0,null,2,0,null,null
36,6.1,Mohammad Hafeez,Mohammad Yousuf,DBL Powell,0,0,null,0,0,null,null
37,6.2,Mohammad Hafeez,Mohammad Yousuf,DBL Powell,0,0,null,0,0,null,null
38,6.3,Mohammad Hafeez,Mohammad Yousuf,DBL Powell,4,0,null,4,0,null,null
39,6.4,Mohammad Hafeez,Mohammad Yousuf,DBL Powell,0,0,null,0,0,null,null
40,6.5,Mohammad Hafeez,Mohammad Yousuf,DBL Powell,0,1,legbyes ,1,0,null,null
41,6.6,Mohammad Yousuf,Mohammad Hafeez,DBL Powell,1,0,null,1,0,null,null
42,7.1,Mohammad Yousuf,Mohammad Hafeez,JE Taylor,0,0,null,0,0,null,null
43,7.2,Mohammad Yousuf,Mohammad Hafeez,JE Taylor,1,0,null,1,0,null,null
44,7.3,Mohammad Hafeez,Mohammad Yousuf,JE Taylor,0,0,null,0,0,null,null
45,7.4,Mohammad Hafeez,Mohammad Yousuf,JE Taylor,0,0,null,0,0,null,null
46,7.5,Mohammad Hafeez,Mohammad Yousuf,JE Taylor,0,0,null,0,0,null,null
47,7.6,Mohammad Hafeez,Mohammad Yousuf,JE Taylor,0,0,null,0,0,null,null
48,8.1,Mohammad Yousuf,Mohammad Hafeez,DBL Powell,1,0,null,1,0,null,null
49,8.2,Mohammad Hafeez,Mohammad Yousuf,DBL Powell,0,0,null,0,0,null,null
50,8.3,Mohammad Hafeez,Mohammad Yousuf,DBL Powell,0,0,null,0,0,null,null
51,8.4,Mohammad Hafeez,Mohammad Yousuf,DBL Powell,1,0,null,1,0,null,null
52,8.5,Mohammad Yousuf,Mohammad Hafeez,DBL Powell,0,0,null,0,0,null,null
53,8.6,Mohammad Yousuf,Mohammad Hafeez,DBL Powell,1,0,null,1,0,null,null
54,9.1,Mohammad Yousuf,Mohammad Hafeez,JE Taylor,0,0,null,0,0,null,null
55,9.2,Mohammad Yousuf,Mohammad Hafeez,JE Taylor,0,0,null,0,0,null,null
56,9.3,Mohammad Yousuf,Mohammad Hafeez,JE Taylor,2,0,null,2,0,null,null
57,9.4,Mohammad Yousuf,Mohammad Hafeez,JE Taylor,0,0,null,0,0,null,null
58,9.5,Mohammad Yousuf,Mohammad Hafeez,JE Taylor,0,0,null,0,0,null,null
59,9.6,Mohammad Yousuf,Mohammad Hafeez,JE Taylor,0,0,null,0,0,null,null
60,10.1,Mohammad Hafeez,Mohammad Yousuf,DBL Powell,1,0,null,1,0,null,null
61,10.2,Mohammad Yousuf,Mohammad Hafeez,DBL Powell,1,0,null,1,0,null,null
62,10.3,Mohammad Hafeez,Mohammad Yousuf,DBL Powell,0,0,null,0,1,Mohammad Hafeez,caught
63,10.4,Inzamam-ul-Haq,Mohammad Yousuf,DBL Powell,0,0,null,0,0,null,null
64,10.5,Inzamam-ul-Haq,Mohammad Yousuf,DBL Powell,1,0,null,1,0,null,null
65,10.6,Mohammad Yousuf,Inzamam-ul-Haq,DBL Powell,0,0,null,0,0,null,null
66,11.1,Inzamam-ul-Haq,Mohammad Yousuf,CD Collymore,0,1,wides ,1,0,null,null
67,11.2,Inzamam-ul-Haq,Mohammad Yousuf,CD Collymore,0,0,null,0,0,null,null
68,11.3,Inzamam-ul-Haq,Mohammad Yousuf,CD Collymore,0,0,null,0,0,null,null
69,11.4,Inzamam-ul-Haq,Mohammad Yousuf,CD Collymore,0,0,null,0,0,null,null
70,11.5,Inzamam-ul-Haq,Mohammad Yousuf,CD Collymore,0,0,null,0,0,null,null
71,11.6,Inzamam-ul-Haq,Mohammad Yousuf,CD Collymore,1,0,null,1,0,null,null
72,11.7,Mohammad Yousuf,Inzamam-ul-Haq,CD Collymore,0,0,null,0,0,null,null
73,12.1,Inzamam-ul-Haq,Mohammad Yousuf,DBL Powell,1,0,null,1,0,null,null
74,12.2,Mohammad Yousuf,Inzamam-ul-Haq,DBL Powell,0,0,null,0,0,null,null
75,12.3,Mohammad Yousuf,Inzamam-ul-Haq,DBL Powell,0,0,null,0,0,null,null
76,12.4,Mohammad Yousuf,Inzamam-ul-Haq,DBL Powell,0,0,null,0,0,null,null
77,12.5,Mohammad Yousuf,Inzamam-ul-Haq,DBL Powell,0,0,null,0,0,null,null
78,12.6,Mohammad Yousuf,Inzamam-ul-Haq,DBL Powell,0,0,null,0,0,null,null
79,13.1,Inzamam-ul-Haq,Mohammad Yousuf,CD Collymore,0,0,null,0,0,null,null
80,13.2,Inzamam-ul-Haq,Mohammad Yousuf,CD Collymore,0,0,null,0,0,null,null
81,13.3,Inzamam-ul-Haq,Mohammad Yousuf,CD Collymore,0,0,null,0,0,null,null
82,13.4,Inzamam-ul-Haq,Mohammad Yousuf,CD Collymore,0,0,null,0,0,null,null
83,13.5,Inzamam-ul-Haq,Mohammad Yousuf,CD Collymore,0,0,null,0,0,null,null
84,13.6,Inzamam-ul-Haq,Mohammad Yousuf,CD Collymore,0,0,null,0,0,null,null
85,14.1,Mohammad Yousuf,Inzamam-ul-Haq,DBL Powell,1,0,null,1,0,null,null
86,14.2,Inzamam-ul-Haq,Mohammad Yousuf,DBL Powell,0,0,null,0,0,null,null
87,14.3,Inzamam-ul-Haq,Mohammad Yousuf,DBL Powell,0,0,null,0,0,null,null
88,14.4,Inzamam-ul-Haq,Mohammad Yousuf,DBL Powell,0,0,null,0,0,null,null
89,14.5,Inzamam-ul-Haq,Mohammad Yousuf,DBL Powell,0,0,null,0,0,null,null
90,14.6,Inzamam-ul-Haq,Mohammad Yousuf,DBL Powell,0,0,null,0,0,null,null
91,15.1,Mohammad Yousuf,Inzamam-ul-Haq,CD Collymore,0,0,null,0,0,null,null
92,15.2,Mohammad Yousuf,Inzamam-ul-Haq,CD Collymore,0,0,null,0,0,null,null
93,15.3,Mohammad Yousuf,Inzamam-ul-Haq,CD Collymore,0,0,null,0,0,null,null
94,15.4,Mohammad Yousuf,Inzamam-ul-Haq,CD Collymore,0,0,null,0,0,null,null
95,15.5,Mohammad Yousuf,Inzamam-ul-Haq,CD Collymore,0,0,null,0,0,null,null
96,15.6,Mohammad Yousuf,Inzamam-ul-Haq,CD Collymore,0,0,null,0,0,null,null
97,16.1,Inzamam-ul-Haq,Mohammad Yousuf,DBL Powell,0,0,null,0,0,null,null
98,16.2,Inzamam-ul-Haq,Mohammad Yousuf,DBL Powell,4,0,null,4,0,null,null
99,16.3,Inzamam-ul-Haq,Mohammad Yousuf,DBL Powell,4,0,null,4,0,null,null
100,16.4,Inzamam-ul-Haq,Mohammad Yousuf,DBL Powell,0,0,null,0,0,null,null
101,16.5,Inzamam-ul-Haq,Mohammad Yousuf,DBL Powell,0,0,null,0,0,null,null
102,16.6,Inzamam-ul-Haq,Mohammad Yousuf,DBL Powell,0,0,null,0,0,null,null
103,17.1,Mohammad Yousuf,Inzamam-ul-Haq,CD Collymore,0,0,null,0,0,null,null
104,17.2,Mohammad Yousuf,Inzamam-ul-Haq,CD Collymore,0,0,null,0,0,null,null
105,17.3,Mohammad Yousuf,Inzamam-ul-Haq,CD Collymore,0,0,null,0,0,null,null
106,17.4,Mohammad Yousuf,Inzamam-ul-Haq,CD Collymore,0,0,null,0,0,null,null
107,17.5,Mohammad Yousuf,Inzamam-ul-Haq,CD Collymore,4,0,null,4,0,null,null
108,17.6,Mohammad Yousuf,Inzamam-ul-Haq,CD Collymore,1,0,null,1,0,null,null
109,18.1,Mohammad Yousuf,Inzamam-ul-Haq,DBL Powell,1,0,null,1,0,null,null
110,18.2,Inzamam-ul-Haq,Mohammad Yousuf,DBL Powell,4,0,null,4,0,null,null
111,18.3,Inzamam-ul-Haq,Mohammad Yousuf,DBL Powell,0,0,null,0,0,null,null
112,18.4,Inzamam-ul-Haq,Mohammad Yousuf,DBL Powell,1,0,null,1,0,null,null
113,18.5,Mohammad Yousuf,Inzamam-ul-Haq,DBL Powell,1,0,null,1,0,null,null
114,18.6,Inzamam-ul-Haq,Mohammad Yousuf,DBL Powell,0,0,null,0,0,null,null
115,19.1,Mohammad Yousuf,Inzamam-ul-Haq,CD Collymore,0,0,null,0,0,null,null
116,19.2,Mohammad Yousuf,Inzamam-ul-Haq,CD Collymore,0,0,null,0,0,null,null
117,19.3,Mohammad Yousuf,Inzamam-ul-Haq,CD Collymore,0,0,null,0,0,null,null
118,19.4,Mohammad Yousuf,Inzamam-ul-Haq,CD Collymore,0,0,null,0,0,null,null
119,19.5,Mohammad Yousuf,Inzamam-ul-Haq,CD Collymore,0,0,null,0,0,null,null
120,19.6,Mohammad Yousuf,Inzamam-ul-Haq,CD Collymore,0,0,null,0,0,null,null
121,20.1,Inzamam-ul-Haq,Mohammad Yousuf,DR Smith,0,0,null,0,0,null,null
122,20.2,Inzamam-ul-Haq,Mohammad Yousuf,DR Smith,0,0,null,0,0,null,null
123,20.3,Inzamam-ul-Haq,Mohammad Yousuf,DR Smith,0,0,null,0,0,null,null
124,20.4,Inzamam-ul-Haq,Mohammad Yousuf,DR Smith,0,0,null,0,0,null,null
125,20.5,Inzamam-ul-Haq,Mohammad Yousuf,DR Smith,1,0,null,1,0,null,null
126,20.6,Mohammad Yousuf,Inzamam-ul-Haq,DR Smith,1,0,null,1,0,null,null
