,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,LMP Simmons,KOA Powell,R Vinay Kumar,0,0,null,0,0,null,null
1,0.2,LMP Simmons,KOA Powell,R Vinay Kumar,1,0,null,1,0,null,null
2,0.3,KOA Powell,LMP Simmons,R Vinay Kumar,1,0,null,1,0,null,null
3,0.4,LMP Simmons,KOA Powell,R Vinay Kumar,0,0,null,0,0,null,null
4,0.5,LMP Simmons,KOA Powell,R Vinay Kumar,0,0,null,0,0,null,null
5,0.6,LMP Simmons,KOA Powell,R Vinay Kumar,4,0,null,4,0,null,null
6,1.1,KOA Powell,LMP Simmons,R Ashwin,4,0,null,4,0,null,null
7,1.2,KOA Powell,LMP Simmons,R Ashwin,0,0,null,0,0,null,null
8,1.3,KOA Powell,LMP Simmons,R Ashwin,1,0,null,1,0,null,null
9,1.4,LMP Simmons,KOA Powell,R Ashwin,1,0,null,1,0,null,null
10,1.5,KOA Powell,LMP Simmons,R Ashwin,1,0,null,1,0,null,null
11,1.6,LMP Simmons,KOA Powell,R Ashwin,0,0,null,0,1,KOA Powell,run out
12,2.1,MN Samuels,LMP Simmons,R Vinay Kumar,0,0,null,0,0,null,null
13,2.2,MN Samuels,LMP Simmons,R Vinay Kumar,1,0,null,1,0,null,null
14,2.3,LMP Simmons,MN Samuels,R Vinay Kumar,0,0,null,0,0,null,null
15,2.4,LMP Simmons,MN Samuels,R Vinay Kumar,1,0,null,1,0,null,null
16,2.5,MN Samuels,LMP Simmons,R Vinay Kumar,4,0,null,4,0,null,null
17,2.6,MN Samuels,LMP Simmons,R Vinay Kumar,0,0,null,0,0,null,null
18,3.1,LMP Simmons,MN Samuels,R Ashwin,0,0,null,0,0,null,null
19,3.2,LMP Simmons,MN Samuels,R Ashwin,0,0,null,0,0,null,null
20,3.3,LMP Simmons,MN Samuels,R Ashwin,6,0,null,6,0,null,null
21,3.4,LMP Simmons,MN Samuels,R Ashwin,0,0,null,0,0,null,null
22,3.5,LMP Simmons,MN Samuels,R Ashwin,0,0,null,0,0,null,null
23,3.6,LMP Simmons,MN Samuels,R Ashwin,1,0,null,1,0,null,null
24,4.1,LMP Simmons,MN Samuels,R Vinay Kumar,4,0,null,4,0,null,null
25,4.2,LMP Simmons,MN Samuels,R Vinay Kumar,4,0,null,4,0,null,null
26,4.3,LMP Simmons,MN Samuels,R Vinay Kumar,4,0,null,4,0,null,null
27,4.4,LMP Simmons,MN Samuels,R Vinay Kumar,0,0,null,0,0,null,null
28,4.5,LMP Simmons,MN Samuels,R Vinay Kumar,0,0,null,0,0,null,null
29,4.6,LMP Simmons,MN Samuels,R Vinay Kumar,0,0,null,0,0,null,null
30,5.1,MN Samuels,LMP Simmons,R Ashwin,0,0,null,0,0,null,null
31,5.2,MN Samuels,LMP Simmons,R Ashwin,0,0,null,0,0,null,null
32,5.3,MN Samuels,LMP Simmons,R Ashwin,0,0,null,0,0,null,null
33,5.4,MN Samuels,LMP Simmons,R Ashwin,1,0,null,1,0,null,null
34,5.5,LMP Simmons,MN Samuels,R Ashwin,1,0,null,1,0,null,null
35,5.6,MN Samuels,LMP Simmons,R Ashwin,0,0,null,0,0,null,null
36,6.1,LMP Simmons,MN Samuels,R Vinay Kumar,0,0,null,0,0,null,null
37,6.2,LMP Simmons,MN Samuels,R Vinay Kumar,4,0,null,4,0,null,null
38,6.3,LMP Simmons,MN Samuels,R Vinay Kumar,1,0,null,1,0,null,null
39,6.4,MN Samuels,LMP Simmons,R Vinay Kumar,1,0,null,1,0,null,null
40,6.5,LMP Simmons,MN Samuels,R Vinay Kumar,0,1,legbyes ,1,0,null,null
41,6.6,MN Samuels,LMP Simmons,R Vinay Kumar,4,0,null,4,0,null,null
42,7.1,LMP Simmons,MN Samuels,RA Jadeja,0,0,null,0,0,null,null
43,7.2,LMP Simmons,MN Samuels,RA Jadeja,0,0,null,0,0,null,null
44,7.3,LMP Simmons,MN Samuels,RA Jadeja,0,0,null,0,0,null,null
45,7.4,LMP Simmons,MN Samuels,RA Jadeja,0,0,null,0,0,null,null
46,7.5,LMP Simmons,MN Samuels,RA Jadeja,0,0,null,0,0,null,null
47,7.6,LMP Simmons,MN Samuels,RA Jadeja,0,0,null,0,0,null,null
48,8.1,MN Samuels,LMP Simmons,A Mithun,0,0,null,0,0,null,null
49,8.2,MN Samuels,LMP Simmons,A Mithun,0,0,null,0,0,null,null
50,8.3,MN Samuels,LMP Simmons,A Mithun,0,0,null,0,0,null,null
51,8.4,MN Samuels,LMP Simmons,A Mithun,0,0,null,0,0,null,null
52,8.5,MN Samuels,LMP Simmons,A Mithun,4,0,null,4,0,null,null
